frequency,mag_dB,phase_deg
1.000000000000000000e+00,-4.999999999999978906e-01,-2.025692284689245700e-04
1.020939483707679951e+00,-4.999999999999998890e-01,-2.068109235281451598e-04
1.042317429393304185e+00,-4.999999999999998890e-01,-2.111414374919523909e-04
1.064143018224316117e+00,-4.999999999999998890e-01,-2.155626301823519199e-04
1.086425623617065517e+00,-4.999999999999998890e-01,-2.200764003650618617e-04
1.109174815262401026e+00,-4.999999999999998890e-01,-2.246846865649742848e-04
1.132400363235557039e+00,-4.999999999999998890e-01,-2.293894678986916973e-04
1.156112242192098849e+00,-4.999999999999978906e-01,-2.341927649244962041e-04
1.180320635651729733e+00,-4.999999999999978906e-01,-2.390966405101173863e-04
1.205035940371797398e+00,-4.999999999999998890e-01,-2.441032007186698925e-04
1.230268770812381618e+00,-4.999999999999978906e-01,-2.492145957131429749e-04
1.256029963694874851e+00,-4.999999999999978906e-01,-2.544330206798283821e-04
1.282330582656021400e+00,-4.999999999999978906e-01,-2.597607167710855119e-04
1.309181922999407055e+00,-4.999999999999998890e-01,-2.651999720678473648e-04
1.336595516546442264e+00,-4.999999999999978906e-01,-2.707531225622801909e-04
1.364583136588924273e+00,-4.999999999999978906e-01,-2.764225531610199908e-04
1.393156802945303196e+00,-4.999999999999978906e-01,-2.822106987094168454e-04
1.422328787122819849e+00,-4.999999999999988898e-01,-2.881200450372250880e-04
1.452111617587742431e+00,-4.999999999999978906e-01,-2.941531300261903499e-04
1.482518085145953624e+00,-4.999999999999978906e-01,-3.003125446999927459e-04
1.513561248436208206e+00,-4.999999999999978906e-01,-3.066009343370094801e-04
1.545254439538413793e+00,-4.999999999999978906e-01,-3.130209996063821058e-04
1.577611269699348506e+00,-4.999999999999988898e-01,-3.195754977278688507e-04
1.610645635178270307e+00,-4.999999999999978906e-01,-3.262672436559868648e-04
1.644371723214931524e+00,-4.999999999999978906e-01,-3.330991112889471911e-04
1.678804018122560304e+00,-4.999999999999958922e-01,-3.400740347029059104e-04
1.713957307508425343e+00,-4.999999999999958922e-01,-3.471950094120586556e-04
1.749846688624656865e+00,-4.999999999999958922e-01,-3.544650936551220033e-04
1.786487574852051008e+00,-4.999999999999958922e-01,-3.618874097087524115e-04
1.823895702319637602e+00,-4.999999999999978906e-01,-3.694651452284672464e-04
1.862087136662867071e+00,-4.999999999999958922e-01,-3.772015546176449644e-04
1.901078279923299919e+00,-4.999999999999958922e-01,-3.850999604251904070e-04
1.940885877592777975e+00,-4.999999999999978906e-01,-3.931637547724671587e-04
1.981527025805098097e+00,-4.999999999999978906e-01,-4.013964008101088884e-04
2.023019178678271413e+00,-4.999999999999968359e-01,-4.098014342053353716e-04
2.065380155810529583e+00,-4.999999999999958922e-01,-4.183824646604129231e-04
2.108628149933289286e+00,-4.999999999999968359e-01,-4.271431774629091678e-04
2.152781734724372509e+00,-4.999999999999958922e-01,-4.360873350684112636e-04
2.197859872784824642e+00,-4.999999999999968359e-01,-4.452187787163837938e-04
2.243881923782766297e+00,-4.999999999999937828e-01,-4.545414300798623322e-04
2.290867652767773155e+00,-4.999999999999958922e-01,-4.640592929496912622e-04
2.338837238659354778e+00,-4.999999999999948375e-01,-4.737764549540280355e-04
2.387811282913177457e+00,-4.999999999999948375e-01,-4.836970893138534599e-04
2.437810818368752130e+00,-4.999999999999937828e-01,-4.938254566352412661e-04
2.488857318282390541e+00,-4.999999999999937828e-01,-5.041659067391566270e-04
2.540972705549304766e+00,-4.999999999999937828e-01,-5.147228805295698401e-04
2.594179362118814058e+00,-4.999999999999937828e-01,-5.255009119006882412e-04
2.648500138606700194e+00,-4.999999999999937828e-01,-5.365046296841218323e-04
2.703958364108843160e+00,-4.999999999999927280e-01,-5.477387596368260775e-04
2.760577856220344906e+00,-4.999999999999917843e-01,-5.592081264706667875e-04
2.818382931264454161e+00,-4.999999999999927280e-01,-5.709176559244852952e-04
2.877398414735668819e+00,-4.999999999999917843e-01,-5.828723768795510173e-04
2.937649651961530495e+00,-4.999999999999896749e-01,-5.950774235193115888e-04
2.999162518987650738e+00,-4.999999999999896749e-01,-6.075380375343644203e-04
3.061963433690677139e+00,-4.999999999999896749e-01,-6.202595703736029070e-04
3.126079367123954622e+00,-4.999999999999896749e-01,-6.332474855424971355e-04
3.191537855100761600e+00,-4.999999999999907296e-01,-6.465073609495006982e-04
3.258367010020088106e+00,-4.999999999999896749e-01,-6.600448913015905146e-04
3.326595532940044286e+00,-4.999999999999886757e-01,-6.738658905499681330e-04
3.396252725904083114e+00,-4.999999999999886757e-01,-6.879762943869716964e-04
3.467368504525315753e+00,-4.999999999999866218e-01,-7.023821627952722560e-04
3.539973410834346357e+00,-4.999999999999866218e-01,-7.170896826504488284e-04
3.614098626396132108e+00,-4.999999999999866218e-01,-7.321051703780621749e-04
3.689775985701502670e+00,-4.999999999999855671e-01,-7.474350746663624640e-04
3.767037989839088219e+00,-4.999999999999866218e-01,-7.630859792358032738e-04
3.845917820453535363e+00,-4.999999999999846234e-01,-7.790646056665450139e-04
3.926449353995998592e+00,-4.999999999999846234e-01,-7.953778162851670623e-04
4.008667176273028154e+00,-4.999999999999825695e-01,-8.120326171118242816e-04
4.092606597300108895e+00,-4.999999999999825695e-01,-8.290361608691165394e-04
4.178303666466217869e+00,-4.999999999999825695e-01,-8.463957500539626274e-04
