 frequency       v(Tmb_dB)       v(Tmb_arg)     
 1.00000000e+00 -2.77664642e+02 -2.31340202e-06 
 1.02305973e+00 -2.77674481e+02 -3.39500460e-06 
 1.04665121e+00 -2.77639280e+02 -4.41182168e-06 
 1.07078670e+00 -2.77650036e+02 -3.66981512e-06 
 1.09547876e+00 -2.77827547e+02 -3.42191331e-06 
 1.12074020e+00 -2.77627659e+02 -3.97939662e-06 
 1.14658417e+00 -2.77731231e+02 -2.96373323e-06 
 1.17302409e+00 -2.77652875e+02 -5.92659114e-06 
 1.20007371e+00 -2.77666399e+02 -3.85370012e-06 
 1.22774708e+00 -2.77680576e+02 -3.96360343e-06 
 1.25605860e+00 -2.77695442e+02 -4.21154078e-06 
 1.28502297e+00 -2.77665388e+02 -6.17181935e-06 
 1.31465525e+00 -2.77636153e+02 -5.08972206e-06 
 1.34497085e+00 -2.77698684e+02 -9.99368667e-08 
 1.37598551e+00 -2.77716570e+02 -8.99549168e-07 
 1.40771537e+00 -2.77735316e+02 -8.26215588e-07 
 1.44017690e+00 -2.77754985e+02 -6.56840686e-06 
 1.47338699e+00 -2.77638403e+02 -1.29463854e-06 
 1.50736290e+00 -2.77705322e+02  2.41748006e-06 
 1.54212228e+00 -2.77682078e+02 -7.12400035e-06 
 1.57768320e+00 -2.77705537e+02 -5.07994496e-06 
 1.61406415e+00 -2.77638928e+02 -8.17967166e-06 
 1.65128404e+00 -2.77756022e+02 -7.09993522e-06 
 1.68936220e+00 -2.77645829e+02 -5.34682903e-07 
 1.72831844e+00 -2.77673877e+02 -5.81937937e-06 
 1.76817299e+00 -2.77749184e+02 -3.54610215e-06 
 1.80894658e+00 -2.77642988e+02 -7.67902562e-07 
 1.85066040e+00 -2.77720847e+02 -6.05165785e-06 
 1.89333613e+00 -2.77617918e+02 -8.40508558e-06 
 1.93699595e+00 -2.77744450e+02 -4.85557551e-06 
 1.98166255e+00 -2.77644448e+02 -7.35804456e-06 
 2.02735916e+00 -2.77683065e+02 -5.48654652e-06 
 2.07410951e+00 -2.77769611e+02 -4.67761255e-06 
 2.12193792e+00 -2.77720436e+02 -6.88032070e-06 
 2.17086923e+00 -2.77582851e+02 -1.42142071e-05 
 2.22092889e+00 -2.77674331e+02 -2.45695421e-06 
 2.27214291e+00 -2.77677332e+02 -1.31607629e-05 
 2.32453791e+00 -2.77774301e+02 -4.64544346e-06 
 2.37814113e+00 -2.77736007e+02 -9.05768121e-06 
 2.43298042e+00 -2.77654783e+02 -1.18860141e-05 
 2.48908429e+00 -2.77667474e+02 -5.67331924e-06 
 2.54648190e+00 -2.77774624e+02 -3.31280395e-06 
 2.60520309e+00 -2.77747050e+02 -7.42479961e-06 
 2.66527837e+00 -2.77722567e+02 -5.89769883e-06 
 2.72673897e+00 -2.77701274e+02  2.77640671e-06 
 2.78961683e+00 -2.77637805e+02 -1.72431009e-05 
 2.85394464e+00 -2.77623358e+02 -9.30091968e-06 
 2.91975583e+00 -2.77657847e+02 -3.96151754e-06 
 2.98708461e+00 -2.77696223e+02 -1.25844191e-05 
 3.05596598e+00 -2.77738711e+02 -1.36424857e-06 
 3.12643573e+00 -2.77693731e+02 -4.55219047e-06 
 3.19853049e+00 -2.77698847e+02 -1.66768722e-05 
 3.27228774e+00 -2.77662838e+02 -6.70802805e-06 
 3.34774581e+00 -2.77631657e+02 -1.40084912e-05 
 3.42494392e+00 -2.77696351e+02 -7.36244803e-06 
 3.50392221e+00 -2.77675110e+02 -6.84473540e-07 
 3.58472171e+00 -2.77750749e+02  2.50962993e-06 
 3.66738442e+00 -2.77786515e+02 -5.80883826e-06 
 3.75195331e+00 -2.77764617e+02 -9.56508873e-06 
