 freq            v(vout_spec_db)
 4.16666500e+04 -4.84684696e+01 
 8.33333000e+04 -5.87605597e+00 
 1.24999950e+05 -2.67752021e-08 
 1.66666600e+05 -6.17701301e+00 
 2.08333250e+05 -4.97467046e+01 
 2.49999900e+05 -6.13203709e+01 
 2.91666550e+05 -5.92649419e+01 
 3.33333200e+05 -3.67879289e+01 
 3.74999850e+05 -3.06842781e+01 
 4.16666500e+05 -3.69792617e+01 
 4.58333150e+05 -6.83140155e+01 
 4.99999800e+05 -6.14465398e+01 
 5.41666450e+05 -6.28441856e+01 
 5.83333100e+05 -5.56899412e+01 
 6.24999750e+05 -5.18055050e+01 
 6.66666400e+05 -5.95817270e+01 
