 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e+00 -3.54315084e+00 -4.22297861e-04 
 1.02305973e+00 -3.54315084e+00 -4.32035935e-04 
 1.04665121e+00 -3.54315084e+00 -4.41998567e-04 
 1.07078670e+00 -3.54315084e+00 -4.52190935e-04 
 1.09547876e+00 -3.54315084e+00 -4.62618336e-04 
 1.12074020e+00 -3.54315084e+00 -4.73286189e-04 
 1.14658417e+00 -3.54315084e+00 -4.84200041e-04 
 1.17302409e+00 -3.54315084e+00 -4.95365563e-04 
 1.20007371e+00 -3.54315084e+00 -5.06788559e-04 
 1.22774708e+00 -3.54315084e+00 -5.18474967e-04 
 1.25605860e+00 -3.54315084e+00 -5.30430859e-04 
 1.28502297e+00 -3.54315084e+00 -5.42662452e-04 
 1.31465525e+00 -3.54315084e+00 -5.55176101e-04 
 1.34497085e+00 -3.54315084e+00 -5.67978312e-04 
 1.37598551e+00 -3.54315084e+00 -5.81075738e-04 
 1.40771537e+00 -3.54315084e+00 -5.94475188e-04 
 1.44017690e+00 -3.54315084e+00 -6.08183625e-04 
 1.47338699e+00 -3.54315084e+00 -6.22208175e-04 
 1.50736290e+00 -3.54315084e+00 -6.36556128e-04 
 1.54212228e+00 -3.54315084e+00 -6.51234940e-04 
 1.57768320e+00 -3.54315084e+00 -6.66252242e-04 
 1.61406415e+00 -3.54315084e+00 -6.81615839e-04 
 1.65128404e+00 -3.54315084e+00 -6.97333716e-04 
 1.68936220e+00 -3.54315084e+00 -7.13414043e-04 
 1.72831844e+00 -3.54315084e+00 -7.29865178e-04 
 1.76817299e+00 -3.54315084e+00 -7.46695672e-04 
 1.80894658e+00 -3.54315084e+00 -7.63914272e-04 
 1.85066040e+00 -3.54315084e+00 -7.81529929e-04 
 1.89333613e+00 -3.54315084e+00 -7.99551798e-04 
 1.93699595e+00 -3.54315084e+00 -8.17989246e-04 
 1.98166255e+00 -3.54315084e+00 -8.36851857e-04 
 2.02735916e+00 -3.54315084e+00 -8.56149435e-04 
 2.07410951e+00 -3.54315084e+00 -8.75892010e-04 
 2.12193792e+00 -3.54315084e+00 -8.96089843e-04 
 2.17086923e+00 -3.54315084e+00 -9.16753433e-04 
 2.22092889e+00 -3.54315084e+00 -9.37893519e-04 
 2.27214291e+00 -3.54315084e+00 -9.59521090e-04 
 2.32453791e+00 -3.54315084e+00 -9.81647387e-04 
 2.37814113e+00 -3.54315084e+00 -1.00428391e-03 
 2.43298042e+00 -3.54315084e+00 -1.02744243e-03 
 2.48908429e+00 -3.54315084e+00 -1.05113497e-03 
 2.54648190e+00 -3.54315084e+00 -1.07537386e-03 
 2.60520309e+00 -3.54315084e+00 -1.10017169e-03 
 2.66527837e+00 -3.54315084e+00 -1.12554135e-03 
 2.72673897e+00 -3.54315084e+00 -1.15149603e-03 
 2.78961683e+00 -3.54315084e+00 -1.17804922e-03 
 2.85394464e+00 -3.54315084e+00 -1.20521472e-03 
