 freq            v(vout_RF_filt_spec_db)
 2.86604247e+06 -8.23040194e+01 
 2.99065301e+06 -7.53297903e+01 
 3.11526355e+06 -8.73648012e+01 
 3.23987409e+06 -7.90761091e+01 
 3.36448464e+06 -8.74300326e+01 
 3.48909518e+06 -8.12134676e+01 
 3.61370572e+06 -8.72850696e+01 
 3.73831626e+06 -8.94564228e+01 
 3.86292680e+06 -8.10984588e+01 
 3.98753735e+06 -8.53827430e+01 
 4.11214789e+06 -9.08384977e+01 
 4.23675843e+06 -8.25075099e+01 
 4.36136897e+06 -7.56562531e+01 
 4.48597951e+06 -7.48768777e+01 
 4.61059006e+06 -9.00746114e+01 
 4.73520060e+06 -7.90280676e+01 
 4.85981114e+06 -7.38801387e+01 
 4.98442168e+06 -7.30757278e+01 
 5.10903222e+06 -8.95293426e+01 
 5.23364277e+06 -7.67317957e+01 
 5.35825331e+06 -7.84815800e+01 
 5.48286385e+06 -8.77236271e+01 
 5.60747439e+06 -7.71621083e+01 
 5.73208493e+06 -7.19520645e+01 
 5.85669548e+06 -8.01488616e+01 
 5.98130602e+06 -8.09171635e+01 
 6.10591656e+06 -8.65365628e+01 
 6.23052710e+06 -7.87251863e+01 
 6.35513764e+06 -7.98822440e+01 
 6.47974819e+06 -8.41507244e+01 
 6.60435873e+06 -7.50013718e+01 
 6.72896927e+06 -7.13566522e+01 
 6.85357981e+06 -7.70276061e+01 
 6.97819036e+06 -9.68843913e+01 
 7.10280090e+06 -8.79768454e+01 
 7.22741144e+06 -8.01757638e+01 
 7.35202198e+06 -8.32833675e+01 
 7.47663252e+06 -8.71635919e+01 
 7.60124307e+06 -7.35032283e+01 
 7.72585361e+06 -6.90394484e+01 
 7.85046415e+06 -7.48325597e+01 
 7.97507469e+06 -8.57158773e+01 
 8.09968523e+06 -7.64273347e+01 
 8.22429578e+06 -7.68332074e+01 
 8.34890632e+06 -8.14373061e+01 
 8.47351686e+06 -8.48985037e+01 
 8.59812740e+06 -8.08157266e+01 
 8.72273794e+06 -7.26997491e+01 
 8.84734849e+06 -8.35673167e+01 
 8.97195903e+06 -7.89292882e+01 
 9.09656957e+06 -7.81469214e+01 
 9.22118011e+06 -7.36809286e+01 
 9.34579065e+06 -8.60018305e+01 
