frequency,mag_dB,phase_deg
1.000000000000000000e+00,-4.999999999999998890e-01,-2.864788975657100740e-04
1.020939483707679951e+00,-4.999999999999998890e-01,-2.924776177738942404e-04
1.042317429393304185e+00,-4.999999999999998890e-01,-2.986019480861455168e-04
1.064143018224316117e+00,-4.999999999999998890e-01,-3.048545187131914509e-04
1.086425623617065517e+00,-4.999999999999998890e-01,-3.112380149410144941e-04
1.109174815262401026e+00,-4.999999999999998890e-01,-3.177551782840990413e-04
1.132400363235557039e+00,-4.999999999999998890e-01,-3.244088076628273937e-04
1.156112242192098849e+00,-5.000000000000019984e-01,-3.312017606055297743e-04
1.180320635651729733e+00,-4.999999999999998890e-01,-3.381369544757041514e-04
1.205035940371797398e+00,-5.000000000000019984e-01,-3.452173677249338211e-04
1.230268770812381618e+00,-4.999999999999998890e-01,-3.524460411720408402e-04
1.256029963694874851e+00,-5.000000000000019984e-01,-3.598260793090231010e-04
1.282330582656021400e+00,-4.999999999999998890e-01,-3.673606516343381296e-04
1.309181922999407055e+00,-4.999999999999998890e-01,-3.750529940141053066e-04
1.336595516546442264e+00,-4.999999999999998890e-01,-3.829064100718092690e-04
1.364583136588924273e+00,-4.999999999999998890e-01,-3.909242726071048175e-04
1.393156802945303196e+00,-4.999999999999998890e-01,-3.991100250443307506e-04
1.422328787122819849e+00,-4.999999999999998890e-01,-4.074671829113531174e-04
1.452111617587742431e+00,-4.999999999999998890e-01,-4.159993353493766986e-04
1.482518085145953624e+00,-5.000000000000008882e-01,-4.247101466543701438e-04
1.513561248436208206e+00,-4.999999999999998890e-01,-4.336033578507678056e-04
1.545254439538413793e+00,-4.999999999999998890e-01,-4.426827882981240032e-04
1.577611269699348506e+00,-4.999999999999998890e-01,-4.519523373314103488e-04
1.610645635178270307e+00,-4.999999999999998890e-01,-4.614159859356599500e-04
1.644371723214931524e+00,-4.999999999999998890e-01,-4.710777984556766603e-04
1.678804018122560304e+00,-4.999999999999998890e-01,-4.809419243415464216e-04
1.713957307508425343e+00,-4.999999999999998890e-01,-4.910125999306973318e-04
1.749846688624656865e+00,-4.999999999999998890e-01,-5.012941502672765967e-04
1.786487574852051008e+00,-5.000000000000019984e-01,-5.117909909596227679e-04
1.823895702319637602e+00,-5.000000000000008882e-01,-5.225076300766324329e-04
1.862087136662867071e+00,-4.999999999999998890e-01,-5.334486700838388454e-04
1.901078279923299919e+00,-5.000000000000019984e-01,-5.446188098200263270e-04
1.940885877592777975e+00,-4.999999999999998890e-01,-5.560228465152374476e-04
1.981527025805098097e+00,-4.999999999999998890e-01,-5.676656778510353598e-04
2.023019178678271413e+00,-4.999999999999998890e-01,-5.795523040639065371e-04
2.065380155810529583e+00,-4.999999999999998890e-01,-5.916878300927078159e-04
2.108628149933289286e+00,-4.999999999999998890e-01,-6.040774677710799645e-04
2.152781734724372509e+00,-4.999999999999998890e-01,-6.167265380657699489e-04
2.197859872784824642e+00,-4.999999999999998890e-01,-6.296404733618206568e-04
2.243881923782766297e+00,-5.000000000000019984e-01,-6.428248197956134028e-04
2.290867652767773155e+00,-4.999999999999998890e-01,-6.562852396367616558e-04
2.338837238659354778e+00,-5.000000000000019984e-01,-6.700275137198814270e-04
2.387811282913177457e+00,-4.999999999999998890e-01,-6.840575439272812133e-04
2.437810818368752130e+00,-5.000000000000019984e-01,-6.983813557236372670e-04
2.488857318282390541e+00,-4.999999999999998890e-01,-7.130051007437466322e-04
2.540972705549304766e+00,-4.999999999999998890e-01,-7.279350594344618846e-04
2.594179362118814058e+00,-4.999999999999998890e-01,-7.431776437519505398e-04
