 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e+00 -4.51838356e-01 -2.73987362e-04 
 1.02305973e+00 -4.51838356e-01 -2.80305437e-04 
 1.04665121e+00 -4.51838356e-01 -2.86769204e-04 
 1.07078670e+00 -4.51838356e-01 -2.93382025e-04 
 1.09547876e+00 -4.51838356e-01 -3.00147335e-04 
 1.12074020e+00 -4.51838356e-01 -3.07068651e-04 
 1.14658417e+00 -4.51838356e-01 -3.14149571e-04 
 1.17302409e+00 -4.51838356e-01 -3.21393776e-04 
 1.20007371e+00 -4.51838356e-01 -3.28805029e-04 
 1.22774708e+00 -4.51838356e-01 -3.36387184e-04 
 1.25605860e+00 -4.51838356e-01 -3.44144182e-04 
 1.28502297e+00 -4.51838356e-01 -3.52080054e-04 
 1.31465525e+00 -4.51838356e-01 -3.60198925e-04 
 1.34497085e+00 -4.51838356e-01 -3.68505015e-04 
 1.37598551e+00 -4.51838356e-01 -3.77002641e-04 
 1.40771537e+00 -4.51838356e-01 -3.85696220e-04 
 1.44017690e+00 -4.51838356e-01 -3.94590271e-04 
 1.47338699e+00 -4.51838356e-01 -4.03689416e-04 
 1.50736290e+00 -4.51838356e-01 -4.12998384e-04 
 1.54212228e+00 -4.51838356e-01 -4.22522016e-04 
 1.57768320e+00 -4.51838356e-01 -4.32265259e-04 
 1.61406415e+00 -4.51838356e-01 -4.42233179e-04 
 1.65128404e+00 -4.51838356e-01 -4.52430957e-04 
 1.68936220e+00 -4.51838356e-01 -4.62863892e-04 
 1.72831844e+00 -4.51838356e-01 -4.73537409e-04 
 1.76817299e+00 -4.51838356e-01 -4.84457054e-04 
 1.80894658e+00 -4.51838356e-01 -4.95628502e-04 
 1.85066040e+00 -4.51838356e-01 -5.07057562e-04 
 1.89333613e+00 -4.51838356e-01 -5.18750172e-04 
 1.93699595e+00 -4.51838356e-01 -5.30712411e-04 
 1.98166255e+00 -4.51838356e-01 -5.42950496e-04 
 2.02735916e+00 -4.51838356e-01 -5.55470787e-04 
 2.07410951e+00 -4.51838356e-01 -5.68279794e-04 
 2.12193792e+00 -4.51838356e-01 -5.81384172e-04 
 2.17086923e+00 -4.51838356e-01 -5.94790734e-04 
 2.22092889e+00 -4.51838356e-01 -6.08506448e-04 
 2.27214291e+00 -4.51838356e-01 -6.22538442e-04 
 2.32453791e+00 -4.51838356e-01 -6.36894010e-04 
 2.37814113e+00 -4.51838356e-01 -6.51580614e-04 
 2.43298042e+00 -4.51838356e-01 -6.66605887e-04 
 2.48908429e+00 -4.51838356e-01 -6.81977639e-04 
 2.54648190e+00 -4.51838356e-01 -6.97703859e-04 
 2.60520309e+00 -4.51838356e-01 -7.13792721e-04 
 2.66527837e+00 -4.51838356e-01 -7.30252589e-04 
 2.72673897e+00 -4.51838356e-01 -7.47092016e-04 
 2.78961683e+00 -4.51838356e-01 -7.64319756e-04 
 2.85394464e+00 -4.51838356e-01 -7.81944763e-04 
 2.91975583e+00 -4.51838356e-01 -7.99976198e-04 
 2.98708461e+00 -4.51838356e-01 -8.18423433e-04 
 3.05596598e+00 -4.51838356e-01 -8.37296057e-04 
 3.12643573e+00 -4.51838356e-01 -8.56603877e-04 
 3.19853049e+00 -4.51838356e-01 -8.76356931e-04 
 3.27228774e+00 -4.51838356e-01 -8.96565486e-04 
 3.34774581e+00 -4.51838356e-01 -9.17240043e-04 
 3.42494392e+00 -4.51838356e-01 -9.38391351e-04 
 3.50392221e+00 -4.51838356e-01 -9.60030402e-04 
 3.58472171e+00 -4.51838356e-01 -9.82168444e-04 
 3.66738442e+00 -4.51838356e-01 -1.00481698e-03 
 3.75195331e+00 -4.51838356e-01 -1.02798779e-03 
 3.83847234e+00 -4.51838356e-01 -1.05169291e-03 
 3.92698648e+00 -4.51838356e-01 -1.07594467e-03 
 4.01754173e+00 -4.51838356e-01 -1.10075566e-03 
 4.11018515e+00 -4.51838356e-01 -1.12613879e-03 
 4.20496491e+00 -4.51838356e-01 -1.15210724e-03 
 4.30193027e+00 -4.51838356e-01 -1.17867453e-03 
 4.40113162e+00 -4.51838356e-01 -1.20585444e-03 
 4.50262052e+00 -4.51838356e-01 -1.23366112e-03 
 4.60644974e+00 -4.51838356e-01 -1.26210901e-03 
 4.71267322e+00 -4.51838356e-01 -1.29121290e-03 
 4.82134619e+00 -4.51838356e-01 -1.32098793e-03 
 4.93252513e+00 -4.51838356e-01 -1.35144955e-03 
 5.04626783e+00 -4.51838356e-01 -1.38261361e-03 
 5.16263340e+00 -4.51838356e-01 -1.41449631e-03 
 5.28168234e+00 -4.51838356e-01 -1.44711421e-03 
 5.40347650e+00 -4.51838356e-01 -1.48048427e-03 
