time_us,vout
0.000000000000000000e+00,-1.011386530000000020e-03
2.883700000001017307e-03,6.288289660000000473e-04
3.240800000000858532e-03,8.318555790000000142e-04
3.955100000000480107e-03,1.237877830000000011e-03
4.790800000000868669e-03,1.712872880000000002e-03
4.933700000000430276e-03,1.794062799999999970e-03
5.040800000001417064e-03,1.854954729999999923e-03
5.069400000000978332e-03,1.871192499999999991e-03
5.090800000001526916e-03,1.883370789999999975e-03
5.096600000001390122e-03,1.886618340000000005e-03
5.108000000001239153e-03,1.893113419999999927e-03
5.130800000000937215e-03,1.906103570000000028e-03
5.140799999999941944e-03,1.911786740000000033e-03
5.145400000000535656e-03,1.914384770000000053e-03
5.154600000000026522e-03,1.919580809999999957e-03
5.172800000000825696e-03,1.929972889999999981e-03
5.190800000000051796e-03,1.940202569999999920e-03
5.194500000001192087e-03,1.942280970000000032e-03
5.201800000000143462e-03,1.946437789999999959e-03
5.216400000001435860e-03,1.954751419999999854e-03
5.240800000000161649e-03,1.968618259999999932e-03
5.243800000000032810e-03,1.970280980000000022e-03
5.249600000001590841e-03,1.973606420000000201e-03
5.261300000001256812e-03,1.980257300000000126e-03
5.284700000000589620e-03,1.993559030000000096e-03
5.331500000000950062e-03,2.020162419999999882e-03
5.425200000001609638e-03,2.073368899999999786e-03
5.612400000001355714e-03,2.179780799999999925e-03
5.933600000000989472e-03,2.362285689999999837e-03
6.178500000001248965e-03,2.501505729999999907e-03
6.337900000000947637e-03,2.592079699999999976e-03
6.524900000000815464e-03,2.698356409999999941e-03
6.705900000000941837e-03,2.801184999999999873e-03
7.067800000001254156e-03,3.006842579999999873e-03
7.440400000000146376e-03,3.218585229999999884e-03
8.050500000000406289e-03,3.565302260000000056e-03
8.858100000000930507e-03,4.024299720000000004e-03
1.047330000000028412e-02,4.942447390000000162e-03
1.182230000000046403e-02,5.709415960000000304e-03
1.182330000000155097e-02,5.709984599999999751e-03
1.182530000000033520e-02,5.711121880000000380e-03
1.182930000000129329e-02,5.713396449999999863e-03
1.183230000000116446e-02,5.715102379999999899e-03
1.183310000000067745e-02,5.715557290000000158e-03
1.183470000000140000e-02,5.716467119999999770e-03
1.183790000000114855e-02,5.718286769999999901e-03
1.184430000000064737e-02,5.721926090000000083e-03
1.185710000000133983e-02,5.729204740000000406e-03
1.188270000000102994e-02,5.743762099999999947e-03
1.193390000000041015e-02,5.772877059999999803e-03
1.203630000000086540e-02,5.831107959999999937e-03
1.224110000000008108e-02,5.947573710000000034e-03
1.265070000000020727e-02,6.180521240000000360e-03
1.346990000000045790e-02,6.646481319999999679e-03
1.367930000000026729e-02,6.765601779999999912e-03
1.372930000000037627e-02,6.794046070000000354e-03
1.374570000000057551e-02,6.803366729999999613e-03
1.377840000000103357e-02,6.822008130000000413e-03
1.384400000000013398e-02,6.859291340000000375e-03
1.397500000000015050e-02,6.933859419999999739e-03
1.423720000000006092e-02,7.083002270000000357e-03
1.476149999999994307e-02,7.381314400000000067e-03
1.581000000000146177e-02,7.978039870000000131e-03
1.790720000000099385e-02,9.171833420000000819e-03
2.074080000000026736e-02,1.078530500000000024e-02
2.074180000000135429e-02,1.078587450000000059e-02
2.074380000000013852e-02,1.078701349999999955e-02
2.074780000000109662e-02,1.078929139999999960e-02
2.075080000000096778e-02,1.079099979999999931e-02
2.075160000000048077e-02,1.079145540000000028e-02
2.075320000000120332e-02,1.079236660000000049e-02
2.075640000000095187e-02,1.079418889999999957e-02
2.076280000000045242e-02,1.079783360000000081e-02
2.077560000000114315e-02,1.080512299999999981e-02
2.080120000000083499e-02,1.081970179999999955e-02
2.085240000000021521e-02,1.084885940000000076e-02
2.095480000000066872e-02,1.090717480000000066e-02
2.115960000000157923e-02,1.102380560000000044e-02
2.156920000000001059e-02,1.125706700000000081e-02
2.229780000000110632e-02,1.167198690000000039e-02
2.237980000000040423e-02,1.171863759999999983e-02
2.254360000000081923e-02,1.181193820000000019e-02
2.254779999999996162e-02,1.181435270000000086e-02
2.255630000000157301e-02,1.181918170000000046e-02
2.257330000000140613e-02,1.182883969999999965e-02
2.259780000000007061e-02,1.184282560000000060e-02
2.260120000000139309e-02,1.184475720000000010e-02
2.260800000000064841e-02,1.184862040000000082e-02
2.262160000000085561e-02,1.185634680000000052e-02
2.264780000000017959e-02,1.187129840000000075e-02
2.265060000000017337e-02,1.187284369999999992e-02
2.265600000000028008e-02,1.187593420000000038e-02
2.266680000000049350e-02,1.188211529999999919e-02
2.268850000000085729e-02,1.189447750000000026e-02
2.269780000000028858e-02,1.189977109999999956e-02
2.270220000000100491e-02,1.190224349999999959e-02
2.271090000000080059e-02,1.190718839999999924e-02
2.272820000000045151e-02,1.191707810000000069e-02
2.274780000000039756e-02,1.192824370000000050e-02
2.275129999999996738e-02,1.193022160000000061e-02
2.275830000000079317e-02,1.193417740000000081e-02
2.277220000000081818e-02,1.194208920000000042e-02
2.279990000000092776e-02,1.195791260000000043e-02
2.285550000000102083e-02,1.198955919999999953e-02
2.296670000000121045e-02,1.205285210000000065e-02
2.318899999999995618e-02,1.217943559999999995e-02
2.350600000000045015e-02,1.235995489999999926e-02
2.370690000000033951e-02,1.247433730000000081e-02
2.386250000000065402e-02,1.256292019999999919e-02
2.403390000000153043e-02,1.266052439999999953e-02
2.419190000000038740e-02,1.275048689999999998e-02
2.450790000000148752e-02,1.293040389999999991e-02
2.488650000000012033e-02,1.314595279999999922e-02
2.545340000000122227e-02,1.346862880000000012e-02
2.625410000000085592e-02,1.392433159999999920e-02
2.783880000000011137e-02,1.482581810000000062e-02
2.967940000000141021e-02,1.587213739999999984e-02
2.968040000000080059e-02,1.587270559999999844e-02
2.968240000000128137e-02,1.587384210000000045e-02
2.968640000000054291e-02,1.587611510000000101e-02
2.968940000000041407e-02,1.587781989999999949e-02
2.969019999999992707e-02,1.587827450000000098e-02
2.969180000000064962e-02,1.587918370000000051e-02
2.969500000000039816e-02,1.588100209999999957e-02
2.970140000000159181e-02,1.588463890000000114e-02
2.971420000000058945e-02,1.589191239999999949e-02
2.973980000000028129e-02,1.590645939999999967e-02
2.979100000000135459e-02,1.593555270000000107e-02
2.989340000000011502e-02,1.599373730000000146e-02
3.009820000000102552e-02,1.611009739999999871e-02
3.050780000000114997e-02,1.634278119999999987e-02
3.132700000000140234e-02,1.680799919999999975e-02
3.148640000000110101e-02,1.689849800000000138e-02
3.153640000000121346e-02,1.692688330000000074e-02
3.155280000000140750e-02,1.693618449999999970e-02
3.158560000000011636e-02,1.695478679999999974e-02
3.165110000000096596e-02,1.699199029999999902e-02
3.178220000000092638e-02,1.706639349999999888e-02
3.204430000000089290e-02,1.721518359999999956e-02
3.256860000000078026e-02,1.751269889999999829e-02
3.361720000000054109e-02,1.810746510000000101e-02
3.571430000000013621e-02,1.929592780000000118e-02
3.859800000000115222e-02,2.092781869999999975e-02
3.859900000000054260e-02,2.092838409999999913e-02
3.860100000000102338e-02,2.092951499999999923e-02
3.860500000000028492e-02,2.093177679999999943e-02
3.860800000000015608e-02,2.093347320000000025e-02
3.860880000000136564e-02,2.093392549999999880e-02
3.861040000000039163e-02,2.093483020000000069e-02
3.861360000000014364e-02,2.093663969999999888e-02
3.862000000000133382e-02,2.094025849999999953e-02
3.863280000000033493e-02,2.094749619999999868e-02
3.865840000000002330e-02,2.096197140000000125e-02
3.870960000000110007e-02,2.099092119999999839e-02
3.881200000000155359e-02,2.104881830000000092e-02
3.901680000000076753e-02,2.116460289999999925e-02
3.942640000000089545e-02,2.139613380000000148e-02
4.015500000000029462e-02,2.180785920000000155e-02
4.023690000000135214e-02,2.185414059999999867e-02
4.040070000000006711e-02,2.194669880000000087e-02
4.040500000000084302e-02,2.194909399999999886e-02
4.041350000000076131e-02,2.195388439999999830e-02
4.043040000000065748e-02,2.196346520000000066e-02
4.045500000000095547e-02,2.197733909999999985e-02
4.045840000000058140e-02,2.197925519999999883e-02
4.046520000000153328e-02,2.198308740000000025e-02
4.047870000000010349e-02,2.199075190000000096e-02
4.050590000000051788e-02,2.200608059999999838e-02
4.056010000000145888e-02,2.203673739999999909e-02
4.066870000000153557e-02,2.209804840000000048e-02
4.088580000000005543e-02,2.222066040000000159e-02
4.131990000000054092e-02,2.246584490000000031e-02
4.218830000000138580e-02,2.295606060000000143e-02
4.392500000000144900e-02,2.393592599999999973e-02
4.739840000000156844e-02,2.589382640000000013e-02
4.753660000000059505e-02,2.597164810000000129e-02
4.753759999999999236e-02,2.597221140000000039e-02
4.753960000000046621e-02,2.597333799999999859e-02
4.754360000000142777e-02,2.597559119999999847e-02
4.754660000000129894e-02,2.597728109999999924e-02
4.754740000000080846e-02,2.597773180000000071e-02
4.754900000000153448e-02,2.597863309999999884e-02
4.755220000000127956e-02,2.598043569999999858e-02
4.755860000000078358e-02,2.598404080000000019e-02
4.757140000000147084e-02,2.599125110000000127e-02
4.759700000000116615e-02,2.600567169999999997e-02
4.764820000000054290e-02,2.603451240000000111e-02
4.775060000000099641e-02,2.609219280000000044e-02
4.795540000000021730e-02,2.620754910000000146e-02
4.836500000000033828e-02,2.643824430000000017e-02
4.918420000000059411e-02,2.689957260000000114e-02
4.939360000000039830e-02,2.701748249999999865e-02
4.944360000000051075e-02,2.704563579999999870e-02
4.945990000000077130e-02,2.705486099999999949e-02
4.949270000000116632e-02,2.707331149999999895e-02
4.955820000000032977e-02,2.711021209999999945e-02
4.968930000000028324e-02,2.718401200000000045e-02
4.995150000000019713e-02,2.733160689999999948e-02
5.047570000000013712e-02,2.762677919999999981e-02
5.152430000000159799e-02,2.821706889999999954e-02
5.362150000000112660e-02,2.939755759999999885e-02
5.645510000000040357e-02,3.099284399999999856e-02
5.681230000000018349e-02,3.119393709999999931e-02
5.752660000000149598e-02,3.159615949999999840e-02
5.836230000000019319e-02,3.206684130000000271e-02
5.850510000000151006e-02,3.214731049999999812e-02
5.861230000000074158e-02,3.220766359999999856e-02
5.864080000000036069e-02,3.222375809999999952e-02
5.866230000000084710e-02,3.223582900000000057e-02
5.866800000000077508e-02,3.223904789999999798e-02
5.867940000000062412e-02,3.224548569999999975e-02
5.870230000000026260e-02,3.225836149999999902e-02
5.871230000000095955e-02,3.226399459999999830e-02
5.871680000000160937e-02,3.226656979999999869e-02
5.872600000000110371e-02,3.227172019999999947e-02
5.874430000000014501e-02,3.228202089999999969e-02
5.876230000000107201e-02,3.229216070000000272e-02
5.876590000000057185e-02,3.229422089999999662e-02
5.877320000000121891e-02,3.229834119999999698e-02
5.878790000000076038e-02,3.230658189999999902e-02
5.881230000000117752e-02,3.232032719999999859e-02
5.881520000000110826e-02,3.232197540000000119e-02
5.882100000000097667e-02,3.232527169999999811e-02
5.883280000000058046e-02,3.233186429999999889e-02
5.885620000000160723e-02,3.234504970000000312e-02
5.890300000000027458e-02,3.237142070000000038e-02
5.899660000000099547e-02,3.242416380000000264e-02
5.918380000000073721e-02,3.252965459999999920e-02
5.950500000000037010e-02,3.271059710000000231e-02
5.975000000000057349e-02,3.284864009999999973e-02
5.990930000000033173e-02,3.293845509999999976e-02
6.009640000000013998e-02,3.304384820000000333e-02
6.027730000000032506e-02,3.314582879999999898e-02
6.063920000000063565e-02,3.334981110000000137e-02
6.101180000000122616e-02,3.355985770000000090e-02
6.162190000000148521e-02,3.390386010000000228e-02
6.242950000000031113e-02,3.435938250000000055e-02
6.404480000000130346e-02,3.527097910000000225e-02
6.539370000000153949e-02,3.603287749999999762e-02
6.539470000000092986e-02,3.603344249999999860e-02
6.539670000000141759e-02,3.603457250000000056e-02
6.540070000000067219e-02,3.603683259999999888e-02
6.540370000000055029e-02,3.603852760000000183e-02
6.540450000000005981e-02,3.603897970000000117e-02
6.540610000000078583e-02,3.603988369999999719e-02
6.540930000000053091e-02,3.604169179999999750e-02
6.541570000000003493e-02,3.604530789999999679e-02
6.542850000000072219e-02,3.605254019999999671e-02
6.545410000000041750e-02,3.606700510000000054e-02
6.550530000000148734e-02,3.609593540000000100e-02
6.560770000000025470e-02,3.615379850000000062e-02
6.581250000000116174e-02,3.626953480000000285e-02
6.622210000000128272e-02,3.650104810000000255e-02
6.704130000000153855e-02,3.696423709999999835e-02
6.720070000000123722e-02,3.705438960000000115e-02
6.725070000000134274e-02,3.708267039999999654e-02
6.726710000000153677e-02,3.709193749999999817e-02
6.729990000000024564e-02,3.711047199999999852e-02
6.736540000000110218e-02,3.714754199999999867e-02
6.749650000000105565e-02,3.722168599999999689e-02
6.775860000000102912e-02,3.736999059999999984e-02
6.828290000000090954e-02,3.766666529999999902e-02
6.933150000000067037e-02,3.826027120000000115e-02
7.142860000000027243e-02,3.944843499999999697e-02
7.431230000000128844e-02,4.108392279999999869e-02
7.431330000000067881e-02,4.108449029999999835e-02
7.431530000000115266e-02,4.108562529999999768e-02
7.431930000000042114e-02,4.108789530000000328e-02
7.432230000000028536e-02,4.108959780000000228e-02
7.432310000000150185e-02,4.109005179999999924e-02
7.432470000000052091e-02,4.109095990000000143e-02
7.432790000000027986e-02,4.109277590000000313e-02
7.433430000000146309e-02,4.109640789999999960e-02
7.434710000000047114e-02,4.110367200000000082e-02
7.437270000000015258e-02,4.111820029999999765e-02
7.442390000000123629e-02,4.114725729999999665e-02
7.452629999999998978e-02,4.120537269999999946e-02
7.473110000000089681e-02,4.132160919999999793e-02
7.514070000000103167e-02,4.155410329999999902e-02
7.586930000000043084e-02,4.196772850000000249e-02
7.595120000000148142e-02,4.201423979999999864e-02
7.611500000000019639e-02,4.210726430000000242e-02
7.611930000000097229e-02,4.210967169999999676e-02
7.612780000000089753e-02,4.211448660000000066e-02
7.614470000000078675e-02,4.212411630000000018e-02
7.616930000000109169e-02,4.213806120000000016e-02
7.617270000000071761e-02,4.213998719999999948e-02
7.617940000000003598e-02,4.214383909999999678e-02
7.619300000000023276e-02,4.215154289999999832e-02
7.621930000000119720e-02,4.216645100000000063e-02
7.622200000000124709e-02,4.216799169999999736e-02
7.622740000000136074e-02,4.217107330000000043e-02
7.623830000000150764e-02,4.217723639999999830e-02
7.626000000000017487e-02,4.218956270000000230e-02
7.626930000000130272e-02,4.219484099999999682e-02
7.627360000000038553e-02,4.219730630000000093e-02
7.628230000000017774e-02,4.220223680000000088e-02
7.629970000000146912e-02,4.221209790000000212e-02
7.631930000000142211e-02,4.222323139999999836e-02
7.632270000000104804e-02,4.222520359999999695e-02
7.632970000000018074e-02,4.222914810000000241e-02
7.634360000000020574e-02,4.223703699999999811e-02
