 v-sweep         v(vinp)         v(voutp)        v(voutn)       
-1.50000000e+00  0.00000000e+00  7.60846479e-02  1.44023357e+00 
-1.49900000e+00  5.00000000e-04  7.61096070e-02  1.44023052e+00 
-1.49800000e+00  1.00000000e-03  7.61346181e-02  1.44022747e+00 
-1.49700000e+00  1.50000000e-03  7.61596639e-02  1.44022442e+00 
-1.49600000e+00  2.00000000e-03  7.61847445e-02  1.44022137e+00 
-1.49500000e+00  2.50000000e-03  7.62098599e-02  1.44021833e+00 
-1.49400000e+00  3.00000000e-03  7.62350102e-02  1.44021529e+00 
-1.49300000e+00  3.50000000e-03  7.62601954e-02  1.44021225e+00 
-1.49200000e+00  4.00000000e-03  7.62854156e-02  1.44020921e+00 
-1.49100000e+00  4.50000000e-03  7.63106709e-02  1.44020618e+00 
-1.49000000e+00  5.00000000e-03  7.63359613e-02  1.44020314e+00 
-1.48900000e+00  5.50000000e-03  7.63612868e-02  1.44020011e+00 
-1.48800000e+00  6.00000000e-03  7.63866475e-02  1.44019709e+00 
-1.48700000e+00  6.50000000e-03  7.64120435e-02  1.44019406e+00 
-1.48600000e+00  7.00000000e-03  7.64374747e-02  1.44019104e+00 
-1.48500000e+00  7.50000000e-03  7.64629414e-02  1.44018802e+00 
-1.48400000e+00  8.00000000e-03  7.64884434e-02  1.44018500e+00 
-1.48300000e+00  8.50000000e-03  7.65139810e-02  1.44018198e+00 
-1.48200000e+00  9.00000000e-03  7.65395540e-02  1.44017897e+00 
-1.48100000e+00  9.50000000e-03  7.65651627e-02  1.44017596e+00 
-1.48000000e+00  1.00000000e-02  7.65908070e-02  1.44017295e+00 
-1.47900000e+00  1.05000000e-02  7.66164869e-02  1.44016994e+00 
-1.47800000e+00  1.10000000e-02  7.66422026e-02  1.44016694e+00 
-1.47700000e+00  1.15000000e-02  7.66679541e-02  1.44016393e+00 
-1.47600000e+00  1.20000000e-02  7.66937414e-02  1.44016093e+00 
-1.47500000e+00  1.25000000e-02  7.67195647e-02  1.44015794e+00 
-1.47400000e+00  1.30000000e-02  7.67454239e-02  1.44015494e+00 
-1.47300000e+00  1.35000000e-02  7.67713191e-02  1.44015195e+00 
-1.47200000e+00  1.40000000e-02  7.67972504e-02  1.44014896e+00 
-1.47100000e+00  1.45000000e-02  7.68232177e-02  1.44014597e+00 
-1.47000000e+00  1.50000000e-02  7.68492213e-02  1.44014299e+00 
-1.46900000e+00  1.55000000e-02  7.68752611e-02  1.44014000e+00 
-1.46800000e+00  1.60000000e-02  7.69013371e-02  1.44013702e+00 
-1.46700000e+00  1.65000000e-02  7.69274495e-02  1.44013404e+00 
-1.46600000e+00  1.70000000e-02  7.69535983e-02  1.44013107e+00 
-1.46500000e+00  1.75000000e-02  7.69797835e-02  1.44012809e+00 
-1.46400000e+00  1.80000000e-02  7.70060053e-02  1.44012512e+00 
-1.46300000e+00  1.85000000e-02  7.70322635e-02  1.44012215e+00 
-1.46200000e+00  1.90000000e-02  7.70585584e-02  1.44011918e+00 
-1.46100000e+00  1.95000000e-02  7.70848899e-02  1.44011622e+00 
-1.46000000e+00  2.00000000e-02  7.71112582e-02  1.44011326e+00 
-1.45900000e+00  2.05000000e-02  7.71376632e-02  1.44011030e+00 
-1.45800000e+00  2.10000000e-02  7.71641050e-02  1.44010734e+00 
-1.45700000e+00  2.15000000e-02  7.71905837e-02  1.44010438e+00 
-1.45600000e+00  2.20000000e-02  7.72170993e-02  1.44010143e+00 
-1.45500000e+00  2.25000000e-02  7.72436519e-02  1.44009848e+00 
-1.45400000e+00  2.30000000e-02  7.72702415e-02  1.44009553e+00 
-1.45300000e+00  2.35000000e-02  7.72968682e-02  1.44009258e+00 
-1.45200000e+00  2.40000000e-02  7.73235321e-02  1.44008964e+00 
-1.45100000e+00  2.45000000e-02  7.73502332e-02  1.44008670e+00 
-1.45000000e+00  2.50000000e-02  7.73769715e-02  1.44008376e+00 
-1.44900000e+00  2.55000000e-02  7.74037471e-02  1.44008082e+00 
-1.44800000e+00  2.60000000e-02  7.74305601e-02  1.44007788e+00 
-1.44700000e+00  2.65000000e-02  7.74574105e-02  1.44007495e+00 
-1.44600000e+00  2.70000000e-02  7.74842984e-02  1.44007202e+00 
-1.44500000e+00  2.75000000e-02  7.75112238e-02  1.44006909e+00 
-1.44400000e+00  2.80000000e-02  7.75381867e-02  1.44006617e+00 
-1.44300000e+00  2.85000000e-02  7.75651873e-02  1.44006324e+00 
-1.44200000e+00  2.90000000e-02  7.75922256e-02  1.44006032e+00 
-1.44100000e+00  2.95000000e-02  7.76193016e-02  1.44005740e+00 
-1.44000000e+00  3.00000000e-02  7.76464154e-02  1.44005449e+00 
-1.43900000e+00  3.05000000e-02  7.76735671e-02  1.44005157e+00 
-1.43800000e+00  3.10000000e-02  7.77007567e-02  1.44004866e+00 
-1.43700000e+00  3.15000000e-02  7.77279842e-02  1.44004575e+00 
-1.43600000e+00  3.20000000e-02  7.77552497e-02  1.44004284e+00 
-1.43500000e+00  3.25000000e-02  7.77825533e-02  1.44003993e+00 
-1.43400000e+00  3.30000000e-02  7.78098951e-02  1.44003703e+00 
-1.43300000e+00  3.35000000e-02  7.78372750e-02  1.44003413e+00 
-1.43200000e+00  3.40000000e-02  7.78646931e-02  1.44003123e+00 
-1.43100000e+00  3.45000000e-02  7.78921495e-02  1.44002833e+00 
-1.43000000e+00  3.50000000e-02  7.79196442e-02  1.44002544e+00 
-1.42900000e+00  3.55000000e-02  7.79471774e-02  1.44002254e+00 
-1.42800000e+00  3.60000000e-02  7.79747489e-02  1.44001965e+00 
-1.42700000e+00  3.65000000e-02  7.80023590e-02  1.44001677e+00 
-1.42600000e+00  3.70000000e-02  7.80300077e-02  1.44001388e+00 
-1.42500000e+00  3.75000000e-02  7.80576949e-02  1.44001099e+00 
-1.42400000e+00  3.80000000e-02  7.80854208e-02  1.44000811e+00 
-1.42300000e+00  3.85000000e-02  7.81131854e-02  1.44000523e+00 
-1.42200000e+00  3.90000000e-02  7.81409888e-02  1.44000235e+00 
-1.42100000e+00  3.95000000e-02  7.81688310e-02  1.43999948e+00 
-1.42000000e+00  4.00000000e-02  7.81967121e-02  1.43999661e+00 
-1.41900000e+00  4.05000000e-02  7.82246322e-02  1.43999373e+00 
-1.41800000e+00  4.10000000e-02  7.82525912e-02  1.43999086e+00 
-1.41700000e+00  4.15000000e-02  7.82805893e-02  1.43998800e+00 
-1.41600000e+00  4.20000000e-02  7.83086265e-02  1.43998513e+00 
-1.41500000e+00  4.25000000e-02  7.83367028e-02  1.43998227e+00 
-1.41400000e+00  4.30000000e-02  7.83648183e-02  1.43997941e+00 
-1.41300000e+00  4.35000000e-02  7.83929731e-02  1.43997655e+00 
-1.41200000e+00  4.40000000e-02  7.84211672e-02  1.43997369e+00 
-1.41100000e+00  4.45000000e-02  7.84494007e-02  1.43997084e+00 
-1.41000000e+00  4.50000000e-02  7.84776736e-02  1.43996798e+00 
-1.40900000e+00  4.55000000e-02  7.85059860e-02  1.43996513e+00 
-1.40800000e+00  4.60000000e-02  7.85343379e-02  1.43996228e+00 
-1.40700000e+00  4.65000000e-02  7.85627294e-02  1.43995943e+00 
-1.40600000e+00  4.70000000e-02  7.85911606e-02  1.43995659e+00 
-1.40500000e+00  4.75000000e-02  7.86196314e-02  1.43995375e+00 
-1.40400000e+00  4.80000000e-02  7.86481420e-02  1.43995090e+00 
-1.40300000e+00  4.85000000e-02  7.86766924e-02  1.43994807e+00 
-1.40200000e+00  4.90000000e-02  7.87052827e-02  1.43994523e+00 
-1.40100000e+00  4.95000000e-02  7.87339129e-02  1.43994239e+00 
-1.40000000e+00  5.00000000e-02  7.87625830e-02  1.43993956e+00 
-1.39900000e+00  5.05000000e-02  7.87912932e-02  1.43993673e+00 
-1.39800000e+00  5.10000000e-02  7.88200435e-02  1.43993390e+00 
-1.39700000e+00  5.15000000e-02  7.88488339e-02  1.43993107e+00 
-1.39600000e+00  5.20000000e-02  7.88776644e-02  1.43992824e+00 
-1.39500000e+00  5.25000000e-02  7.89065353e-02  1.43992542e+00 
-1.39400000e+00  5.30000000e-02  7.89354464e-02  1.43992259e+00 
-1.39300000e+00  5.35000000e-02  7.89643979e-02  1.43991977e+00 
-1.39200000e+00  5.40000000e-02  7.89933898e-02  1.43991695e+00 
-1.39100000e+00  5.45000000e-02  7.90224221e-02  1.43991414e+00 
-1.39000000e+00  5.50000000e-02  7.90514950e-02  1.43991132e+00 
-1.38900000e+00  5.55000000e-02  7.90806084e-02  1.43990851e+00 
-1.38800000e+00  5.60000000e-02  7.91097625e-02  1.43990570e+00 
-1.38700000e+00  5.65000000e-02  7.91389572e-02  1.43990289e+00 
-1.38600000e+00  5.70000000e-02  7.91681927e-02  1.43990008e+00 
-1.38500000e+00  5.75000000e-02  7.91974690e-02  1.43989727e+00 
-1.38400000e+00  5.80000000e-02  7.92267861e-02  1.43989446e+00 
-1.38300000e+00  5.85000000e-02  7.92561441e-02  1.43989166e+00 
-1.38200000e+00  5.90000000e-02  7.92855431e-02  1.43988886e+00 
-1.38100000e+00  5.95000000e-02  7.93149831e-02  1.43988606e+00 
-1.38000000e+00  6.00000000e-02  7.93444641e-02  1.43988326e+00 
-1.37900000e+00  6.05000000e-02  7.93739863e-02  1.43988046e+00 
-1.37800000e+00  6.10000000e-02  7.94035496e-02  1.43987767e+00 
-1.37700000e+00  6.15000000e-02  7.94331542e-02  1.43987487e+00 
-1.37600000e+00  6.20000000e-02  7.94628000e-02  1.43987208e+00 
-1.37500000e+00  6.25000000e-02  7.94924872e-02  1.43986929e+00 
-1.37400000e+00  6.30000000e-02  7.95222158e-02  1.43986650e+00 
-1.37300000e+00  6.35000000e-02  7.95519858e-02  1.43986371e+00 
-1.37200000e+00  6.40000000e-02  7.95817974e-02  1.43986092e+00 
-1.37100000e+00  6.45000000e-02  7.96116505e-02  1.43985814e+00 
-1.37000000e+00  6.50000000e-02  7.96415452e-02  1.43985535e+00 
-1.36900000e+00  6.55000000e-02  7.96714815e-02  1.43985257e+00 
-1.36800000e+00  6.60000000e-02  7.97014596e-02  1.43984979e+00 
-1.36700000e+00  6.65000000e-02  7.97314795e-02  1.43984701e+00 
-1.36600000e+00  6.70000000e-02  7.97615412e-02  1.43984423e+00 
-1.36500000e+00  6.75000000e-02  7.97916448e-02  1.43984145e+00 
-1.36400000e+00  6.80000000e-02  7.98217904e-02  1.43983868e+00 
-1.36300000e+00  6.85000000e-02  7.98519779e-02  1.43983590e+00 
-1.36200000e+00  6.90000000e-02  7.98822075e-02  1.43983313e+00 
-1.36100000e+00  6.95000000e-02  7.99124792e-02  1.43983036e+00 
-1.36000000e+00  7.00000000e-02  7.99427931e-02  1.43982759e+00 
-1.35900000e+00  7.05000000e-02  7.99731492e-02  1.43982482e+00 
-1.35800000e+00  7.10000000e-02  8.00035476e-02  1.43982205e+00 
-1.35700000e+00  7.15000000e-02  8.00339883e-02  1.43981928e+00 
-1.35600000e+00  7.20000000e-02  8.00644713e-02  1.43981651e+00 
-1.35500000e+00  7.25000000e-02  8.00949969e-02  1.43981375e+00 
-1.35400000e+00  7.30000000e-02  8.01255649e-02  1.43981098e+00 
-1.35300000e+00  7.35000000e-02  8.01561755e-02  1.43980822e+00 
-1.35200000e+00  7.40000000e-02  8.01868287e-02  1.43980546e+00 
-1.35100000e+00  7.45000000e-02  8.02175245e-02  1.43980269e+00 
-1.35000000e+00  7.50000000e-02  8.02482631e-02  1.43979993e+00 
-1.34900000e+00  7.55000000e-02  8.02790444e-02  1.43979717e+00 
-1.34800000e+00  7.60000000e-02  8.03098686e-02  1.43979441e+00 
-1.34700000e+00  7.65000000e-02  8.03407357e-02  1.43979166e+00 
-1.34600000e+00  7.70000000e-02  8.03716457e-02  1.43978890e+00 
-1.34500000e+00  7.75000000e-02  8.04025987e-02  1.43978614e+00 
-1.34400000e+00  7.80000000e-02  8.04335947e-02  1.43978339e+00 
-1.34300000e+00  7.85000000e-02  8.04646339e-02  1.43978063e+00 
-1.34200000e+00  7.90000000e-02  8.04957162e-02  1.43977788e+00 
-1.34100000e+00  7.95000000e-02  8.05268418e-02  1.43977512e+00 
