 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.00000000e-01  1.56670632e-05  3.69089831e-04 
 1.02305973e-01  1.54894894e-05  3.64906489e-04 
 1.04665121e-01  1.53139282e-05  3.60770561e-04 
 1.07078670e-01  1.51403569e-05  3.56681510e-04 
 1.09547876e-01  1.49687528e-05  3.52638806e-04 
 1.12074020e-01  1.47990938e-05  3.48641922e-04 
 1.14658417e-01  1.46313577e-05  3.44690341e-04 
 1.17302409e-01  1.44655228e-05  3.40783547e-04 
 1.20007371e-01  1.43015675e-05  3.36921033e-04 
 1.22774708e-01  1.41394705e-05  3.33102299e-04 
 1.25605860e-01  1.39792107e-05  3.29326846e-04 
 1.28502297e-01  1.38207674e-05  3.25594186e-04 
 1.31465525e-01  1.36641198e-05  3.21903832e-04 
 1.34497085e-01  1.35092478e-05  3.18255305e-04 
 1.37598551e-01  1.33561311e-05  3.14648132e-04 
 1.40771537e-01  1.32047499e-05  3.11081843e-04 
 1.44017690e-01  1.30550844e-05  3.07555975e-04 
 1.47338699e-01  1.29071153e-05  3.04070070e-04 
 1.50736290e-01  1.27608233e-05  3.00623675e-04 
 1.54212228e-01  1.26161894e-05  2.97216343e-04 
 1.57768320e-01  1.24731949e-05  2.93847630e-04 
 1.61406415e-01  1.23318210e-05  2.90517098e-04 
 1.65128404e-01  1.21920495e-05  2.87224316e-04 
 1.68936220e-01  1.20538623e-05  2.83968854e-04 
 1.72831844e-01  1.19172412e-05  2.80750291e-04 
 1.76817299e-01  1.17821687e-05  2.77568207e-04 
 1.80894658e-01  1.16486271e-05  2.74422190e-04 
 1.85066040e-01  1.15165991e-05  2.71311831e-04 
 1.89333613e-01  1.13860675e-05  2.68236725e-04 
 1.93699595e-01  1.12570154e-05  2.65196473e-04 
 1.98166255e-01  1.11294260e-05  2.62190680e-04 
 2.02735916e-01  1.10032827e-05  2.59218955e-04 
 2.07410951e-01  1.08785692e-05  2.56280913e-04 
 2.12193792e-01  1.07552692e-05  2.53376170e-04 
 2.17086923e-01  1.06333667e-05  2.50504351e-04 
 2.22092889e-01  1.05128458e-05  2.47665082e-04 
 2.27214291e-01  1.03936910e-05  2.44857993e-04 
 2.32453791e-01  1.02758867e-05  2.42082721e-04 
 2.37814113e-01  1.01594176e-05  2.39338904e-04 
 2.43298042e-01  1.00442686e-05  2.36626186e-04 
 2.48908429e-01  9.93042477e-06  2.33944215e-04 
 2.54648190e-01  9.81787124e-06  2.31292642e-04 
 2.60520309e-01  9.70659341e-06  2.28671122e-04 
 2.66527837e-01  9.59657682e-06  2.26079315e-04 
 2.72673897e-01  9.48780719e-06  2.23516884e-04 
 2.78961683e-01  9.38027038e-06  2.20983497e-04 
 2.85394464e-01  9.27395242e-06  2.18478823e-04 
 2.91975583e-01  9.16883948e-06  2.16002538e-04 
 2.98708461e-01  9.06491792e-06  2.13554320e-04 
 3.05596598e-01  8.96217423e-06  2.11133850e-04 
 3.12643573e-01  8.86059505e-06  2.08740814e-04 
 3.19853049e-01  8.76016720e-06  2.06374902e-04 
 3.27228774e-01  8.66087762e-06  2.04035805e-04 
 3.34774581e-01  8.56271341e-06  2.01723220e-04 
 3.42494392e-01  8.46566181e-06  1.99436847e-04 
 3.50392221e-01  8.36971022e-06  1.97176388e-04 
 3.58472171e-01  8.27484616e-06  1.94941549e-04 
 3.66738442e-01  8.18105731e-06  1.92732041e-04 
 3.75195331e-01  8.08833149e-06  1.90547575e-04 
 3.83847234e-01  7.99665664e-06  1.88387869e-04 
 3.92698648e-01  7.90602085e-06  1.86252641e-04 
 4.01754173e-01  7.81641235e-06  1.84141615e-04 
 4.11018515e-01  7.72781949e-06  1.82054515e-04 
 4.20496491e-01  7.64023077e-06  1.79991071e-04 
 4.30193027e-01  7.55363479e-06  1.77951014e-04 
 4.40113162e-01  7.46802031e-06  1.75934080e-04 
 4.50262052e-01  7.38337620e-06  1.73940006e-04 
