 time            v(vinp)         v(vinn)         v(voutp)        v(voutn)        v(vout)        
 8.00000000e-06 -0.00000000e+00  1.50000000e+00  9.23921820e-01  5.80053140e-01  3.43868680e-01 
 8.00035714e-06 -0.00000000e+00  1.50000000e+00  9.23830028e-01  5.80131450e-01  3.43698578e-01 
 8.00107143e-06 -0.00000000e+00  1.50000000e+00  9.23646434e-01  5.80288137e-01  3.43358297e-01 
 8.00190714e-06 -0.00000000e+00  1.50000000e+00  9.23431596e-01  5.80471571e-01  3.42960025e-01 
 8.00205000e-06 -0.00000000e+00  1.50000000e+00  9.23394866e-01  5.80502940e-01  3.42891927e-01 
 8.00215714e-06 -0.00000000e+00  1.50000000e+00  9.23367318e-01  5.80526467e-01  3.42840851e-01 
 8.00218571e-06 -0.00000000e+00  1.50000000e+00  9.23359972e-01  5.80532741e-01  3.42827231e-01 
 8.00220714e-06 -0.00000000e+00  1.50000000e+00  9.23354462e-01  5.80537447e-01  3.42817015e-01 
 8.00221286e-06 -0.00000000e+00  1.50000000e+00  9.23352993e-01  5.80538702e-01  3.42814291e-01 
 8.00222429e-06 -0.00000000e+00  1.50000000e+00  9.23350054e-01  5.80541212e-01  3.42808843e-01 
 8.00224714e-06 -0.00000000e+00  1.50000000e+00  9.23344177e-01  5.80546231e-01  3.42797946e-01 
 8.00225714e-06 -0.00000000e+00  1.50000000e+00  9.23341606e-01  5.80548427e-01  3.42793179e-01 
 8.00226171e-06 -0.00000000e+00  1.49314285e+00  9.23340429e-01  5.80549430e-01  3.42790999e-01 
 8.00227086e-06 -0.00000000e+00  1.47942856e+00  9.23338079e-01  5.80551438e-01  3.42786641e-01 
 8.00228914e-06 -0.00000000e+00  1.45199998e+00  9.23333377e-01  5.80555454e-01  3.42777923e-01 
 8.00230714e-06 -0.00000000e+00  1.42500000e+00  9.23328749e-01  5.80559407e-01  3.42769342e-01 
 8.00231080e-06  5.48571648e-03  1.41951428e+00  9.23327810e-01  5.80560212e-01  3.42767598e-01 
 8.00231811e-06  1.64571494e-02  1.40854285e+00  9.23325929e-01  5.80561818e-01  3.42764111e-01 
 8.00233274e-06  3.84000154e-02  1.38659998e+00  9.23322168e-01  5.80565031e-01  3.42757137e-01 
 8.00236200e-06  8.22857472e-02  1.34271425e+00  9.23314645e-01  5.80571456e-01  3.42743189e-01 
 8.00242051e-06  1.70057211e-01  1.25494279e+00  9.23299598e-01  5.80584307e-01  3.42715291e-01 
 8.00253754e-06  3.45600138e-01  1.07939986e+00  9.23269504e-01  5.80610010e-01  3.42659494e-01 
 8.00277160e-06  6.96685993e-01  7.28314007e-01  9.23209309e-01  5.80661418e-01  3.42547892e-01 
 8.00305527e-06  1.12218866e+00  3.02811337e-01  9.23136346e-01  5.80723726e-01  3.42412619e-01 
 8.00327701e-06  1.45480202e+00 -0.00000000e+00  9.23079302e-01  5.80772435e-01  3.42306866e-01 
 8.00343153e-06  1.50000000e+00 -0.00000000e+00  9.23039546e-01  5.80806378e-01  3.42233168e-01 
 8.00361381e-06  1.50000000e+00 -0.00000000e+00  9.22992645e-01  5.80846421e-01  3.42146224e-01 
 8.00377973e-06  1.50000000e+00 -0.00000000e+00  9.22949948e-01  5.80882873e-01  3.42067075e-01 
 8.00406890e-06  1.50000000e+00 -0.00000000e+00  9.22875531e-01  5.80946403e-01  3.41929128e-01 
 8.00445786e-06  1.50000000e+00 -0.00000000e+00  9.22775427e-01  5.81031872e-01  3.41743555e-01 
 8.00497027e-06  1.50000000e+00 -0.00000000e+00  9.22643555e-01  5.81144508e-01  3.41499047e-01 
 8.00575137e-06  1.50000000e+00 -0.00000000e+00  9.22442576e-01  5.81316310e-01  3.41126267e-01 
 8.00712579e-06  1.50000000e+00 -0.00000000e+00  9.22088975e-01  5.81618800e-01  3.40470175e-01 
 8.00893857e-06  1.50000000e+00 -0.00000000e+00  9.21622412e-01  5.82017794e-01  3.39604619e-01 
 8.00893957e-06  1.50000000e+00 -0.00000000e+00  9.21622155e-01  5.82018014e-01  3.39604141e-01 
 8.00894157e-06  1.50000000e+00 -0.00000000e+00  9.21621640e-01  5.82018454e-01  3.39603186e-01 
 8.00894557e-06  1.50000000e+00 -0.00000000e+00  9.21620610e-01  5.82019335e-01  3.39601276e-01 
 8.00894857e-06  1.50000000e+00 -0.00000000e+00  9.21619838e-01  5.82019995e-01  3.39599843e-01 
 8.00894937e-06  1.50000000e+00 -0.00000000e+00  9.21619632e-01  5.82020171e-01  3.39599461e-01 
 8.00895097e-06  1.50000000e+00 -0.00000000e+00  9.21619220e-01  5.82020523e-01  3.39598697e-01 
 8.00895417e-06  1.50000000e+00 -0.00000000e+00  9.21618397e-01  5.82021228e-01  3.39597169e-01 
 8.00896057e-06  1.50000000e+00 -0.00000000e+00  9.21616749e-01  5.82022636e-01  3.39594113e-01 
 8.00897337e-06  1.50000000e+00 -0.00000000e+00  9.21613454e-01  5.82025454e-01  3.39588000e-01 
 8.00899897e-06  1.50000000e+00 -0.00000000e+00  9.21606863e-01  5.82031089e-01  3.39575775e-01 
 8.00905017e-06  1.50000000e+00 -0.00000000e+00  9.21593682e-01  5.82042358e-01  3.39551324e-01 
 8.00915257e-06  1.50000000e+00 -0.00000000e+00  9.21567318e-01  5.82064896e-01  3.39502423e-01 
 8.00935737e-06  1.50000000e+00 -0.00000000e+00  9.21514586e-01  5.82109968e-01  3.39404618e-01 
 8.00976697e-06  1.50000000e+00 -0.00000000e+00  9.21409108e-01  5.82200105e-01  3.39209004e-01 
 8.01058617e-06  1.50000000e+00 -0.00000000e+00  9.21198122e-01  5.82380368e-01  3.38817754e-01 
 8.01074557e-06  1.50000000e+00 -0.00000000e+00  9.21157065e-01  5.82415444e-01  3.38741621e-01 
 8.01079557e-06  1.50000000e+00 -0.00000000e+00  9.21144186e-01  5.82426446e-01  3.38717740e-01 
 8.01081196e-06  1.50000000e+00 -0.00000000e+00  9.21139966e-01  5.82430052e-01  3.38709915e-01 
 8.01084472e-06  1.50000000e+00 -0.00000000e+00  9.21131526e-01  5.82437262e-01  3.38694264e-01 
 8.01091026e-06  1.50000000e+00 -0.00000000e+00  9.21114646e-01  5.82451684e-01  3.38662962e-01 
 8.01104133e-06  1.50000000e+00 -0.00000000e+00  9.21080885e-01  5.82480527e-01  3.38600358e-01 
 8.01130348e-06  1.50000000e+00 -0.00000000e+00  9.21013366e-01  5.82538218e-01  3.38475148e-01 
 8.01182776e-06  1.50000000e+00 -0.00000000e+00  9.20878340e-01  5.82653620e-01  3.38224721e-01 
 8.01287634e-06  1.50000000e+00 -0.00000000e+00  9.20608340e-01  5.82884504e-01  3.37723836e-01 
 8.01497349e-06  1.50000000e+00 -0.00000000e+00  9.20068435e-01  5.83346513e-01  3.36721922e-01 
 8.01785714e-06  1.50000000e+00 -0.00000000e+00  9.19325986e-01  5.83982237e-01  3.35343749e-01 
 8.01785814e-06  1.50000000e+00 -0.00000000e+00  9.19325728e-01  5.83982457e-01  3.35343271e-01 
 8.01786014e-06  1.50000000e+00 -0.00000000e+00  9.19325213e-01  5.83982898e-01  3.35342315e-01 
