 freq            v(vout_spec_db)
 4.16666500e+04 -4.83576784e+01 
 8.33333000e+04 -5.87572697e+00 
 1.24999950e+05 -6.33898313e-07 
 1.66666600e+05 -6.17712969e+00 
 2.08333250e+05 -4.97885621e+01 
 2.49999900e+05 -6.15527649e+01 
 2.91666550e+05 -5.93903606e+01 
 3.33333200e+05 -3.64864540e+01 
 3.74999850e+05 -3.04088817e+01 
 4.16666500e+05 -3.67149864e+01 
 4.58333150e+05 -6.85798128e+01 
 4.99999800e+05 -6.14002689e+01 
 5.41666450e+05 -6.29332930e+01 
 5.83333100e+05 -5.55904563e+01 
 6.24999750e+05 -5.16000811e+01 
 6.66666400e+05 -5.98372355e+01 
