 frequency       v(amag_db)      v(aarg)        
 1.00000000e+00 -3.58925931e+00 -2.73468900e-04 
 1.02305973e+00 -3.58925931e+00 -2.79775019e-04 
 1.04665121e+00 -3.58925931e+00 -2.86226555e-04 
 1.07078670e+00 -3.58925931e+00 -2.92826862e-04 
 1.09547876e+00 -3.58925931e+00 -2.99579370e-04 
 1.12074020e+00 -3.58925931e+00 -3.06487589e-04 
 1.14658417e+00 -3.58925931e+00 -3.13555110e-04 
 1.17302409e+00 -3.58925931e+00 -3.20785607e-04 
 1.20007371e+00 -3.58925931e+00 -3.28182836e-04 
 1.22774708e+00 -3.58925931e+00 -3.35750644e-04 
 1.25605860e+00 -3.58925931e+00 -3.43492963e-04 
 1.28502297e+00 -3.58925931e+00 -3.51413818e-04 
 1.31465525e+00 -3.58925931e+00 -3.59517325e-04 
 1.34497085e+00 -3.58925931e+00 -3.67807698e-04 
 1.37598551e+00 -3.58925931e+00 -3.76289244e-04 
 1.40771537e+00 -3.58925931e+00 -3.84966372e-04 
 1.44017690e+00 -3.58925931e+00 -3.93843593e-04 
 1.47338699e+00 -3.58925931e+00 -4.02925519e-04 
 1.50736290e+00 -3.58925931e+00 -4.12216873e-04 
 1.54212228e+00 -3.58925931e+00 -4.21722483e-04 
 1.57768320e+00 -3.58925931e+00 -4.31447289e-04 
 1.61406415e+00 -3.58925931e+00 -4.41396347e-04 
 1.65128404e+00 -3.58925931e+00 -4.51574828e-04 
 1.68936220e+00 -3.58925931e+00 -4.61988022e-04 
 1.72831844e+00 -3.58925931e+00 -4.72641341e-04 
 1.76817299e+00 -3.58925931e+00 -4.83540322e-04 
 1.80894658e+00 -3.58925931e+00 -4.94690631e-04 
 1.85066040e+00 -3.58925931e+00 -5.06098064e-04 
 1.89333613e+00 -3.58925931e+00 -5.17768548e-04 
 1.93699595e+00 -3.58925931e+00 -5.29708151e-04 
 1.98166255e+00 -3.58925931e+00 -5.41923078e-04 
 2.02735916e+00 -3.58925931e+00 -5.54419678e-04 
 2.07410951e+00 -3.58925931e+00 -5.67204446e-04 
 2.12193792e+00 -3.58925931e+00 -5.80284027e-04 
 2.17086923e+00 -3.58925931e+00 -5.93665220e-04 
 2.22092889e+00 -3.58925931e+00 -6.07354979e-04 
 2.27214291e+00 -3.58925931e+00 -6.21360421e-04 
 2.32453791e+00 -3.58925931e+00 -6.35688825e-04 
 2.37814113e+00 -3.58925931e+00 -6.50347637e-04 
 2.43298042e+00 -3.58925931e+00 -6.65344478e-04 
 2.48908429e+00 -3.58925931e+00 -6.80687142e-04 
 2.54648190e+00 -3.58925931e+00 -6.96383604e-04 
 2.60520309e+00 -3.58925931e+00 -7.12442021e-04 
 2.66527837e+00 -3.58925931e+00 -7.28870742e-04 
 2.72673897e+00 -3.58925931e+00 -7.45678304e-04 
 2.78961683e+00 -3.58925931e+00 -7.62873444e-04 
 2.85394464e+00 -3.58925931e+00 -7.80465100e-04 
 2.91975583e+00 -3.58925931e+00 -7.98462414e-04 
 2.98708461e+00 -3.58925931e+00 -8.16874742e-04 
 3.05596598e+00 -3.58925931e+00 -8.35711653e-04 
 3.12643573e+00 -3.58925931e+00 -8.54982938e-04 
 3.19853049e+00 -3.58925931e+00 -8.74698614e-04 
