 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e+00 -4.53170914e-01 -2.50353664e-04 
 1.02305973e+00 -4.53170914e-01 -2.56126752e-04 
 1.04665121e+00 -4.53170914e-01 -2.62032966e-04 
 1.07078670e+00 -4.53170914e-01 -2.68075375e-04 
 1.09547876e+00 -4.53170914e-01 -2.74257121e-04 
 1.12074020e+00 -4.53170914e-01 -2.80581416e-04 
 1.14658417e+00 -4.53170914e-01 -2.87051548e-04 
 1.17302409e+00 -4.53170914e-01 -2.93670879e-04 
 1.20007371e+00 -4.53170914e-01 -3.00442850e-04 
 1.22774708e+00 -4.53170914e-01 -3.07370981e-04 
 1.25605860e+00 -4.53170914e-01 -3.14458873e-04 
 1.28502297e+00 -4.53170914e-01 -3.21710209e-04 
 1.31465525e+00 -4.53170914e-01 -3.29128760e-04 
 1.34497085e+00 -4.53170914e-01 -3.36718380e-04 
 1.37598551e+00 -4.53170914e-01 -3.44483015e-04 
 1.40771537e+00 -4.53170914e-01 -3.52426700e-04 
 1.44017690e+00 -4.53170914e-01 -3.60553565e-04 
 1.47338699e+00 -4.53170914e-01 -3.68867832e-04 
 1.50736290e+00 -4.53170914e-01 -3.77373825e-04 
 1.54212228e+00 -4.53170914e-01 -3.86075963e-04 
 1.57768320e+00 -4.53170914e-01 -3.94978771e-04 
 1.61406415e+00 -4.53170914e-01 -4.04086875e-04 
 1.65128404e+00 -4.53170914e-01 -4.13405009e-04 
 1.68936220e+00 -4.53170914e-01 -4.22938017e-04 
 1.72831844e+00 -4.53170914e-01 -4.32690853e-04 
 1.76817299e+00 -4.53170914e-01 -4.42668587e-04 
 1.80894658e+00 -4.53170914e-01 -4.52876405e-04 
 1.85066040e+00 -4.53170914e-01 -4.63319613e-04 
 1.89333613e+00 -4.53170914e-01 -4.74003638e-04 
 1.93699595e+00 -4.53170914e-01 -4.84934034e-04 
 1.98166255e+00 -4.53170914e-01 -4.96116481e-04 
 2.02735916e+00 -4.53170914e-01 -5.07556794e-04 
 2.07410951e+00 -4.53170914e-01 -5.19260916e-04 
 2.12193792e+00 -4.53170914e-01 -5.31234932e-04 
 2.17086923e+00 -4.53170914e-01 -5.43485067e-04 
 2.22092889e+00 -4.53170914e-01 -5.56017685e-04 
 2.27214291e+00 -4.53170914e-01 -5.68839303e-04 
 2.32453791e+00 -4.53170914e-01 -5.81956584e-04 
 2.37814113e+00 -4.53170914e-01 -5.95376345e-04 
 2.43298042e+00 -4.53170914e-01 -6.09105563e-04 
 2.48908429e+00 -4.53170914e-01 -6.23151373e-04 
 2.54648190e+00 -4.53170914e-01 -6.37521075e-04 
 2.60520309e+00 -4.53170914e-01 -6.52222139e-04 
 2.66527837e+00 -4.53170914e-01 -6.67262205e-04 
 2.72673897e+00 -4.53170914e-01 -6.82649091e-04 
 2.78961683e+00 -4.53170914e-01 -6.98390795e-04 
 2.85394464e+00 -4.53170914e-01 -7.14495498e-04 
 2.91975583e+00 -4.53170914e-01 -7.30971571e-04 
 2.98708461e+00 -4.53170914e-01 -7.47827578e-04 
 3.05596598e+00 -4.53170914e-01 -7.65072280e-04 
 3.12643573e+00 -4.53170914e-01 -7.82714640e-04 
 3.19853049e+00 -4.53170914e-01 -8.00763828e-04 
 3.27228774e+00 -4.53170914e-01 -8.19229226e-04 
 3.34774581e+00 -4.53170914e-01 -8.38120430e-04 
 3.42494392e+00 -4.53170914e-01 -8.57447261e-04 
 3.50392221e+00 -4.53170914e-01 -8.77219763e-04 
 3.58472171e+00 -4.53170914e-01 -8.97448214e-04 
 3.66738442e+00 -4.53170914e-01 -9.18143127e-04 
 3.75195331e+00 -4.53170914e-01 -9.39315260e-04 
 3.83847234e+00 -4.53170914e-01 -9.60975616e-04 
 3.92698648e+00 -4.53170914e-01 -9.83135454e-04 
 4.01754173e+00 -4.53170914e-01 -1.00580629e-03 
 4.11018515e+00 -4.53170914e-01 -1.02899991e-03 
 4.20496491e+00 -4.53170914e-01 -1.05272837e-03 
 4.30193027e+00 -4.53170914e-01 -1.07700401e-03 
 4.40113162e+00 -4.53170914e-01 -1.10183943e-03 
 4.50262052e+00 -4.53170914e-01 -1.12724755e-03 
 4.60644974e+00 -4.53170914e-01 -1.15324157e-03 
 4.71267322e+00 -4.53170914e-01 -1.17983501e-03 
 4.82134619e+00 -4.53170914e-01 -1.20704169e-03 
 4.93252513e+00 -4.53170914e-01 -1.23487574e-03 
 5.04626783e+00 -4.53170914e-01 -1.26335164e-03 
 5.16263340e+00 -4.53170914e-01 -1.29248419e-03 
 5.28168234e+00 -4.53170914e-01 -1.32228853e-03 
 5.40347650e+00 -4.53170914e-01 -1.35278014e-03 
 5.52807921e+00 -4.53170914e-01 -1.38397489e-03 
 5.65555523e+00 -4.53170914e-01 -1.41588897e-03 
 5.78597080e+00 -4.53170914e-01 -1.44853899e-03 
 5.91939372e+00 -4.53170914e-01 -1.48194191e-03 
 6.05589334e+00 -4.53170914e-01 -1.51611509e-03 
 6.19554061e+00 -4.53170914e-01 -1.55107629e-03 
 6.33840810e+00 -4.53170914e-01 -1.58684369e-03 
 6.48457008e+00 -4.53170914e-01 -1.62343588e-03 
 6.63410251e+00 -4.53170914e-01 -1.66087187e-03 
 6.78708313e+00 -4.53170914e-01 -1.69917113e-03 
 6.94359143e+00 -4.53170914e-01 -1.73835356e-03 
 7.10370877e+00 -4.53170914e-01 -1.77843952e-03 
 7.26751838e+00 -4.53170914e-01 -1.81944985e-03 
 7.43510539e+00 -4.53170914e-01 -1.86140588e-03 
 7.60655691e+00 -4.53170914e-01 -1.90432939e-03 
 7.78196206e+00 -4.53170914e-01 -1.94824271e-03 
 7.96141200e+00 -4.53170914e-01 -1.99316867e-03 
 8.14500001e+00 -4.53170914e-01 -2.03913060e-03 
 8.33282151e+00 -4.53170914e-01 -2.08615240e-03 
 8.52497412e+00 -4.53170914e-01 -2.13425851e-03 
 8.72155772e+00 -4.53170914e-01 -2.18347393e-03 
 8.92267449e+00 -4.53170914e-01 -2.23382425e-03 
 9.12842895e+00 -4.53170914e-01 -2.28533564e-03 
 9.33892805e+00 -4.53170914e-01 -2.33803486e-03 
