 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.00000000e+00  9.89509751e-06  9.28900269e-06 
 1.02305973e+00  9.78307006e-06  9.18383715e-06 
 1.04665121e+00  9.67231378e-06  9.07986492e-06 
 1.07078670e+00  9.56281430e-06  8.97707250e-06 
 1.09547876e+00  9.45455738e-06  8.87544653e-06 
 1.12074020e+00  9.34752895e-06  8.77497382e-06 
 1.14658417e+00  9.24171511e-06  8.67564129e-06 
 1.17302409e+00  9.13710211e-06  8.57743605e-06 
 1.20007371e+00  9.03367636e-06  8.48034533e-06 
 1.22774708e+00  8.93142441e-06  8.38435652e-06 
 1.25605860e+00  8.83033298e-06  8.28945715e-06 
 1.28502297e+00  8.73038894e-06  8.19563489e-06 
 1.31465525e+00  8.63157930e-06  8.10287753e-06 
 1.34497085e+00  8.53389121e-06  8.01117304e-06 
 1.37598551e+00  8.43731200e-06  7.92050950e-06 
 1.40771537e+00  8.34182910e-06  7.83087512e-06 
 1.44017690e+00  8.24743010e-06  7.74225826e-06 
 1.47338699e+00  8.15410276e-06  7.65464740e-06 
 1.50736290e+00  8.06183493e-06  7.56803116e-06 
 1.54212228e+00  7.97061462e-06  7.48239829e-06 
 1.57768320e+00  7.88043000e-06  7.39773765e-06 
 1.61406415e+00  7.79126933e-06  7.31403826e-06 
 1.65128404e+00  7.70312103e-06  7.23128922e-06 
 1.68936220e+00  7.61597364e-06  7.14947979e-06 
 1.72831844e+00  7.52981586e-06  7.06859934e-06 
 1.76817299e+00  7.44463647e-06  6.98863736e-06 
 1.80894658e+00  7.36042440e-06  6.90958346e-06 
 1.85066040e+00  7.27716873e-06  6.83142737e-06 
 1.89333613e+00  7.19485863e-06  6.75415892e-06 
 1.93699595e+00  7.11348340e-06  6.67776809e-06 
 1.98166255e+00  7.03303247e-06  6.60224495e-06 
 2.02735916e+00  6.95349539e-06  6.52757968e-06 
 2.07410951e+00  6.87486182e-06  6.45376257e-06 
 2.12193792e+00  6.79712155e-06  6.38078405e-06 
 2.17086923e+00  6.72026447e-06  6.30863462e-06 
 2.22092889e+00  6.64428059e-06  6.23730491e-06 
 2.27214291e+00  6.56916005e-06  6.16678565e-06 
 2.32453791e+00  6.49489307e-06  6.09706768e-06 
 2.37814113e+00  6.42147002e-06  6.02814194e-06 
 2.43298042e+00  6.34888136e-06  5.95999948e-06 
 2.48908429e+00  6.27711763e-06  5.89263143e-06 
 2.54648190e+00  6.20616954e-06  5.82602905e-06 
 2.60520309e+00  6.13602785e-06  5.76018368e-06 
 2.66527837e+00  6.06668344e-06  5.69508676e-06 
 2.72673897e+00  5.99812732e-06  5.63072984e-06 
 2.78961683e+00  5.93035057e-06  5.56710456e-06 
 2.85394464e+00  5.86334439e-06  5.50420264e-06 
 2.91975583e+00  5.79710006e-06  5.44201591e-06 
 2.98708461e+00  5.73160898e-06  5.38053629e-06 
 3.05596598e+00  5.66686265e-06  5.31975580e-06 
 3.12643573e+00  5.60285263e-06  5.25966653e-06 
 3.19853049e+00  5.53957063e-06  5.20026068e-06 
 3.27228774e+00  5.47700842e-06  5.14153053e-06 
 3.34774581e+00  5.41515786e-06  5.08346844e-06 
 3.42494392e+00  5.35401092e-06  5.02606688e-06 
 3.50392221e+00  5.29355966e-06  4.96931838e-06 
 3.58472171e+00  5.23379621e-06  4.91321556e-06 
 3.66738442e+00  5.17471282e-06  4.85775115e-06 
 3.75195331e+00  5.11630180e-06  4.80291792e-06 
 3.83847234e+00  5.05855557e-06  4.74870877e-06 
 3.92698648e+00  5.00146662e-06  4.69511663e-06 
 4.01754173e+00  4.94502753e-06  4.64213455e-06 
 4.11018515e+00  4.88923098e-06  4.58975565e-06 
 4.20496491e+00  4.83406970e-06  4.53797311e-06 
 4.30193027e+00  4.77953653e-06  4.48678021e-06 
 4.40113162e+00  4.72562439e-06  4.43617030e-06 
 4.50262052e+00  4.67232626e-06  4.38613679e-06 
 4.60644974e+00  4.61963523e-06  4.33667319e-06 
 4.71267322e+00  4.56754445e-06  4.28777307e-06 
 4.82134619e+00  4.51604714e-06  4.23943008e-06 
 4.93252513e+00  4.46513662e-06  4.19163793e-06 
 5.04626783e+00  4.41480626e-06  4.14439041e-06 
 5.16263340e+00  4.36504954e-06  4.09768139e-06 
 5.28168234e+00  4.31585997e-06  4.05150479e-06 
 5.40347650e+00  4.26723118e-06  4.00585461e-06 
 5.52807921e+00  4.21915684e-06  3.96072492e-06 
 5.65555523e+00  4.17163071e-06  3.91610985e-06 
 5.78597080e+00  4.12464660e-06  3.87200362e-06 
 5.91939372e+00  4.07819841e-06  3.82840048e-06 
