 time            v(vin)          v(vinp)         v(vinn)         v(voutp)        v(voutn)        v(vout)        
 8.00191723e-06  1.12934128e-03  1.50000000e+00  2.22044605e-16  9.54252224e-01  5.54555768e-01  3.99696456e-01 
 8.00446429e-06  2.62967596e-03  1.50000000e+00  2.22044605e-16  9.53621075e-01  5.55078445e-01  3.98542631e-01 
 8.00452009e-06  2.66254677e-03  1.35000000e+00  1.50000000e-01  9.53607240e-01  5.55089907e-01  3.98517333e-01 
 8.00463170e-06  2.72828838e-03  1.05000000e+00  4.50000000e-01  9.53579569e-01  5.55112833e-01  3.98466736e-01 
 8.00485491e-06  2.85977154e-03  4.50000000e-01  1.05000000e+00  9.53524225e-01  5.55158691e-01  3.98365534e-01 
 8.00502232e-06  2.95838385e-03 -0.00000000e+00  1.50000000e+00  9.53482716e-01  5.55193091e-01  3.98289625e-01 
 8.00506696e-06  2.98468045e-03 -0.00000000e+00  1.50000000e+00  9.53471647e-01  5.55202266e-01  3.98269381e-01 
 8.00515625e-06  3.03727366e-03 -0.00000000e+00  1.50000000e+00  9.53449509e-01  5.55220616e-01  3.98228892e-01 
 8.00533482e-06  3.14246002e-03 -0.00000000e+00  1.50000000e+00  9.53405232e-01  5.55257323e-01  3.98147909e-01 
 8.00569196e-06  3.35283255e-03 -0.00000000e+00  1.50000000e+00  9.53316675e-01  5.55330755e-01  3.97985920e-01 
 8.00627545e-06  3.69652941e-03 -0.00000000e+00  1.50000000e+00  9.53171973e-01  5.55450771e-01  3.97721202e-01 
 8.00701591e-06  4.13269003e-03 -0.00000000e+00  1.50000000e+00  9.52988279e-01  5.55603139e-01  3.97385141e-01 
 8.00831350e-06  4.89702028e-03 -0.00000000e+00  1.50000000e+00  9.52666165e-01  5.55870294e-01  3.96795871e-01 
 8.01084581e-06  6.38862964e-03 -0.00000000e+00  1.50000000e+00  9.52036827e-01  5.56392282e-01  3.95644546e-01 
 8.01283482e-06  7.56020584e-03 -0.00000000e+00  1.50000000e+00  9.51541951e-01  5.56802994e-01  3.94738957e-01 
 8.01289062e-06  7.59307518e-03  1.50000000e-01  1.35000000e+00  9.51528060e-01  5.56814527e-01  3.94713533e-01 
 8.01300223e-06  7.65881382e-03  4.50000000e-01  1.05000000e+00  9.51500276e-01  5.56837594e-01  3.94662682e-01 
 8.01322545e-06  7.79029091e-03  1.05000000e+00  4.50000000e-01  9.51444707e-01  5.56883736e-01  3.94560971e-01 
 8.01339286e-06  7.88889857e-03  1.50000000e+00  4.55391280e-12  9.51403027e-01  5.56918349e-01  3.94484679e-01 
 8.01343750e-06  7.91519393e-03  1.50000000e+00  2.22044605e-16  9.51391913e-01  5.56927580e-01  3.94464333e-01 
 8.01352679e-06  7.96778461e-03  1.50000000e+00  2.22044605e-16  9.51369683e-01  5.56946044e-01  3.94423639e-01 
 8.01370536e-06  8.07296585e-03  1.50000000e+00  2.22044605e-16  9.51325222e-01  5.56982977e-01  3.94342245e-01 
 8.01406250e-06  8.28332785e-03  1.50000000e+00  2.22044605e-16  9.51236292e-01  5.57056862e-01  3.94179430e-01 
 8.01464599e-06  8.62700710e-03  1.50000000e+00  2.22044605e-16  9.51090974e-01  5.57177618e-01  3.93913356e-01 
 8.01538645e-06  9.06314366e-03  1.50000000e+00  2.22044605e-16  9.50906496e-01  5.57330927e-01  3.93575569e-01 
 8.01668404e-06  9.82742831e-03  1.50000000e+00  2.22044605e-16  9.50583023e-01  5.57599734e-01  3.92983289e-01 
 8.01921635e-06  1.13189339e-02  1.50000000e+00  2.22044605e-16  9.49951151e-01  5.58124887e-01  3.91826264e-01 
 8.02232143e-06  1.31477333e-02  1.50000000e+00  2.22044605e-16  9.49175443e-01  5.58770023e-01  3.90405420e-01 
 8.02237723e-06  1.31805992e-02  1.35000000e+00  1.50000000e-01  9.49161493e-01  5.58781631e-01  3.90379862e-01 
 8.02248884e-06  1.32463310e-02  1.05000000e+00  4.50000000e-01  9.49133591e-01  5.58804848e-01  3.90328744e-01 
 8.02271205e-06  1.33777944e-02  4.50000000e-01  1.05000000e+00  9.49077787e-01  5.58851287e-01  3.90226499e-01 
 8.02287946e-06  1.34763916e-02  4.55369076e-12  1.50000000e+00  9.49035932e-01  5.58886125e-01  3.90149807e-01 
 8.02292411e-06  1.35026842e-02 -0.00000000e+00  1.50000000e+00  9.49024771e-01  5.58895416e-01  3.90129355e-01 
 8.02301339e-06  1.35552693e-02 -0.00000000e+00  1.50000000e+00  9.49002449e-01  5.58914000e-01  3.90088449e-01 
 8.02319196e-06  1.36604392e-02 -0.00000000e+00  1.50000000e+00  9.48957804e-01  5.58951175e-01  3.90006630e-01 
 8.02354911e-06  1.38707783e-02 -0.00000000e+00  1.50000000e+00  9.48868513e-01  5.59025545e-01  3.89842968e-01 
 8.02413259e-06  1.42144184e-02 -0.00000000e+00  1.50000000e+00  9.48722610e-01  5.59147100e-01  3.89575511e-01 
 8.02487305e-06  1.46505040e-02 -0.00000000e+00  1.50000000e+00  9.48537388e-01  5.59301424e-01  3.89235963e-01 
 8.02617064e-06  1.54146938e-02 -0.00000000e+00  1.50000000e+00  9.48212564e-01  5.59572014e-01  3.88640551e-01 
 8.02870294e-06  1.69059977e-02 -0.00000000e+00  1.50000000e+00  9.47577841e-01  5.60100749e-01  3.87477092e-01 
 8.03069196e-06  1.80773085e-02 -0.00000000e+00  1.50000000e+00  9.47078655e-01  5.60516832e-01  3.86561823e-01 
 8.03074777e-06  1.81101699e-02  1.50000000e-01  1.35000000e+00  9.47064642e-01  5.60528517e-01  3.86536125e-01 
 8.03085937e-06  1.81758927e-02  4.50000000e-01  1.05000000e+00  9.47036614e-01  5.60551887e-01  3.86484727e-01 
 8.03108259e-06  1.83073379e-02  1.05000000e+00  4.50000000e-01  9.46980556e-01  5.60598636e-01  3.86381921e-01 
 8.03125000e-06  1.84059214e-02  1.50000000e+00  2.22044605e-16  9.46938510e-01  5.60633705e-01  3.86304805e-01 
 8.03129464e-06  1.84322103e-02  1.50000000e+00  2.22044605e-16  9.46927298e-01  5.60643058e-01  3.86284239e-01 
 8.03138393e-06  1.84847880e-02  1.50000000e+00  2.22044605e-16  9.46904872e-01  5.60661766e-01  3.86243106e-01 
 8.03156250e-06  1.85899431e-02  1.50000000e+00  2.22044605e-16  9.46860019e-01  5.60699187e-01  3.86160832e-01 
 8.03191964e-06  1.88002522e-02  1.50000000e+00  2.22044605e-16  9.46770304e-01  5.60774051e-01  3.85996254e-01 
 8.03250313e-06  1.91438433e-02  1.50000000e+00  2.22044605e-16  9.46623698e-01  5.60896411e-01  3.85727287e-01 
 8.03324359e-06  1.95798649e-02  1.50000000e+00  2.22044605e-16  9.46437575e-01  5.61051765e-01  3.85385810e-01 
 8.03454118e-06  2.03439394e-02  1.50000000e+00  2.22044605e-16  9.46111190e-01  5.61324179e-01  3.84787011e-01 
 8.03707349e-06  2.18350034e-02  1.50000000e+00  2.22044605e-16  9.45473520e-01  5.61856462e-01  3.83617058e-01 
 8.04017857e-06  2.36632044e-02  1.50000000e+00  4.55391280e-12  9.44690501e-01  5.62510522e-01  3.82179979e-01 
 8.04023438e-06  2.36960591e-02  1.35000000e+00  1.50000000e-01  9.44676418e-01  5.62522292e-01  3.82154125e-01 
 8.04034598e-06  2.37617682e-02  1.05000000e+00  4.50000000e-01  9.44648249e-01  5.62545833e-01  3.82102416e-01 
 8.04056920e-06  2.38931859e-02  4.50000000e-01  1.05000000e+00  9.44591910e-01  5.62592923e-01  3.81998986e-01 
 8.04073661e-06  2.39917487e-02 -0.00000000e+00  1.50000000e+00  9.44549654e-01  5.62628249e-01  3.81921405e-01 
 8.04078125e-06  2.40180320e-02 -0.00000000e+00  1.50000000e+00  9.44538385e-01  5.62637671e-01  3.81900715e-01 
 8.04087054e-06  2.40705986e-02 -0.00000000e+00  1.50000000e+00  9.44515849e-01  5.62656516e-01  3.81859333e-01 
 8.04104911e-06  2.41757314e-02 -0.00000000e+00  1.50000000e+00  9.44470774e-01  5.62694212e-01  3.81776562e-01 
 8.04140625e-06  2.43859957e-02 -0.00000000e+00  1.50000000e+00  9.44380622e-01  5.62769629e-01  3.81610992e-01 
 8.04198973e-06  2.47295117e-02 -0.00000000e+00  1.50000000e+00  9.44233305e-01  5.62892900e-01  3.81340405e-01 
 8.04273019e-06  2.51654367e-02 -0.00000000e+00  1.50000000e+00  9.44046276e-01  5.63049412e-01  3.80996864e-01 
 8.04402778e-06  2.59293365e-02 -0.00000000e+00  1.50000000e+00  9.43718255e-01  5.63323862e-01  3.80394393e-01 
 8.04656009e-06  2.74200430e-02 -0.00000000e+00  1.50000000e+00  9.43077171e-01  5.63860232e-01  3.79216939e-01 
 8.04854911e-06  2.85908553e-02  4.55364912e-12  1.50000000e+00  9.42572884e-01  5.64282410e-01  3.78290474e-01 
 8.04860491e-06  2.86237024e-02  1.50000000e-01  1.35000000e+00  9.42558726e-01  5.64294266e-01  3.78264460e-01 
 8.04871652e-06  2.86893965e-02  4.50000000e-01  1.05000000e+00  9.42530409e-01  5.64317981e-01  3.78212428e-01 
 8.04893973e-06  2.88207839e-02  1.05000000e+00  4.50000000e-01  9.42473772e-01  5.64365420e-01  3.78108352e-01 
 8.04910714e-06  2.89193238e-02  1.50000000e+00  4.55391280e-12  9.42431291e-01  5.64401008e-01  3.78030284e-01 
 8.04915179e-06  2.89456011e-02  1.50000000e+00  2.22044605e-16  9.42419963e-01  5.64410499e-01  3.78009463e-01 
 8.04924107e-06  2.89981554e-02  1.50000000e+00  2.22044605e-16  9.42397305e-01  5.64429484e-01  3.77967821e-01 
 8.04941964e-06  2.91032638e-02  1.50000000e+00  2.22044605e-16  9.42351986e-01  5.64467459e-01  3.77884527e-01 
 8.04977679e-06  2.93134787e-02  1.50000000e+00  2.22044605e-16  9.42261339e-01  5.64543433e-01  3.77717906e-01 
 8.05036027e-06  2.96569141e-02  1.50000000e+00  2.22044605e-16  9.42113203e-01  5.64667613e-01  3.77445590e-01 
 8.05110073e-06  3.00927348e-02  1.50000000e+00  2.22044605e-16  9.41925127e-01  5.64825287e-01  3.77099841e-01 
 8.05239832e-06  3.08564488e-02  1.50000000e+00  2.22044605e-16  9.41595288e-01  5.65101792e-01  3.76493496e-01 
 8.05493063e-06  3.23467779e-02  1.50000000e+00  2.22044605e-16  9.40950766e-01  5.65642156e-01  3.75308610e-01 
 8.05803571e-06  3.41740211e-02  1.50000000e+00  4.55391280e-12  9.40159152e-01  5.66306301e-01  3.73852851e-01 
 8.05809152e-06  3.42068580e-02  1.35000000e+00  1.50000000e-01  9.40144912e-01  5.66318254e-01  3.73826658e-01 
 8.05820312e-06  3.42725315e-02  1.05000000e+00  4.50000000e-01  9.40116431e-01  5.66342162e-01  3.73774269e-01 
