 freq            v(vout_spec_db)
 4.16667667e+04 -7.78689801e+01 
 8.33335333e+04 -6.03974754e+00 
 1.25000300e+05  1.48086732e-07 
 1.66667067e+05 -5.98188573e+00 
 2.08333833e+05 -6.41954535e+01 
 2.50000600e+05 -7.48202239e+01 
 2.91667367e+05 -8.34028953e+01 
 3.33334133e+05 -3.19900929e+01 
 3.75000900e+05 -2.58787722e+01 
 4.16667667e+05 -3.18110883e+01 
 4.58334433e+05 -8.17947664e+01 
 5.00001200e+05 -9.07755278e+01 
 5.41667967e+05 -9.37177816e+01 
 5.83334733e+05 -4.62244799e+01 
 6.25001500e+05 -4.00624651e+01 
 6.66668267e+05 -4.59340536e+01 
 7.08335033e+05 -9.24831815e+01 
 7.50001800e+05 -1.01526561e+02 
 7.91668567e+05 -1.01182438e+02 
 8.33335333e+05 -6.07360575e+01 
 8.75002100e+05 -5.45445967e+01 
 9.16668867e+05 -6.03401334e+01 
 9.58335633e+05 -1.04833041e+02 
 1.00000240e+06 -1.14404153e+02 
 1.04166917e+06 -1.09610865e+02 
 1.08333593e+06 -7.38659695e+01 
 1.12500270e+06 -6.76946929e+01 
 1.16666947e+06 -7.33627135e+01 
 1.20833623e+06 -1.26094786e+02 
 1.25000300e+06 -1.27371582e+02 
 1.29166977e+06 -1.13940482e+02 
