 time            v(vinp1_IF)     v(vinn1_IF)     v(vinp2_IF)     v(vinn2_IF)     v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 8.02678571e-06  1.49999972e+00  2.79895795e-07  7.50647953e-01  7.49352047e-01  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  2.36464718e-03  3.18638140e-01 
 8.02678671e-06  1.49999972e+00  2.80403298e-07  7.50648541e-01  7.49351459e-01  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e-01  2.36482122e-03  3.18626650e-01 
 8.02678871e-06  1.49999972e+00  2.81419682e-07  7.50649715e-01  7.49350285e-01  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.50000000e-01  2.36514065e-03  3.18603646e-01 
 8.02679271e-06  1.49999972e+00  2.83457968e-07  7.50652064e-01  7.49347936e-01  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.05000000e+00  2.36563924e-03  3.18557520e-01 
 8.02679571e-06  1.49999972e+00  2.84991508e-07  7.50653825e-01  7.49346175e-01  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  2.36590349e-03  3.18522820e-01 
 8.02679651e-06  1.49999971e+00  2.85401151e-07  7.50654295e-01  7.49345705e-01  0.00000000e+00  1.38000000e+00  0.00000000e+00  1.50000000e+00  2.36591671e-03  3.18513548e-01 
 8.02679811e-06  1.49999971e+00  2.86221319e-07  7.50655234e-01  7.49344766e-01  0.00000000e+00  1.14000000e+00  0.00000000e+00  1.50000000e+00  2.36599873e-03  3.18494988e-01 
 8.02680098e-06  1.49999971e+00  2.87691542e-07  7.50656915e-01  7.49343085e-01  0.00000000e+00  7.10638401e-01  0.00000000e+00  1.50000000e+00  2.36638279e-03  3.18461723e-01 
 8.02680571e-06  1.49999971e+00  2.90133190e-07  7.50659697e-01  7.49340303e-01  0.00000000e+00  8.41602343e-11  0.00000000e+00  1.50000000e+00  2.36740988e-03  3.18406485e-01 
 8.02680625e-06  1.49999971e+00  2.90411887e-07  7.50660013e-01  7.49339987e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.36756981e-03  3.18400179e-01 
 8.02680733e-06  1.49999971e+00  2.90969682e-07  7.50660647e-01  7.49339353e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.36785012e-03  3.18387559e-01 
 8.02680949e-06  1.49999971e+00  2.92086879e-07  7.50661914e-01  7.49338086e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.36822774e-03  3.18362286e-01 
 8.02681381e-06  1.49999971e+00  2.94327694e-07  7.50664448e-01  7.49335552e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.36864037e-03  3.18311598e-01 
 8.02682153e-06  1.49999970e+00  2.98358080e-07  7.50668982e-01  7.49331018e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.36932661e-03  3.18220438e-01 
 8.02683219e-06  1.49999970e+00  3.03968554e-07  7.50675243e-01  7.49324757e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.37069525e-03  3.18093560e-01 
 8.02684830e-06  1.49999969e+00  3.12546221e-07  7.50684704e-01  7.49315296e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.37295349e-03  3.17899627e-01 
 8.02686537e-06  1.49999968e+00  3.21763125e-07  7.50694726e-01  7.49305274e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.37543082e-03  3.17691300e-01 
 8.02687794e-06  1.49999967e+00  3.28634049e-07  7.50702105e-01  7.49297895e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.37779355e-03  3.17536039e-01 
 8.02689242e-06  1.49999966e+00  3.36643826e-07  7.50710609e-01  7.49289391e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.37847062e-03  3.17355080e-01 
 8.02690330e-06  1.49999966e+00  3.42720359e-07  7.50716994e-01  7.49283006e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.38189951e-03  3.17217834e-01 
 8.02691462e-06  1.49999965e+00  3.49105152e-07  7.50723642e-01  7.49276358e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.39123747e-03  3.17073668e-01 
 8.02692713e-06  1.49999964e+00  3.56228149e-07  7.50730987e-01  7.49269013e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.40663054e-03  3.16912879e-01 
 8.02693731e-06  1.49999964e+00  3.62076085e-07  7.50736963e-01  7.49263037e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.43652561e-03  3.16780941e-01 
 8.02694911e-06  1.49999963e+00  3.68919156e-07  7.50743894e-01  7.49256106e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.52372826e-03  3.16626713e-01 
 8.02696029e-06  1.49999962e+00  3.75459548e-07  7.50750459e-01  7.49249541e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  2.72472896e-03  3.16479633e-01 
 8.02696843e-06  1.49999962e+00  3.80253790e-07  7.50755235e-01  7.49244765e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  3.12670465e-03  3.16372484e-01 
