 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 0.00000000e+00  7.50000000e-01  7.49999996e-01  6.63445642e-01 
 1.00000000e-07  7.50471239e-01  7.50470600e-01  6.63451221e-01 
 2.00000000e-07  7.50942478e-01  7.50941838e-01  6.63456801e-01 
 4.00000000e-07  7.51884954e-01  7.51884314e-01  6.63467959e-01 
 8.00000000e-07  7.53769895e-01  7.53769256e-01  6.63490273e-01 
 1.60000000e-06  7.57539695e-01  7.57539056e-01  6.63534892e-01 
 3.20000000e-06  7.65078629e-01  7.65077989e-01  6.63624086e-01 
 6.40000000e-06  7.80151162e-01  7.80150524e-01  6.63802265e-01 
 1.28000000e-05  8.10253575e-01  8.10252943e-01  6.64157539e-01 
 2.28000000e-05  8.57075348e-01  8.57074742e-01  6.64708592e-01 
 3.28000000e-05  9.03474544e-01  9.03473974e-01  6.65252786e-01 
 4.28000000e-05  9.49268046e-01  9.49267520e-01  6.65787979e-01 
 5.28000000e-05  9.94275128e-01  9.94274651e-01  6.66312067e-01 
 6.28000000e-05  1.03831817e+00  1.03831774e+00  6.66822989e-01 
 7.28000000e-05  1.08122335e+00  1.08122296e+00  6.67318738e-01 
 8.28000000e-05  1.12282134e+00  1.12282099e+00  6.67797379e-01 
 9.28000000e-05  1.16294798e+00  1.16294765e+00  6.68257076e-01 
 1.02800000e-04  1.20144490e+00  1.20144460e+00  6.68696178e-01 
 1.12800000e-04  1.23816017e+00  1.23815990e+00  6.69113460e-01 
 1.22800000e-04  1.27294890e+00  1.27294865e+00  6.69508765e-01 
 1.32800000e-04  1.30567378e+00  1.30567356e+00  6.69884590e-01 
 1.42800000e-04  1.33620568e+00  1.33620547e+00  6.70249638e-01 
 1.52800000e-04  1.36442409e+00  1.36442390e+00  6.70625826e-01 
 1.62800000e-04  1.39021765e+00  1.39021748e+00  6.71060205e-01 
 1.72800000e-04  1.41348456e+00  1.41348441e+00  6.71641612e-01 
 1.82800000e-04  1.43413301e+00  1.43413287e+00  6.72517623e-01 
 1.92800000e-04  1.45208149e+00  1.45208137e+00  6.73900874e-01 
 2.02800000e-04  1.46725918e+00  1.46725907e+00  6.76049045e-01 
 2.12800000e-04  1.47960617e+00  1.47960608e+00  6.79206507e-01 
 2.22800000e-04  1.48907374e+00  1.48907366e+00  6.83513142e-01 
 2.32800000e-04  1.49562453e+00  1.49562447e+00  6.88912001e-01 
 2.42800000e-04  1.49923267e+00  1.49923263e+00  6.95104364e-01 
 2.52800000e-04  1.49988394e+00  1.49988391e+00  7.01589146e-01 
 2.62800000e-04  1.49757575e+00  1.49757574e+00  7.07783059e-01 
 2.72800000e-04  1.49231723e+00  1.49231724e+00  7.13173289e-01 
 2.82800000e-04  1.48412912e+00  1.48412914e+00  7.17437264e-01 
 2.92800000e-04  1.47304374e+00  1.47304378e+00  7.20485244e-01 
 3.02800000e-04  1.45910483e+00  1.45910489e+00  7.22423965e-01 
 3.12800000e-04  1.44236741e+00  1.44236749e+00  7.23474416e-01 
 3.22800000e-04  1.42289754e+00  1.42289763e+00  7.23886403e-01 
 3.32800000e-04  1.40077204e+00  1.40077215e+00  7.23879112e-01 
 3.42800000e-04  1.37607825e+00  1.37607838e+00  7.23615376e-01 
 3.52800000e-04  1.34891360e+00  1.34891376e+00  7.23201653e-01 
 3.62800000e-04  1.31938533e+00  1.31938550e+00  7.22700713e-01 
 3.72800000e-04  1.28760994e+00  1.28761014e+00  7.22146656e-01 
 3.82800000e-04  1.25371286e+00  1.25371308e+00  7.21557027e-01 
 3.92800000e-04  1.21782785e+00  1.21782810e+00  7.20940769e-01 
 4.02800000e-04  1.18009654e+00  1.18009681e+00  7.20302743e-01 
 4.12800000e-04  1.14066784e+00  1.14066814e+00  7.19646041e-01 
 4.22800000e-04  1.09969734e+00  1.09969768e+00  7.18973051e-01 
 4.32800000e-04  1.05734676e+00  1.05734714e+00  7.18285918e-01 
 4.42800000e-04  1.01378321e+00  1.01378363e+00  7.17586731e-01 
 4.52800000e-04  9.69178632e-01  9.69179111e-01  7.16877583e-01 
 4.62800000e-04  9.23709057e-01  9.23709586e-01  7.16160594e-01 
 4.72800000e-04  8.77553931e-01  8.77554504e-01  7.15437913e-01 
 4.82800000e-04  8.30895409e-01  8.30896015e-01  7.14711711e-01 
 4.92800000e-04  7.83917629e-01  7.83918255e-01  7.13984174e-01 
 5.02800000e-04  7.36805991e-01  7.36806630e-01  7.13257499e-01 
 5.12800000e-04  6.89746425e-01  6.89747055e-01  7.12533878e-01 
 5.22800000e-04  6.42924652e-01  6.42925252e-01  7.11815491e-01 
 5.32800000e-04  5.96525456e-01  5.96526019e-01  7.11104504e-01 
 5.42800000e-04  5.50731954e-01  5.50732469e-01  7.10403056e-01 
 5.52800000e-04  5.05724872e-01  5.05725334e-01  7.09713249e-01 
 5.62800000e-04  4.61681832e-01  4.61682243e-01  7.09037143e-01 
 5.72800000e-04  4.18776653e-01  4.18777019e-01  7.08376744e-01 
 5.82800000e-04  3.77178661e-01  3.77178990e-01  7.07733995e-01 
 5.92800000e-04  3.37052024e-01  3.37052322e-01  7.07110761e-01 
 6.02800000e-04  2.98555104e-01  2.98555376e-01  7.06508795e-01 
 6.12800000e-04  2.61839831e-01  2.61840080e-01  7.05929650e-01 
 6.22800000e-04  2.27051103e-01  2.27051332e-01  7.05374458e-01 
 6.32800000e-04  1.94326216e-01  1.94326426e-01  7.04843384e-01 
 6.42800000e-04  1.63794319e-01  1.63794512e-01  7.04334407e-01 
 6.52800000e-04  1.35575908e-01  1.35576086e-01  7.03840935e-01 
