 freq            v(vout_RF_filt_spec_db)
 2.86604247e+06 -9.73791320e+01 
 2.99065301e+06 -9.17248176e+01 
 3.11526355e+06 -9.49229943e+01 
 3.23987409e+06 -1.00089773e+02 
 3.36448464e+06 -9.61043240e+01 
 3.48909518e+06 -9.29335724e+01 
 3.61370572e+06 -9.64035657e+01 
 3.73831626e+06 -1.01210514e+02 
 3.86292680e+06 -9.83992115e+01 
 3.98753735e+06 -9.49621631e+01 
 4.11214789e+06 -9.69161119e+01 
 4.23675843e+06 -9.46996265e+01 
 4.36136897e+06 -9.68941087e+01 
 4.48597951e+06 -9.97698074e+01 
 4.61059006e+06 -1.05759567e+02 
 4.73520060e+06 -9.77115661e+01 
 4.85981114e+06 -9.95066489e+01 
 4.98442168e+06 -1.02895974e+02 
 5.10903222e+06 -1.11783730e+02 
 5.23364277e+06 -1.00319427e+02 
 5.35825331e+06 -1.07834051e+02 
 5.48286385e+06 -1.13392442e+02 
 5.60747439e+06 -1.05846088e+02 
 5.73208493e+06 -1.08916748e+02 
 5.85669548e+06 -1.01224806e+02 
 5.98130602e+06 -9.90462894e+01 
 6.10591656e+06 -1.03216005e+02 
 6.23052710e+06 -1.10456146e+02 
 6.35513764e+06 -9.81739026e+01 
 6.47974819e+06 -9.65331682e+01 
 6.60435873e+06 -1.01070262e+02 
 6.72896927e+06 -1.02773007e+02 
 6.85357981e+06 -9.72347702e+01 
 6.97819036e+06 -9.66116833e+01 
 7.10280090e+06 -9.85974690e+01 
 7.22741144e+06 -9.70260242e+01 
 7.35202198e+06 -9.50805296e+01 
 7.47663252e+06 -9.65613574e+01 
 7.60124307e+06 -1.03795847e+02 
 7.72585361e+06 -1.06597650e+02 
 7.85046415e+06 -1.06982934e+02 
 7.97507469e+06 -1.13143137e+02 
 8.09968523e+06 -1.27871834e+02 
 8.22429578e+06 -1.04212938e+02 
 8.34890632e+06 -1.09318046e+02 
 8.47351686e+06 -1.03404692e+02 
 8.59812740e+06 -1.04293536e+02 
 8.72273794e+06 -1.01051704e+02 
 8.84734849e+06 -1.02852265e+02 
 8.97195903e+06 -1.10149024e+02 
 9.09656957e+06 -1.09768234e+02 
 9.22118011e+06 -1.02853462e+02 
 9.34579065e+06 -1.03752969e+02 
 9.47040120e+06 -1.08603741e+02 
 9.59501174e+06 -1.09342598e+02 
 9.71962228e+06 -1.01725722e+02 
 9.84423282e+06 -1.02532556e+02 
 9.96884336e+06 -1.10527310e+02 
 1.00934539e+07 -1.09041139e+02 
 1.02180644e+07 -1.03528662e+02 
 1.03426750e+07 -1.02779706e+02 
 1.04672855e+07 -1.04022460e+02 
 1.05918961e+07 -1.02329801e+02 
 1.07165066e+07 -9.88968961e+01 
 1.08411172e+07 -9.62152096e+01 
 1.09657277e+07 -9.76798198e+01 
 1.10903382e+07 -1.00401052e+02 
 1.12149488e+07 -9.83521103e+01 
 1.13395593e+07 -1.02401615e+02 
 1.14641699e+07 -1.10422689e+02 
 1.15887804e+07 -1.15895092e+02 
 1.17133910e+07 -1.03722288e+02 
 1.18380015e+07 -1.19505484e+02 
 1.19626120e+07 -1.01241772e+02 
 1.20872226e+07 -1.03481525e+02 
 1.22118331e+07 -1.06060816e+02 
 1.23364437e+07 -1.08261707e+02 
 1.24610542e+07 -1.02422793e+02 
 1.25856647e+07 -1.10940704e+02 
 1.27102753e+07 -1.04828158e+02 
 1.28348858e+07 -1.08612675e+02 
 1.29594964e+07 -1.09836448e+02 
 1.30841069e+07 -9.91041462e+01 
 1.32087175e+07 -9.71255747e+01 
 1.33333280e+07 -9.92101024e+01 
 1.34579385e+07 -9.87892056e+01 
 1.35825491e+07 -9.54761698e+01 
 1.37071596e+07 -9.60791950e+01 
 1.38317702e+07 -9.96452897e+01 
 1.39563807e+07 -9.65261401e+01 
 1.40809913e+07 -9.25410388e+01 
 1.42056018e+07 -9.39926045e+01 
 1.43302123e+07 -9.57115587e+01 
 1.44548229e+07 -9.30386626e+01 
 1.45794334e+07 -9.14224361e+01 
 1.47040440e+07 -9.30134831e+01 
 1.48286545e+07 -9.41650758e+01 
 1.49532650e+07 -9.39808758e+01 
 1.50778756e+07 -9.39088828e+01 
 1.52024861e+07 -9.40668016e+01 
 1.53270967e+07 -9.50782641e+01 
 1.54517072e+07 -9.64611262e+01 
 1.55763178e+07 -9.76755932e+01 
 1.57009283e+07 -9.89976570e+01 
 1.58255388e+07 -9.79305927e+01 
 1.59501494e+07 -1.01049186e+02 
 1.60747599e+07 -1.07694012e+02 
 1.61993705e+07 -1.06511668e+02 
 1.63239810e+07 -1.06076186e+02 
 1.64485916e+07 -1.06388519e+02 
 1.65732021e+07 -9.92431940e+01 
 1.66978126e+07 -9.44527773e+01 
 1.68224232e+07 -9.62085247e+01 
 1.69470337e+07 -9.65122850e+01 
 1.70716443e+07 -9.45387333e+01 
 1.71962548e+07 -9.40145815e+01 
 1.73208653e+07 -9.81913217e+01 
 1.74454759e+07 -9.91825857e+01 
 1.75700864e+07 -9.63494218e+01 
 1.76946970e+07 -9.44354022e+01 
 1.78193075e+07 -9.62209537e+01 
 1.79439181e+07 -9.63333418e+01 
 1.80685286e+07 -1.00888423e+02 
 1.81931391e+07 -9.97207521e+01 
 1.83177497e+07 -9.62784848e+01 
 1.84423602e+07 -9.57873067e+01 
 1.85669708e+07 -9.74250640e+01 
 1.86915813e+07 -9.71044641e+01 
 1.88161919e+07 -9.46514003e+01 
 1.89408024e+07 -9.27491139e+01 
 1.90654129e+07 -9.25748583e+01 
 1.91900235e+07 -9.44824820e+01 
 1.93146340e+07 -9.25597419e+01 
 1.94392446e+07 -9.06651880e+01 
 1.95638551e+07 -9.17172784e+01 
 1.96884656e+07 -9.77945505e+01 
 1.98130762e+07 -9.70083566e+01 
 1.99376867e+07 -9.26177435e+01 
 2.00622973e+07 -9.64808039e+01 
