 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e+00 -4.52546072e-01 -2.55367386e-04 
 1.02305973e+00 -4.52546072e-01 -2.61256089e-04 
 1.04665121e+00 -4.52546072e-01 -2.67280584e-04 
 1.07078670e+00 -4.52546072e-01 -2.73444002e-04 
 1.09547876e+00 -4.52546072e-01 -2.79749546e-04 
 1.12074020e+00 -4.52546072e-01 -2.86200495e-04 
 1.14658417e+00 -4.52546072e-01 -2.92800201e-04 
 1.17302409e+00 -4.52546072e-01 -2.99552095e-04 
 1.20007371e+00 -4.52546072e-01 -3.06459685e-04 
 1.22774708e+00 -4.52546072e-01 -3.13526563e-04 
 1.25605860e+00 -4.52546072e-01 -3.20756401e-04 
 1.28502297e+00 -4.52546072e-01 -3.28152957e-04 
 1.31465525e+00 -4.52546072e-01 -3.35720075e-04 
 1.34497085e+00 -4.52546072e-01 -3.43461689e-04 
 1.37598551e+00 -4.52546072e-01 -3.51381823e-04 
 1.40771537e+00 -4.52546072e-01 -3.59484593e-04 
 1.44017690e+00 -4.52546072e-01 -3.67774211e-04 
 1.47338699e+00 -4.52546072e-01 -3.76254985e-04 
 1.50736290e+00 -4.52546072e-01 -3.84931323e-04 
 1.54212228e+00 -4.52546072e-01 -3.93807735e-04 
 1.57768320e+00 -4.52546072e-01 -4.02888835e-04 
 1.61406415e+00 -4.52546072e-01 -4.12179343e-04 
 1.65128404e+00 -4.52546072e-01 -4.21684087e-04 
 1.68936220e+00 -4.52546072e-01 -4.31408008e-04 
 1.72831844e+00 -4.52546072e-01 -4.41356161e-04 
 1.76817299e+00 -4.52546072e-01 -4.51533714e-04 
 1.80894658e+00 -4.52546072e-01 -4.61945960e-04 
 1.85066040e+00 -4.52546072e-01 -4.72598309e-04 
 1.89333613e+00 -4.52546072e-01 -4.83496298e-04 
 1.93699595e+00 -4.52546072e-01 -4.94645592e-04 
 1.98166255e+00 -4.52546072e-01 -5.06051986e-04 
 2.02735916e+00 -4.52546072e-01 -5.17721408e-04 
 2.07410951e+00 -4.52546072e-01 -5.29659924e-04 
 2.12193792e+00 -4.52546072e-01 -5.41873739e-04 
 2.17086923e+00 -4.52546072e-01 -5.54369201e-04 
 2.22092889e+00 -4.52546072e-01 -5.67152805e-04 
