 time            v(vinp_Q)       v(vinn_Q)       v(vinp_I)       v(vinn_I)       v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 8.02622768e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  4.40287198e-01 -2.58756766e-01 
 8.02628348e-06 -0.00000000e+00  1.50000000e+00  1.35000000e+00  1.50000000e-01  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  4.40189689e-01 -2.61063263e-01 
 8.02639509e-06 -0.00000000e+00  1.50000000e+00  1.05000000e+00  4.50000000e-01  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  4.39973633e-01 -2.65615817e-01 
 8.02661830e-06 -0.00000000e+00  1.50000000e+00  4.50000000e-01  1.05000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  4.39436642e-01 -2.74424909e-01 
 8.02678571e-06 -0.00000000e+00  1.50000000e+00 -0.00000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  4.38937720e-01 -2.80761095e-01 
 8.02678671e-06 -0.00000000e+00  1.50000000e+00  2.68800000e-03  1.49731200e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e-01  4.38934501e-01 -2.80798241e-01 
 8.02678871e-06 -0.00000000e+00  1.50000000e+00  8.06400000e-03  1.49193600e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.50000000e-01  4.38928040e-01 -2.80872514e-01 
 8.02679271e-06 -0.00000000e+00  1.50000000e+00  1.88160000e-02  1.48118400e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.05000000e+00  4.38915050e-01 -2.81020960e-01 
 8.02679571e-06 -0.00000000e+00  1.50000000e+00  2.68800000e-02  1.47312000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  4.38905267e-01 -2.81132206e-01 
 8.02679645e-06 -0.00000000e+00  1.50000000e+00  2.88690911e-02  1.47113091e+00  0.00000000e+00  1.38900161e+00  0.00000000e+00  1.50000000e+00  4.38902840e-01 -2.81159632e-01 
 8.02679793e-06 -0.00000000e+00  1.50000000e+00  3.28472733e-02  1.46715273e+00  0.00000000e+00  1.16700484e+00  0.00000000e+00  1.50000000e+00  4.38898001e-01 -2.81214473e-01 
 8.02680007e-06 -0.00000000e+00  1.50000000e+00  3.85906581e-02  1.46140934e+00  0.00000000e+00  8.46503456e-01  0.00000000e+00  1.50000000e+00  4.38891044e-01 -2.81293616e-01 
 8.02680381e-06 -0.00000000e+00  1.50000000e+00  4.86336157e-02  1.45136638e+00  0.00000000e+00  2.86070553e-01  0.00000000e+00  1.50000000e+00  4.38878878e-01 -2.81431913e-01 
 8.02680571e-06 -0.00000000e+00  1.50000000e+00  5.37600000e-02  1.44624000e+00  0.00000000e+00  8.41602343e-11  0.00000000e+00  1.50000000e+00  4.38872646e-01 -2.81502460e-01 
 8.02680617e-06 -0.00000000e+00  1.50000000e+00  5.49969426e-02  1.44500306e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38871142e-01 -2.81519476e-01 
 8.02680709e-06 -0.00000000e+00  1.50000000e+00  5.74708276e-02  1.44252917e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38868124e-01 -2.81553505e-01 
 8.02680866e-06 -0.00000000e+00  1.50000000e+00  6.16800388e-02  1.43831996e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38862958e-01 -2.81611388e-01 
 8.02681179e-06 -0.00000000e+00  1.50000000e+00  7.00984610e-02  1.42990154e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38852571e-01 -2.81727090e-01 
 8.02681806e-06 -0.00000000e+00  1.50000000e+00  8.69353055e-02  1.41306469e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38831739e-01 -2.81958241e-01 
 8.02682944e-06 -0.00000000e+00  1.50000000e+00  1.17526314e-01  1.38247369e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38793664e-01 -2.82377353e-01 
 8.02684044e-06 -0.00000000e+00  1.50000000e+00  1.47096579e-01  1.35290342e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  4.38756491e-01 -2.82781413e-01 
