time,vinp,vinn,voutp,voutn,vout
7.999999999999999638e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.239218200000000047e-01,5.800531399999999671e-01,3.438686799999999821e-01
8.000357140000000471e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.238300280000000253e-01,5.801314499999999930e-01,3.436985779999999768e-01
8.001071430000000268e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.236464340000000162e-01,5.802881370000000372e-01,3.433582969999999790e-01
8.001907140000000482e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.234315960000000212e-01,5.804715710000000195e-01,3.429600250000000017e-01
8.002050000000000745e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.233948659999999808e-01,5.805029400000000228e-01,3.428919269999999853e-01
8.002157139999999336e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.233673180000000480e-01,5.805264669999999905e-01,3.428408510000000020e-01
8.002185709999999424e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.233599719999999733e-01,5.805327409999999633e-01,3.428272310000000100e-01
8.002207139999999446e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.233544620000000425e-01,5.805374469999999842e-01,3.428170150000000027e-01
8.002212860000000713e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.233529929999999553e-01,5.805387020000000176e-01,3.428142909999999932e-01
8.002224290000000035e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.233500540000000312e-01,5.805412119999999732e-01,3.428088429999999742e-01
8.002247140000000550e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.233441770000000437e-01,5.805462310000000237e-01,3.427979460000000200e-01
8.002257139999999555e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.233416060000000369e-01,5.805484269999999780e-01,3.427931790000000034e-01
8.002261710000000674e-06,-0.000000000000000000e+00,1.493142849999999910e+00,9.233404290000000181e-01,5.805494300000000329e-01,3.427909989999999851e-01
8.002270859999999349e-06,-0.000000000000000000e+00,1.479428559999999893e+00,9.233380789999999783e-01,5.805514379999999752e-01,3.427866410000000030e-01
