Adc_ol_dB_arr,fcu_arr,CMRR_dc_dB_arr
2.712320000000000064e+01,4.326280000000000000e+06,6.184960000000000235e+01
2.780170000000000030e+01,3.767660000000000000e+06,6.496380000000000621e+01
2.715469999999999828e+01,4.356810000000000000e+06,6.406860000000000355e+01
2.754909999999999926e+01,4.009150000000000000e+06,6.506459999999999866e+01
2.743459999999999965e+01,3.985110000000000000e+06,6.799559999999999604e+01
2.738639999999999830e+01,3.941680000000000000e+06,8.409319999999999595e+01
2.806940000000000168e+01,3.519650000000000000e+06,6.225739999999999696e+01
2.808510000000000062e+01,3.442800000000000000e+06,6.475769999999999982e+01
2.655249999999999844e+01,4.562770000000000000e+06,6.031139999999999901e+01
2.797129999999999939e+01,3.563560000000000000e+06,6.810949999999999704e+01
2.694900000000000162e+01,4.289810000000000000e+06,6.456570000000000675e+01
2.761169999999999902e+01,3.901710000000000000e+06,7.627280000000000371e+01
2.664780000000000015e+01,4.772780000000000000e+06,6.116479999999999961e+01
2.781279999999999930e+01,3.686850000000000000e+06,7.087510000000000332e+01
2.758079999999999998e+01,3.835600000000000000e+06,7.617019999999999413e+01
2.753839999999999932e+01,3.932540000000000000e+06,7.162749999999999773e+01
2.777199999999999847e+01,3.795400000000000000e+06,7.490250000000000341e+01
2.746770000000000067e+01,4.058470000000000000e+06,6.224380000000000024e+01
2.814120000000000132e+01,3.466420000000000000e+06,5.795790000000000219e+01
2.697400000000000020e+01,4.322030000000000000e+06,6.340200000000000102e+01
2.649129999999999896e+01,4.628590000000000000e+06,5.858129999999999882e+01
2.718959999999999866e+01,4.181420000000000000e+06,6.406539999999999679e+01
2.731380000000000052e+01,4.092400000000000000e+06,6.886020000000000607e+01
2.749599999999999866e+01,4.021700000000000000e+06,6.419530000000000314e+01
2.747259999999999991e+01,3.911780000000000000e+06,8.255870000000000175e+01
2.734309999999999974e+01,4.076200000000000000e+06,7.782670000000000243e+01
2.773120000000000118e+01,3.810000000000000000e+06,6.859650000000000603e+01
2.717940000000000111e+01,4.241430000000000000e+06,6.456860000000000355e+01
2.744519999999999982e+01,3.934330000000000000e+06,7.608929999999999438e+01
2.751020000000000110e+01,3.847560000000000000e+06,7.405459999999999354e+01
2.707440000000000069e+01,4.316060000000000000e+06,6.515749999999999886e+01
2.756619999999999848e+01,3.932940000000000000e+06,9.146410000000000196e+01
2.791339999999999932e+01,3.664850000000000000e+06,6.689319999999999311e+01
2.777809999999999846e+01,3.783220000000000000e+06,6.626569999999999538e+01
2.803010000000000090e+01,3.543930000000000000e+06,6.490130000000000621e+01
2.782659999999999911e+01,3.724160000000000000e+06,6.446930000000000405e+01
2.720100000000000051e+01,4.086210000000000000e+06,7.681820000000000448e+01
2.699429999999999907e+01,4.380890000000000000e+06,6.636570000000000391e+01
2.776760000000000161e+01,3.727180000000000000e+06,6.524769999999999470e+01
2.719979999999999976e+01,4.050590000000000000e+06,6.708509999999999707e+01
2.779339999999999833e+01,3.715690000000000000e+06,7.498040000000000305e+01
2.774109999999999943e+01,3.815480000000000000e+06,9.238320000000000221e+01
2.773659999999999926e+01,3.764440000000000000e+06,7.585169999999999391e+01
2.692210000000000036e+01,4.372120000000000000e+06,6.781770000000000209e+01
2.739519999999999911e+01,3.892630000000000000e+06,8.581380000000000052e+01
2.782979999999999876e+01,3.769820000000000000e+06,5.699269999999999925e+01
2.711840000000000117e+01,4.288490000000000000e+06,6.551470000000000482e+01
2.761240000000000094e+01,3.739470000000000000e+06,7.327880000000000393e+01
2.738639999999999830e+01,4.036240000000000000e+06,6.373109999999999786e+01
2.727169999999999916e+01,4.218060000000000000e+06,6.256470000000000198e+01
2.747569999999999979e+01,3.960620000000000000e+06,6.737489999999999668e+01
2.754439999999999955e+01,3.970680000000000000e+06,6.205180000000000007e+01
2.746839999999999904e+01,4.064090000000000000e+06,6.846890000000000498e+01
2.771099999999999852e+01,3.745160000000000000e+06,7.091700000000000159e+01
2.707600000000000051e+01,4.348450000000000000e+06,6.450539999999999452e+01
2.711339999999999861e+01,4.164490000000000000e+06,6.469639999999999702e+01
2.720720000000000027e+01,4.171760000000000000e+06,6.517220000000000368e+01
2.826589999999999847e+01,3.431790000000000000e+06,5.622240000000000038e+01
2.756950000000000145e+01,3.957800000000000000e+06,6.458360000000000412e+01
2.736949999999999861e+01,4.020640000000000000e+06,8.478549999999999898e+01
2.741130000000000067e+01,3.979050000000000000e+06,1.190729999999999933e+02
2.763190000000000168e+01,3.907580000000000000e+06,7.446150000000000091e+01
2.668519999999999825e+01,4.578500000000000000e+06,5.930610000000000070e+01
2.708269999999999911e+01,4.296360000000000000e+06,8.626959999999999695e+01
2.769050000000000011e+01,3.971840000000000000e+06,6.249069999999999681e+01
2.689780000000000015e+01,4.357690000000000000e+06,6.435809999999999320e+01
2.714880000000000138e+01,4.316710000000000000e+06,6.986990000000000123e+01
2.734840000000000160e+01,4.118000000000000000e+06,6.562789999999999679e+01
2.704769999999999897e+01,4.196010000000000000e+06,7.573399999999999466e+01
2.765240000000000009e+01,3.688400000000000000e+06,6.752460000000000662e+01
2.698100000000000165e+01,4.355850000000000000e+06,6.593789999999999907e+01
2.704360000000000142e+01,4.334470000000000000e+06,6.526330000000000098e+01
2.757160000000000011e+01,3.821100000000000000e+06,8.134099999999999397e+01
2.642869999999999919e+01,4.781770000000000000e+06,5.912339999999999662e+01
2.784100000000000108e+01,3.704530000000000000e+06,6.872589999999999577e+01
2.756680000000000064e+01,3.821230000000000000e+06,7.324699999999999989e+01
2.751099999999999923e+01,3.965930000000000000e+06,6.522369999999999379e+01
2.736659999999999826e+01,4.204870000000000000e+06,6.147780000000000200e+01
2.701719999999999899e+01,4.408700000000000000e+06,6.454640000000000555e+01
2.775659999999999883e+01,3.683030000000000000e+06,7.873890000000000100e+01
2.768059999999999832e+01,3.859230000000000000e+06,6.560420000000000584e+01
2.705880000000000152e+01,4.262100000000000000e+06,6.605110000000000525e+01
2.768619999999999948e+01,3.699640000000000000e+06,6.928870000000000573e+01
2.754279999999999973e+01,3.868760000000000000e+06,7.066459999999999297e+01
2.793850000000000122e+01,3.600780000000000000e+06,6.552570000000000050e+01
2.714270000000000138e+01,4.193990000000000000e+06,8.311220000000000141e+01
2.757649999999999935e+01,3.873360000000000000e+06,6.689029999999999632e+01
2.766959999999999908e+01,3.820200000000000000e+06,6.615049999999999386e+01
2.734809999999999874e+01,4.172180000000000000e+06,6.608629999999999427e+01
2.699930000000000163e+01,4.435080000000000000e+06,6.306360000000000099e+01
2.739079999999999870e+01,4.098460000000000000e+06,6.406699999999999307e+01
