# amp_dBFS amplitude SNDR_dB
-60 1.00000000e-03 17.49
-57 1.41253754e-03 20.66
-54 1.99526231e-03 23.75
-51 2.81838293e-03 26.65
-48 3.98107171e-03 29.17
-45 5.62341325e-03 31.81
-42 7.94328235e-03 32.99
-39 1.12201845e-02 37.40
-36 1.58489319e-02 41.23
-33 2.23872114e-02 44.56
-30 3.16227766e-02 47.67
-27 4.46683592e-02 51.13
-24 6.30957344e-02 53.45
-21 8.91250938e-02 56.68
-18 1.25892541e-01 60.23
-15 1.77827941e-01 63.11
-12 2.51188643e-01 65.52
-9 3.54813389e-01 67.08
-6 5.01187234e-01 68.37
-3 7.07945784e-01 69.17
