# amp_dBFS amplitude SNDR_dB
-80 1.00000000e-04 -1.77
-77 1.41253754e-04 1.67
-74 1.99526231e-04 5.40
-71 2.81838293e-04 5.79
-68 3.98107171e-04 9.46
-65 5.62341325e-04 13.37
-62 7.94328235e-04 15.61
-59 1.12201845e-03 19.14
-56 1.58489319e-03 22.08
-53 2.23872114e-03 24.43
-50 3.16227766e-03 27.61
-47 4.46683592e-03 30.08
-44 6.30957344e-03 31.71
-41 8.91250938e-03 34.23
-38 1.25892541e-02 38.59
-35 1.77827941e-02 42.12
-32 2.51188643e-02 45.82
-29 3.54813389e-02 48.85
-26 5.01187234e-02 52.14
-23 7.07945784e-02 54.74
-20 1.00000000e-01 58.01
-17 1.41253754e-01 61.23
-14 1.99526231e-01 63.62
-11 2.81838293e-01 66.05
-8 3.98107171e-01 67.80
-5 5.62341325e-01 68.69
-2 7.94328235e-01 68.72
