pin,die_pad,die_x_um,die_y_um,pkg_x_um,pkg_y_um,length_um
1,clk_PAD,4551.225,10453.975,2484.725,12269.329,2750.6
2,rst_n_PAD,4551.225,10357.975,2484.725,11836.875,2541.2
3,input_PAD[5],4551.225,10261.975,2484.725,11392.475,2355.5
4,output_PAD[8],4551.225,10165.975,2484.725,10948.075,2209.5
5,output_PAD[7],4551.225,10069.975,2484.725,10503.675,2111.5
6,output_PAD[6],4551.225,9973.975,2484.725,10059.275,2068.3
7,IOVDD,4551.225,9877.975,2484.725,9600.479,2085.0
8,VDD,4551.225,9685.975,2484.725,9156.079,2133.4
9,bidir_PAD[8],4551.225,9493.975,2484.725,8711.679,2209.6
10,output_PAD[5],4551.225,9397.975,2484.725,8267.279,2355.6
11,input_PAD[4],4551.225,9301.975,2484.725,7822.879,2541.3
12,output_PAD[4],4551.225,9205.975,2490.022,7405.601,2736.8
13,IOVDD,4822.225,8934.975,3021.954,6873.719,2736.7
14,IOVSS,4918.225,8934.975,3439.325,6868.475,2541.2
15,VDD,5014.225,8934.975,3883.725,6868.475,2355.5
16,output_PAD[0],5206.225,8934.975,4328.125,6868.475,2245.3
17,output_PAD[1],5302.225,8934.975,4772.525,6868.475,2133.3
18,output_PAD[2],5398.225,8934.975,5216.925,6868.475,2074.4
19,output_PAD[3],5494.225,8934.975,5675.721,6868.475,2074.5
20,VDD,5590.225,8934.975,6120.121,6868.475,2133.4
21,bidir_PAD[4],5782.225,8934.975,6564.521,6868.475,2209.6
22,bidir_PAD[5],5878.225,8934.975,7008.921,6868.475,2355.6
23,bidir_PAD[6],5974.225,8934.975,7453.321,6868.475,2541.3
24,bidir_PAD[7],6070.225,8934.975,7869.541,6874.364,2735.6
25,analog_PAD[0],6341.225,9205.975,8402.325,7405.785,2736.6
26,analog_PAD[1],6341.225,9301.975,8407.725,7822.879,2541.3
27,VSS,6341.225,9397.975,8407.725,8267.279,2355.6
28,VDD,6341.225,9493.975,8407.725,8711.679,2209.6
29,analog_PAD[2],6341.225,9685.975,8407.725,9156.079,2133.4
30,analog_PAD[3],6341.225,9781.975,8407.725,9600.479,2074.5
31,analog_PAD[4],6341.225,9877.975,8407.725,10059.275,2074.4
32,analog_PAD[5],6341.225,9973.975,8407.725,10503.675,2133.3
33,VDD,6341.225,10165.975,8407.725,10948.075,2209.5
34,VSS,6341.225,10261.975,8407.725,11392.475,2355.5
35,analog_PAD[6],6341.225,10357.975,8407.725,11836.875,2541.2
36,analog_PAD[7],6341.225,10453.975,8402.517,12254.310,2736.8
37,bidir_PAD[3],6070.225,10724.975,7870.521,12786.135,2736.7
38,bidir_PAD[2],5974.225,10724.975,7453.321,12791.475,2541.3
39,bidir_PAD[1],5878.225,10724.975,7008.921,12791.475,2355.6
40,bidir_PAD[0],5782.225,10724.975,6564.521,12791.475,2209.6
41,VDD,5590.225,10724.975,6120.121,12791.475,2133.4
42,input_PAD[3],5494.225,10724.975,5675.721,12791.475,2074.5
43,input_PAD[2],5398.225,10724.975,5216.925,12791.475,2074.4
44,input_PAD[1],5302.225,10724.975,4772.525,12791.475,2133.3
45,input_PAD[0],5206.225,10724.975,4328.125,12791.475,2245.3
46,VSS,5110.225,10724.975,3883.725,12791.475,2403.1
47,VDD,5014.225,10724.975,3439.325,12791.475,2598.2
48,IOVDD,4822.225,10724.975,3006.725,12791.475,2750.7
EPAD,VSS,4551.225,9589.975,4074.520,9439.136,500.0
EPAD,VSS,5110.225,8934.975,4892.205,8485.011,500.0
EPAD,VSS,5686.225,8934.975,5837.064,8458.270,500.0
EPAD,VSS,5686.225,10724.975,5837.064,11201.680,500.0
EPAD,VSS,6341.225,9589.975,6817.930,9439.136,500.0
EPAD,VSS,6341.225,10069.975,6817.943,10220.773,500.0
EPAD,IOVSS,4551.225,9781.975,4060.437,9686.441,500.0
EPAD,IOVSS,4918.225,10724.975,4601.494,11111.862,500.0
