Adc_ol_dB_arr,fcu_arr,CMRR_dc_dB_arr
3.105750000000000099e+01,5.075610000000000000e+05,4.336590000000000344e+01
3.105740000000000123e+01,5.092250000000000000e+05,4.345649999999999835e+01
3.108599999999999852e+01,5.075410000000000000e+05,4.348949999999999960e+01
3.107260000000000133e+01,5.079190000000000000e+05,4.350110000000000099e+01
3.108510000000000062e+01,5.073050000000000000e+05,4.342649999999999721e+01
3.103200000000000003e+01,5.097990000000000000e+05,4.338300000000000267e+01
3.108119999999999905e+01,5.058000000000000000e+05,4.349430000000000263e+01
3.105379999999999896e+01,5.089100000000000000e+05,4.348530000000000229e+01
3.106889999999999930e+01,5.073280000000000000e+05,4.348590000000000089e+01
3.106640000000000157e+01,5.071340000000000000e+05,4.346320000000000050e+01
3.106569999999999965e+01,5.069580000000000000e+05,4.342759999999999820e+01
3.106800000000000139e+01,5.067750000000000000e+05,4.342060000000000031e+01
3.106469999999999843e+01,5.075440000000000000e+05,4.344809999999999661e+01
3.107819999999999894e+01,5.065240000000000000e+05,4.339929999999999666e+01
3.105069999999999908e+01,5.091020000000000000e+05,4.345080000000000098e+01
3.106429999999999936e+01,5.072850000000000000e+05,4.343610000000000326e+01
3.107250000000000156e+01,5.075570000000000000e+05,4.343999999999999773e+01
3.108289999999999864e+01,5.070340000000000000e+05,4.343939999999999912e+01
3.106380000000000052e+01,5.085660000000000000e+05,4.344729999999999848e+01
3.106220000000000070e+01,5.087120000000000000e+05,4.339540000000000219e+01
3.106180000000000163e+01,5.068380000000000000e+05,4.339540000000000219e+01
3.107580000000000098e+01,5.073360000000000000e+05,4.350560000000000116e+01
3.108770000000000167e+01,5.059550000000000000e+05,4.348360000000000269e+01
3.106879999999999953e+01,5.082090000000000000e+05,4.346809999999999974e+01
3.106879999999999953e+01,5.077690000000000000e+05,4.347350000000000136e+01
3.106009999999999849e+01,5.074590000000000000e+05,4.339320000000000022e+01
3.109750000000000014e+01,5.056590000000000000e+05,4.351350000000000051e+01
3.106500000000000128e+01,5.084030000000000000e+05,4.338369999999999749e+01
3.105430000000000135e+01,5.080580000000000000e+05,4.340570000000000306e+01
3.107420000000000115e+01,5.078070000000000000e+05,4.344630000000000081e+01
3.106380000000000052e+01,5.060050000000000000e+05,4.337019999999999698e+01
3.107029999999999959e+01,5.073690000000000000e+05,4.348259999999999792e+01
3.104510000000000147e+01,5.090960000000000000e+05,4.339320000000000022e+01
3.106680000000000064e+01,5.082370000000000000e+05,4.345819999999999794e+01
3.105310000000000059e+01,5.084250000000000000e+05,4.339929999999999666e+01
3.108360000000000056e+01,5.065570000000000000e+05,4.350030000000000285e+01
3.104429999999999978e+01,5.090460000000000000e+05,4.342009999999999792e+01
3.105039999999999978e+01,5.083010000000000000e+05,4.337570000000000192e+01
3.106540000000000035e+01,5.093530000000000000e+05,4.346869999999999834e+01
3.106540000000000035e+01,5.079400000000000000e+05,4.346240000000000236e+01
3.107189999999999941e+01,5.077500000000000000e+05,4.338819999999999766e+01
3.105420000000000158e+01,5.078740000000000000e+05,4.334700000000000131e+01
3.104710000000000036e+01,5.087890000000000000e+05,4.335620000000000118e+01
3.103229999999999933e+01,5.085760000000000000e+05,4.336399999999999721e+01
3.107920000000000016e+01,5.064110000000000000e+05,4.342710000000000292e+01
