 v-sweep         v(vinp)         v(voutp)        v(voutn)       
-1.80000000e+00  0.00000000e+00  8.87827492e-02  1.70555780e+00 
-1.79900000e+00  5.00000000e-04  8.87966512e-02  1.70556494e+00 
-1.79800000e+00  1.00000000e-03  8.88105708e-02  1.70557210e+00 
-1.79700000e+00  1.50000000e-03  8.88245081e-02  1.70557925e+00 
-1.79600000e+00  2.00000000e-03  8.88384630e-02  1.70558642e+00 
-1.79500000e+00  2.50000000e-03  8.88524355e-02  1.70559359e+00 
-1.79400000e+00  3.00000000e-03  8.88664256e-02  1.70560077e+00 
-1.79300000e+00  3.50000000e-03  8.88804334e-02  1.70560795e+00 
-1.79200000e+00  4.00000000e-03  8.88944588e-02  1.70561514e+00 
-1.79100000e+00  4.50000000e-03  8.89085018e-02  1.70562234e+00 
-1.79000000e+00  5.00000000e-03  8.89225625e-02  1.70562954e+00 
-1.78900000e+00  5.50000000e-03  8.89366407e-02  1.70563675e+00 
-1.78800000e+00  6.00000000e-03  8.89507366e-02  1.70564397e+00 
-1.78700000e+00  6.50000000e-03  8.89648502e-02  1.70565119e+00 
-1.78600000e+00  7.00000000e-03  8.89789813e-02  1.70565842e+00 
-1.78500000e+00  7.50000000e-03  8.89931301e-02  1.70566565e+00 
-1.78400000e+00  8.00000000e-03  8.90072965e-02  1.70567289e+00 
-1.78300000e+00  8.50000000e-03  8.90214806e-02  1.70568013e+00 
-1.78200000e+00  9.00000000e-03  8.90356823e-02  1.70568739e+00 
-1.78100000e+00  9.50000000e-03  8.90499016e-02  1.70569464e+00 
-1.78000000e+00  1.00000000e-02  8.90641386e-02  1.70570191e+00 
-1.77900000e+00  1.05000000e-02  8.90783931e-02  1.70570918e+00 
-1.77800000e+00  1.10000000e-02  8.90926654e-02  1.70571645e+00 
-1.77700000e+00  1.15000000e-02  8.91069552e-02  1.70572373e+00 
-1.77600000e+00  1.20000000e-02  8.91212627e-02  1.70573102e+00 
-1.77500000e+00  1.25000000e-02  8.91355878e-02  1.70573832e+00 
