 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.00000000e-01  7.05498892e-05  2.52328970e-03 
 1.02305973e-01  6.95917834e-05  2.48902205e-03 
 1.04665121e-01  6.86466918e-05  2.45521987e-03 
 1.07078670e-01  6.77144375e-05  2.42187684e-03 
 1.09547876e-01  6.67948462e-05  2.38898670e-03 
 1.12074020e-01  6.58877459e-05  2.35654332e-03 
 1.14658417e-01  6.49929669e-05  2.32454063e-03 
 1.17302409e-01  6.41103417e-05  2.29297263e-03 
 1.20007371e-01  6.32397054e-05  2.26183342e-03 
 1.22774708e-01  6.23808950e-05  2.23111718e-03 
 1.25605860e-01  6.15337500e-05  2.20081816e-03 
 1.28502297e-01  6.06981117e-05  2.17093069e-03 
 1.31465525e-01  5.98738240e-05  2.14144919e-03 
 1.34497085e-01  5.90607325e-05  2.11236813e-03 
 1.37598551e-01  5.82586853e-05  2.08368209e-03 
 1.40771537e-01  5.74675324e-05  2.05538568e-03 
 1.44017690e-01  5.66871256e-05  2.02747363e-03 
 1.47338699e-01  5.59173190e-05  1.99994070e-03 
 1.50736290e-01  5.51579687e-05  1.97278175e-03 
 1.54212228e-01  5.44089326e-05  1.94599170e-03 
 1.57768320e-01  5.36700705e-05  1.91956554e-03 
 1.61406415e-01  5.29412443e-05  1.89349831e-03 
 1.65128404e-01  5.22223177e-05  1.86778516e-03 
 1.68936220e-01  5.15131561e-05  1.84242126e-03 
 1.72831844e-01  5.08136269e-05  1.81740188e-03 
 1.76817299e-01  5.01235993e-05  1.79272233e-03 
 1.80894658e-01  4.94429442e-05  1.76837799e-03 
 1.85066040e-01  4.87715342e-05  1.74436432e-03 
 1.89333613e-01  4.81092438e-05  1.72067682e-03 
 1.93699595e-01  4.74559492e-05  1.69731106e-03 
 1.98166255e-01  4.68115280e-05  1.67426268e-03 
 2.02735916e-01  4.61758598e-05  1.65152734e-03 
 2.07410951e-01  4.55488256e-05  1.62910082e-03 
 2.12193792e-01  4.49303082e-05  1.60697891e-03 
 2.17086923e-01  4.43201919e-05  1.58515747e-03 
 2.22092889e-01  4.37183626e-05  1.56363242e-03 
 2.27214291e-01  4.31247076e-05  1.54239973e-03 
 2.32453791e-01  4.25391160e-05  1.52145544e-03 
 2.37814113e-01  4.19614781e-05  1.50079563e-03 
 2.43298042e-01  4.13916861e-05  1.48041643e-03 
 2.48908429e-01  4.08296332e-05  1.46031403e-03 
 2.54648190e-01  4.02752144e-05  1.44048466e-03 
 2.60520309e-01  3.97283259e-05  1.42092463e-03 
 2.66527837e-01  3.91888655e-05  1.40163027e-03 
 2.72673897e-01  3.86567322e-05  1.38259798e-03 
 2.78961683e-01  3.81318266e-05  1.36382418e-03 
 2.85394464e-01  3.76140504e-05  1.34530538e-03 
 2.91975583e-01  3.71033068e-05  1.32703811e-03 
 2.98708461e-01  3.65995002e-05  1.30901895e-03 
 3.05596598e-01  3.61025365e-05  1.29124453e-03 
 3.12643573e-01  3.56123227e-05  1.27371152e-03 
 3.19853049e-01  3.51287671e-05  1.25641666e-03 
 3.27228774e-01  3.46517792e-05  1.23935669e-03 
 3.34774581e-01  3.41812698e-05  1.22252844e-03 
 3.42494392e-01  3.37171509e-05  1.20592875e-03 
 3.50392221e-01  3.32593358e-05  1.18955452e-03 
 3.58472171e-01  3.28077387e-05  1.17340268e-03 
 3.66738442e-01  3.23622753e-05  1.15747022e-03 
 3.75195331e-01  3.19228621e-05  1.14175415e-03 
 3.83847234e-01  3.14894171e-05  1.12625155e-03 
 3.92698648e-01  3.10618591e-05  1.11095949e-03 
 4.01754173e-01  3.06401082e-05  1.09587513e-03 
 4.11018515e-01  3.02240855e-05  1.08099565e-03 
 4.20496491e-01  2.98137131e-05  1.06631826e-03 
 4.30193027e-01  2.94089144e-05  1.05184022e-03 
 4.40113162e-01  2.90096136e-05  1.03755881e-03 
 4.50262052e-01  2.86157360e-05  1.02347137e-03 
 4.60644974e-01  2.82272080e-05  1.00957527e-03 
 4.71267322e-01  2.78439569e-05  9.95867894e-04 
 4.82134619e-01  2.74659110e-05  9.82346691e-04 
 4.93252513e-01  2.70929996e-05  9.69009130e-04 
 5.04626783e-01  2.67251530e-05  9.55852715e-04 
 5.16263340e-01  2.63623023e-05  9.42874986e-04 
 5.28168234e-01  2.60043798e-05  9.30073515e-04 
 5.40347650e-01  2.56513183e-05  9.17445909e-04 
 5.52807921e-01  2.53030521e-05  9.04989806e-04 
 5.65555523e-01  2.49595158e-05  8.92702875e-04 
 5.78597080e-01  2.46206452e-05  8.80582820e-04 
 5.91939372e-01  2.42863770e-05  8.68627372e-04 
 6.05589334e-01  2.39566487e-05  8.56834297e-04 
 6.19554061e-01  2.36313985e-05  8.45201389e-04 
 6.33840810e-01  2.33105657e-05  8.33726471e-04 
 6.48457008e-01  2.29940902e-05  8.22407398e-04 
 6.63410251e-01  2.26819129e-05  8.11242054e-04 
 6.78708313e-01  2.23739753e-05  8.00228349e-04 
 6.94359143e-01  2.20702199e-05  7.89364224e-04 
 7.10370877e-01  2.17705899e-05  7.78647647e-04 
 7.26751838e-01  2.14750293e-05  7.68076614e-04 
 7.43510539e-01  2.11834826e-05  7.57649148e-04 
 7.60655691e-01  2.08958956e-05  7.47363299e-04 
 7.78196206e-01  2.06122142e-05  7.37217143e-04 
 7.96141200e-01  2.03323856e-05  7.27208782e-04 
 8.14500001e-01  2.00563573e-05  7.17336346e-04 
 8.33282151e-01  1.97840778e-05  7.07597987e-04 
 8.52497412e-01  1.95154960e-05  6.97991884e-04 
 8.72155772e-01  1.92505619e-05  6.88516241e-04 
 8.92267449e-01  1.89892258e-05  6.79169285e-04 
 9.12842895e-01  1.87314389e-05  6.69949270e-04 
 9.33892805e-01  1.84771529e-05  6.60854470e-04 
 9.55428121e-01  1.82263204e-05  6.51883184e-04 
 9.77460036e-01  1.79788943e-05  6.43033735e-04 
 1.00000000e+00  1.77348285e-05  6.34304469e-04 
 1.02305973e+00  1.74940772e-05  6.25693751e-04 
 1.04665121e+00  1.72565955e-05  6.17199973e-04 
 1.07078670e+00  1.70223390e-05  6.08821546e-04 
 1.09547876e+00  1.67912638e-05  6.00556902e-04 
 1.12074020e+00  1.65633267e-05  5.92404497e-04 
 1.14658417e+00  1.63384851e-05  5.84362805e-04 
 1.17302409e+00  1.61166970e-05  5.76430324e-04 
 1.20007371e+00  1.58979208e-05  5.68605569e-04 
 1.22774708e+00  1.56821158e-05  5.60887077e-04 
 1.25605860e+00  1.54692414e-05  5.53273405e-04 
 1.28502297e+00  1.52592579e-05  5.45763129e-04 
 1.31465525e+00  1.50521261e-05  5.38354845e-04 
 1.34497085e+00  1.48478071e-05  5.31047167e-04 
 1.37598551e+00  1.46462629e-05  5.23838728e-04 
 1.40771537e+00  1.44474556e-05  5.16728182e-04 
 1.44017690e+00  1.42513482e-05  5.09714197e-04 
 1.47338699e+00  1.40579040e-05  5.02795463e-04 
 1.50736290e+00  1.38670867e-05  4.95970686e-04 
 1.54212228e+00  1.36788607e-05  4.89238589e-04 
 1.57768320e+00  1.34931908e-05  4.82597914e-04 
 1.61406415e+00  1.33100423e-05  4.76047418e-04 
 1.65128404e+00  1.31293809e-05  4.69585878e-04 
 1.68936220e+00  1.29511729e-05  4.63212084e-04 
 1.72831844e+00  1.27753849e-05  4.56924845e-04 
 1.76817299e+00  1.26019841e-05  4.50722985e-04 
 1.80894658e+00  1.24309380e-05  4.44605345e-04 
 1.85066040e+00  1.22622147e-05  4.38570780e-04 
 1.89333613e+00  1.20957825e-05  4.32618162e-04 
 1.93699595e+00  1.19316104e-05  4.26746378e-04 
 1.98166255e+00  1.17696677e-05  4.20954330e-04 
 2.02735916e+00  1.16099242e-05  4.15240935e-04 
 2.07410951e+00  1.14523498e-05  4.09605125e-04 
 2.12193792e+00  1.12969152e-05  4.04045846e-04 
 2.17086923e+00  1.11435913e-05  3.98562059e-04 
 2.22092889e+00  1.09923494e-05  3.93152737e-04 
 2.27214291e+00  1.08431613e-05  3.87816870e-04 
 2.32453791e+00  1.06959991e-05  3.82553460e-04 
 2.37814113e+00  1.05508352e-05  3.77361523e-04 
 2.43298042e+00  1.04076424e-05  3.72240087e-04 
 2.48908429e+00  1.02663942e-05  3.67188196e-04 
 2.54648190e+00  1.01270639e-05  3.62204905e-04 
 2.60520309e+00  9.98962557e-06  3.57289282e-04 
 2.66527837e+00  9.85405352e-06  3.52440408e-04 
 2.72673897e+00  9.72032239e-06  3.47657376e-04 
 2.78961683e+00  9.58840718e-06  3.42939292e-04 
 2.85394464e+00  9.45828321e-06  3.38285273e-04 
 2.91975583e+00  9.32992616e-06  3.33694451e-04 
 2.98708461e+00  9.20331204e-06  3.29165966e-04 
 3.05596598e+00  9.07841716e-06  3.24698971e-04 
 3.12643573e+00  8.95521817e-06  3.20292633e-04 
 3.19853049e+00  8.83369205e-06  3.15946125e-04 
 3.27228774e+00  8.71381607e-06  3.11658637e-04 
 3.34774581e+00  8.59556781e-06  3.07429366e-04 
 3.42494392e+00  8.47892518e-06  3.03257521e-04 
 3.50392221e+00  8.36386636e-06  2.99142324e-04 
 3.58472171e+00  8.25036984e-06  2.95083003e-04 
 3.66738442e+00  8.13841439e-06  2.91078801e-04 
 3.75195331e+00  8.02797910e-06  2.87128969e-04 
 3.83847234e+00  7.91904331e-06  2.83232768e-04 
 3.92698648e+00  7.81158666e-06  2.79389470e-04 
 4.01754173e+00  7.70558906e-06  2.75598356e-04 
 4.11018515e+00  7.60103068e-06  2.71858717e-04 
 4.20496491e+00  7.49789199e-06  2.68169855e-04 
 4.30193027e+00  7.39615370e-06  2.64531080e-04 
 4.40113162e+00  7.29579678e-06  2.60941712e-04 
 4.50262052e+00  7.19680249e-06  2.57401078e-04 
 4.60644974e+00  7.09915231e-06  2.53908519e-04 
 4.71267322e+00  7.00282798e-06  2.50463380e-04 
 4.82134619e+00  6.90781150e-06  2.47065017e-04 
 4.93252513e+00  6.81408511e-06  2.43712796e-04 
 5.04626783e+00  6.72163128e-06  2.40406089e-04 
 5.16263340e+00  6.63043274e-06  2.37144279e-04 
 5.28168234e+00  6.54047242e-06  2.33926755e-04 
 5.40347650e+00  6.45173352e-06  2.30752917e-04 
 5.52807921e+00  6.36419944e-06  2.27622170e-04 
 5.65555523e+00  6.27785383e-06  2.24533930e-04 
 5.78597080e+00  6.19268053e-06  2.21487619e-04 
 5.91939372e+00  6.10866364e-06  2.18482668e-04 
 6.05589334e+00  6.02578743e-06  2.15518515e-04 
 6.19554061e+00  5.94403643e-06  2.12594606e-04 
 6.33840810e+00  5.86339535e-06  2.09710394e-04 
 6.48457008e+00  5.78384911e-06  2.06865341e-04 
