 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e+00 -5.96425788e+00 -3.14470273e-04 
 1.02305973e+00 -5.96425788e+00 -3.21721872e-04 
 1.04665121e+00 -5.96425788e+00 -3.29140692e-04 
 1.07078670e+00 -5.96425788e+00 -3.36730587e-04 
 1.09547876e+00 -5.96425788e+00 -3.44495503e-04 
 1.12074020e+00 -5.96425788e+00 -3.52439477e-04 
 1.14658417e+00 -5.96425788e+00 -3.60566636e-04 
 1.17302409e+00 -5.96425788e+00 -3.68881205e-04 
 1.20007371e+00 -5.96425788e+00 -3.77387506e-04 
 1.22774708e+00 -5.96425788e+00 -3.86089960e-04 
 1.25605860e+00 -5.96425788e+00 -3.94993090e-04 
 1.28502297e+00 -5.96425788e+00 -4.04101524e-04 
 1.31465525e+00 -5.96425788e+00 -4.13419996e-04 
 1.34497085e+00 -5.96425788e+00 -4.22953349e-04 
 1.37598551e+00 -5.96425788e+00 -4.32706539e-04 
 1.40771537e+00 -5.96425788e+00 -4.42684635e-04 
 1.44017690e+00 -5.96425788e+00 -4.52892823e-04 
 1.47338699e+00 -5.96425788e+00 -4.63336409e-04 
 1.50736290e+00 -5.96425788e+00 -4.74020822e-04 
 1.54212228e+00 -5.96425788e+00 -4.84951614e-04 
 1.57768320e+00 -5.96425788e+00 -4.96134467e-04 
 1.61406415e+00 -5.96425788e+00 -5.07575194e-04 
 1.65128404e+00 -5.96425788e+00 -5.19279741e-04 
 1.68936220e+00 -5.96425788e+00 -5.31254191e-04 
 1.72831844e+00 -5.96425788e+00 -5.43504769e-04 
 1.76817299e+00 -5.96425788e+00 -5.56037842e-04 
 1.80894658e+00 -5.96425788e+00 -5.68859925e-04 
 1.85066040e+00 -5.96425788e+00 -5.81977681e-04 
 1.89333613e+00 -5.96425788e+00 -5.95397929e-04 
 1.93699595e+00 -5.96425788e+00 -6.09127645e-04 
 1.98166255e+00 -5.96425788e+00 -6.23173963e-04 
 2.02735916e+00 -5.96425788e+00 -6.37544187e-04 
 2.07410951e+00 -5.96425788e+00 -6.52245783e-04 
 2.12193792e+00 -5.96425788e+00 -6.67286395e-04 
 2.17086923e+00 -5.96425788e+00 -6.82673839e-04 
 2.22092889e+00 -5.96425788e+00 -6.98416113e-04 
 2.27214291e+00 -5.96425788e+00 -7.14521400e-04 
 2.32453791e+00 -5.96425788e+00 -7.30998071e-04 
 2.37814113e+00 -5.96425788e+00 -7.47854689e-04 
 2.43298042e+00 -5.96425788e+00 -7.65100016e-04 
 2.48908429e+00 -5.96425788e+00 -7.82743015e-04 
 2.54648190e+00 -5.96425788e+00 -8.00792858e-04 
 2.60520309e+00 -5.96425788e+00 -8.19258925e-04 
 2.66527837e+00 -5.96425788e+00 -8.38150814e-04 
 2.72673897e+00 -5.96425788e+00 -8.57478346e-04 
 2.78961683e+00 -5.96425788e+00 -8.77251565e-04 
 2.85394464e+00 -5.96425788e+00 -8.97480749e-04 
 2.91975583e+00 -5.96425788e+00 -9.18176412e-04 
 2.98708461e+00 -5.96425788e+00 -9.39349312e-04 
 3.05596598e+00 -5.96425788e+00 -9.61010454e-04 
 3.12643573e+00 -5.96425788e+00 -9.83171095e-04 
 3.19853049e+00 -5.96425788e+00 -1.00584276e-03 
 3.27228774e+00 -5.96425788e+00 -1.02903722e-03 
 3.34774581e+00 -5.96425788e+00 -1.05276654e-03 
 3.42494392e+00 -5.96425788e+00 -1.07704305e-03 
 3.50392221e+00 -5.96425788e+00 -1.10187937e-03 
 3.58472171e+00 -5.96425788e+00 -1.12728841e-03 
 3.66738442e+00 -5.96425788e+00 -1.15328338e-03 
 3.75195331e+00 -5.96425788e+00 -1.17987778e-03 
 3.83847234e+00 -5.96425788e+00 -1.20708544e-03 
 3.92698648e+00 -5.96425788e+00 -1.23492051e-03 
 4.01754173e+00 -5.96425788e+00 -1.26339744e-03 
 4.11018515e+00 -5.96425788e+00 -1.29253105e-03 
 4.20496491e+00 -5.96425788e+00 -1.32233646e-03 
 4.30193027e+00 -5.96425788e+00 -1.35282918e-03 
 4.40113162e+00 -5.96425788e+00 -1.38402506e-03 
 4.50262052e+00 -5.96425788e+00 -1.41594030e-03 
 4.60644974e+00 -5.96425788e+00 -1.44859150e-03 
 4.71267322e+00 -5.96425788e+00 -1.48199563e-03 
 4.82134619e+00 -5.96425788e+00 -1.51617005e-03 
 4.93252513e+00 -5.96425788e+00 -1.55113252e-03 
 5.04626783e+00 -5.96425788e+00 -1.58690122e-03 
 5.16263340e+00 -5.96425788e+00 -1.62349473e-03 
 5.28168234e+00 -5.96425788e+00 -1.66093208e-03 
 5.40347650e+00 -5.96425788e+00 -1.69923273e-03 
 5.52807921e+00 -5.96425788e+00 -1.73841658e-03 
 5.65555523e+00 -5.96425788e+00 -1.77850399e-03 
 5.78597080e+00 -5.96425788e+00 -1.81951581e-03 
 5.91939372e+00 -5.96425788e+00 -1.86147336e-03 
 6.05589334e+00 -5.96425788e+00 -1.90439843e-03 
 6.19554061e+00 -5.96425788e+00 -1.94831334e-03 
 6.33840810e+00 -5.96425788e+00 -1.99324092e-03 
 6.48457008e+00 -5.96425788e+00 -2.03920452e-03 
 6.63410251e+00 -5.96425788e+00 -2.08622803e-03 
 6.78708313e+00 -5.96425788e+00 -2.13433588e-03 
 6.94359143e+00 -5.96425788e+00 -2.18355309e-03 
 7.10370877e+00 -5.96425788e+00 -2.23390523e-03 
 7.26751838e+00 -5.96425788e+00 -2.28541848e-03 
 7.43510539e+00 -5.96425788e+00 -2.33811962e-03 
 7.60655691e+00 -5.96425788e+00 -2.39203602e-03 
 7.78196206e+00 -5.96425788e+00 -2.44719573e-03 
 7.96141200e+00 -5.96425788e+00 -2.50362740e-03 
 8.14500001e+00 -5.96425788e+00 -2.56136037e-03 
 8.33282151e+00 -5.96425788e+00 -2.62042465e-03 
 8.52497412e+00 -5.96425788e+00 -2.68085094e-03 
 8.72155772e+00 -5.96425788e+00 -2.74267063e-03 
 8.92267449e+00 -5.96425788e+00 -2.80591588e-03 
 9.12842895e+00 -5.96425788e+00 -2.87061954e-03 
 9.33892805e+00 -5.96425788e+00 -2.93681525e-03 
 9.55428121e+00 -5.96425788e+00 -3.00453742e-03 
 9.77460036e+00 -5.96425788e+00 -3.07382124e-03 
 1.00000000e+01 -5.96425788e+00 -3.14470273e-03 
 1.02305973e+01 -5.96425788e+00 -3.21721872e-03 
 1.04665121e+01 -5.96425788e+00 -3.29140692e-03 
 1.07078670e+01 -5.96425788e+00 -3.36730587e-03 
 1.09547876e+01 -5.96425788e+00 -3.44495503e-03 
 1.12074020e+01 -5.96425788e+00 -3.52439477e-03 
 1.14658417e+01 -5.96425788e+00 -3.60566636e-03 
 1.17302409e+01 -5.96425788e+00 -3.68881205e-03 
 1.20007371e+01 -5.96425788e+00 -3.77387506e-03 
 1.22774708e+01 -5.96425788e+00 -3.86089960e-03 
 1.25605860e+01 -5.96425788e+00 -3.94993090e-03 
 1.28502297e+01 -5.96425788e+00 -4.04101524e-03 
 1.31465525e+01 -5.96425788e+00 -4.13419996e-03 
 1.34497085e+01 -5.96425788e+00 -4.22953349e-03 
 1.37598551e+01 -5.96425788e+00 -4.32706539e-03 
 1.40771537e+01 -5.96425788e+00 -4.42684635e-03 
 1.44017690e+01 -5.96425788e+00 -4.52892823e-03 
 1.47338699e+01 -5.96425788e+00 -4.63336409e-03 
 1.50736290e+01 -5.96425788e+00 -4.74020822e-03 
 1.54212228e+01 -5.96425788e+00 -4.84951614e-03 
 1.57768320e+01 -5.96425788e+00 -4.96134467e-03 
 1.61406415e+01 -5.96425788e+00 -5.07575194e-03 
 1.65128404e+01 -5.96425788e+00 -5.19279741e-03 
 1.68936220e+01 -5.96425788e+00 -5.31254191e-03 
 1.72831844e+01 -5.96425788e+00 -5.43504770e-03 
 1.76817299e+01 -5.96425788e+00 -5.56037843e-03 
 1.80894658e+01 -5.96425788e+00 -5.68859925e-03 
 1.85066040e+01 -5.96425788e+00 -5.81977681e-03 
 1.89333613e+01 -5.96425788e+00 -5.95397929e-03 
 1.93699595e+01 -5.96425788e+00 -6.09127645e-03 
 1.98166255e+01 -5.96425788e+00 -6.23173964e-03 
 2.02735916e+01 -5.96425788e+00 -6.37544187e-03 
 2.07410951e+01 -5.96425788e+00 -6.52245784e-03 
 2.12193792e+01 -5.96425788e+00 -6.67286395e-03 
 2.17086923e+01 -5.96425788e+00 -6.82673839e-03 
 2.22092889e+01 -5.96425788e+00 -6.98416114e-03 
 2.27214291e+01 -5.96425788e+00 -7.14521401e-03 
 2.32453791e+01 -5.96425788e+00 -7.30998071e-03 
 2.37814113e+01 -5.96425788e+00 -7.47854689e-03 
 2.43298042e+01 -5.96425788e+00 -7.65100016e-03 
 2.48908429e+01 -5.96425788e+00 -7.82743016e-03 
 2.54648190e+01 -5.96425788e+00 -8.00792859e-03 
 2.60520309e+01 -5.96425788e+00 -8.19258926e-03 
 2.66527837e+01 -5.96425788e+00 -8.38150815e-03 
 2.72673897e+01 -5.96425788e+00 -8.57478347e-03 
 2.78961683e+01 -5.96425788e+00 -8.77251566e-03 
 2.85394464e+01 -5.96425788e+00 -8.97480750e-03 
 2.91975583e+01 -5.96425788e+00 -9.18176414e-03 
 2.98708461e+01 -5.96425788e+00 -9.39349314e-03 
 3.05596598e+01 -5.96425788e+00 -9.61010455e-03 
 3.12643573e+01 -5.96425788e+00 -9.83171097e-03 
 3.19853049e+01 -5.96425788e+00 -1.00584276e-02 
 3.27228774e+01 -5.96425788e+00 -1.02903722e-02 
 3.34774581e+01 -5.96425788e+00 -1.05276654e-02 
 3.42494392e+01 -5.96425788e+00 -1.07704305e-02 
 3.50392221e+01 -5.96425788e+00 -1.10187937e-02 
 3.58472171e+01 -5.96425788e+00 -1.12728841e-02 
 3.66738442e+01 -5.96425788e+00 -1.15328338e-02 
 3.75195331e+01 -5.96425788e+00 -1.17987778e-02 
 3.83847234e+01 -5.96425788e+00 -1.20708545e-02 
 3.92698648e+01 -5.96425788e+00 -1.23492051e-02 
 4.01754173e+01 -5.96425788e+00 -1.26339744e-02 
 4.11018515e+01 -5.96425788e+00 -1.29253105e-02 
 4.20496491e+01 -5.96425788e+00 -1.32233647e-02 
 4.30193027e+01 -5.96425788e+00 -1.35282919e-02 
 4.40113162e+01 -5.96425788e+00 -1.38402506e-02 
 4.50262052e+01 -5.96425788e+00 -1.41594031e-02 
 4.60644974e+01 -5.96425788e+00 -1.44859151e-02 
 4.71267322e+01 -5.96425788e+00 -1.48199564e-02 
 4.82134619e+01 -5.96425788e+00 -1.51617006e-02 
 4.93252513e+01 -5.96425788e+00 -1.55113253e-02 
 5.04626783e+01 -5.96425788e+00 -1.58690123e-02 
 5.16263340e+01 -5.96425788e+00 -1.62349474e-02 
 5.28168234e+01 -5.96425788e+00 -1.66093209e-02 
 5.40347650e+01 -5.96425788e+00 -1.69923274e-02 
 5.52807921e+01 -5.96425788e+00 -1.73841658e-02 
 5.65555523e+01 -5.96425788e+00 -1.77850400e-02 
 5.78597080e+01 -5.96425788e+00 -1.81951582e-02 
 5.91939372e+01 -5.96425788e+00 -1.86147337e-02 
 6.05589334e+01 -5.96425788e+00 -1.90439844e-02 
 6.19554061e+01 -5.96425788e+00 -1.94831335e-02 
 6.33840810e+01 -5.96425788e+00 -1.99324093e-02 
 6.48457008e+01 -5.96425788e+00 -2.03920453e-02 
 6.63410251e+01 -5.96425788e+00 -2.08622804e-02 
 6.78708313e+01 -5.96425788e+00 -2.13433589e-02 
 6.94359143e+01 -5.96425788e+00 -2.18355310e-02 
 7.10370877e+01 -5.96425788e+00 -2.23390525e-02 
 7.26751838e+01 -5.96425788e+00 -2.28541850e-02 
 7.43510539e+01 -5.96425788e+00 -2.33811964e-02 
 7.60655691e+01 -5.96425788e+00 -2.39203604e-02 
 7.78196206e+01 -5.96425788e+00 -2.44719575e-02 
 7.96141200e+01 -5.96425788e+00 -2.50362742e-02 
 8.14500001e+01 -5.96425788e+00 -2.56136040e-02 
 8.33282151e+01 -5.96425788e+00 -2.62042468e-02 
 8.52497412e+01 -5.96425788e+00 -2.68085096e-02 
 8.72155772e+01 -5.96425788e+00 -2.74267066e-02 
 8.92267449e+01 -5.96425788e+00 -2.80591591e-02 
 9.12842895e+01 -5.96425788e+00 -2.87061957e-02 
 9.33892805e+01 -5.96425788e+00 -2.93681529e-02 
 9.55428121e+01 -5.96425788e+00 -3.00453746e-02 
 9.77460036e+01 -5.96425788e+00 -3.07382128e-02 
 1.00000000e+02 -5.96425788e+00 -3.14470277e-02 
 1.02305973e+02 -5.96425788e+00 -3.21721877e-02 
 1.04665121e+02 -5.96425788e+00 -3.29140697e-02 
 1.07078670e+02 -5.96425788e+00 -3.36730593e-02 
 1.09547876e+02 -5.96425788e+00 -3.44495509e-02 
 1.12074020e+02 -5.96425788e+00 -3.52439483e-02 
 1.14658417e+02 -5.96425788e+00 -3.60566643e-02 
 1.17302409e+02 -5.96425788e+00 -3.68881212e-02 
 1.20007371e+02 -5.96425788e+00 -3.77387514e-02 
 1.22774708e+02 -5.96425788e+00 -3.86089968e-02 
 1.25605860e+02 -5.96425788e+00 -3.94993099e-02 
 1.28502297e+02 -5.96425787e+00 -4.04101534e-02 
 1.31465525e+02 -5.96425787e+00 -4.13420006e-02 
 1.34497085e+02 -5.96425787e+00 -4.22953360e-02 
 1.37598551e+02 -5.96425787e+00 -4.32706551e-02 
 1.40771537e+02 -5.96425787e+00 -4.42684648e-02 
 1.44017690e+02 -5.96425787e+00 -4.52892837e-02 
 1.47338699e+02 -5.96425787e+00 -4.63336424e-02 
 1.50736290e+02 -5.96425787e+00 -4.74020838e-02 
 1.54212228e+02 -5.96425787e+00 -4.84951631e-02 
 1.57768320e+02 -5.96425787e+00 -4.96134485e-02 
 1.61406415e+02 -5.96425787e+00 -5.07575213e-02 
 1.65128404e+02 -5.96425787e+00 -5.19279761e-02 
 1.68936220e+02 -5.96425787e+00 -5.31254214e-02 
 1.72831844e+02 -5.96425787e+00 -5.43504793e-02 
 1.76817299e+02 -5.96425787e+00 -5.56037868e-02 
 1.80894658e+02 -5.96425787e+00 -5.68859952e-02 
 1.85066040e+02 -5.96425787e+00 -5.81977710e-02 
 1.89333613e+02 -5.96425787e+00 -5.95397961e-02 
 1.93699595e+02 -5.96425787e+00 -6.09127678e-02 
 1.98166255e+02 -5.96425787e+00 -6.23174000e-02 
 2.02735916e+02 -5.96425787e+00 -6.37544225e-02 
 2.07410951e+02 -5.96425787e+00 -6.52245825e-02 
 2.12193792e+02 -5.96425787e+00 -6.67286439e-02 
 2.17086923e+02 -5.96425787e+00 -6.82673886e-02 
 2.22092889e+02 -5.96425787e+00 -6.98416164e-02 
 2.27214291e+02 -5.96425787e+00 -7.14521454e-02 
 2.32453791e+02 -5.96425787e+00 -7.30998129e-02 
 2.37814113e+02 -5.96425787e+00 -7.47854751e-02 
 2.43298042e+02 -5.96425787e+00 -7.65100082e-02 
 2.48908429e+02 -5.96425787e+00 -7.82743087e-02 
 2.54648190e+02 -5.96425787e+00 -8.00792934e-02 
 2.60520309e+02 -5.96425787e+00 -8.19259007e-02 
 2.66527837e+02 -5.96425786e+00 -8.38150902e-02 
 2.72673897e+02 -5.96425786e+00 -8.57478440e-02 
 2.78961683e+02 -5.96425786e+00 -8.77251665e-02 
 2.85394464e+02 -5.96425786e+00 -8.97480856e-02 
 2.91975583e+02 -5.96425786e+00 -9.18176528e-02 
 2.98708461e+02 -5.96425786e+00 -9.39349436e-02 
 3.05596598e+02 -5.96425786e+00 -9.61010586e-02 
 3.12643573e+02 -5.96425786e+00 -9.83171237e-02 
 3.19853049e+02 -5.96425786e+00 -1.00584291e-01 
 3.27228774e+02 -5.96425786e+00 -1.02903738e-01 
 3.34774581e+02 -5.96425786e+00 -1.05276671e-01 
 3.42494392e+02 -5.96425786e+00 -1.07704324e-01 
 3.50392221e+02 -5.96425785e+00 -1.10187957e-01 
 3.58472171e+02 -5.96425785e+00 -1.12728862e-01 
 3.66738442e+02 -5.96425785e+00 -1.15328361e-01 
 3.75195331e+02 -5.96425785e+00 -1.17987803e-01 
 3.83847234e+02 -5.96425785e+00 -1.20708571e-01 
 3.92698648e+02 -5.96425785e+00 -1.23492079e-01 
 4.01754173e+02 -5.96425785e+00 -1.26339774e-01 
 4.11018515e+02 -5.96425785e+00 -1.29253137e-01 
 4.20496491e+02 -5.96425784e+00 -1.32233681e-01 
 4.30193027e+02 -5.96425784e+00 -1.35282955e-01 
 4.40113162e+02 -5.96425784e+00 -1.38402545e-01 
 4.50262052e+02 -5.96425784e+00 -1.41594073e-01 
 4.60644974e+02 -5.96425784e+00 -1.44859196e-01 
 4.71267322e+02 -5.96425784e+00 -1.48199612e-01 
 4.82134619e+02 -5.96425783e+00 -1.51617057e-01 
 4.93252513e+02 -5.96425783e+00 -1.55113308e-01 
 5.04626783e+02 -5.96425783e+00 -1.58690182e-01 
 5.16263340e+02 -5.96425783e+00 -1.62349537e-01 
 5.28168234e+02 -5.96425783e+00 -1.66093277e-01 
 5.40347650e+02 -5.96425782e+00 -1.69923346e-01 
 5.52807921e+02 -5.96425782e+00 -1.73841736e-01 
 5.65555523e+02 -5.96425782e+00 -1.77850483e-01 
 5.78597080e+02 -5.96425781e+00 -1.81951671e-01 
 5.91939372e+02 -5.96425781e+00 -1.86147432e-01 
 6.05589334e+02 -5.96425781e+00 -1.90439946e-01 
 6.19554061e+02 -5.96425781e+00 -1.94831444e-01 
 6.33840810e+02 -5.96425780e+00 -1.99324210e-01 
 6.48457008e+02 -5.96425780e+00 -2.03920578e-01 
 6.63410251e+02 -5.96425779e+00 -2.08622938e-01 
 6.78708313e+02 -5.96425779e+00 -2.13433733e-01 
 6.94359143e+02 -5.96425779e+00 -2.18355464e-01 
 7.10370877e+02 -5.96425778e+00 -2.23390689e-01 
 7.26751838e+02 -5.96425778e+00 -2.28542026e-01 
 7.43510539e+02 -5.96425777e+00 -2.33812152e-01 
 7.60655691e+02 -5.96425777e+00 -2.39203806e-01 
 7.78196206e+02 -5.96425776e+00 -2.44719791e-01 
 7.96141200e+02 -5.96425776e+00 -2.50362974e-01 
 8.14500001e+02 -5.96425775e+00 -2.56136287e-01 
 8.33282151e+02 -5.96425775e+00 -2.62042733e-01 
 8.52497412e+02 -5.96425774e+00 -2.68085380e-01 
 8.72155772e+02 -5.96425773e+00 -2.74267370e-01 
 8.92267449e+02 -5.96425773e+00 -2.80591917e-01 
 9.12842895e+02 -5.96425772e+00 -2.87062306e-01 
 9.33892805e+02 -5.96425771e+00 -2.93681902e-01 
 9.55428121e+02 -5.96425771e+00 -3.00454145e-01 
 9.77460036e+02 -5.96425770e+00 -3.07382556e-01 
 1.00000000e+03 -5.96425769e+00 -3.14470735e-01 
 1.02305973e+03 -5.96425768e+00 -3.21722368e-01 
 1.04665121e+03 -5.96425767e+00 -3.29141222e-01 
 1.07078670e+03 -5.96425766e+00 -3.36731155e-01 
 1.09547876e+03 -5.96425765e+00 -3.44496112e-01 
 1.12074020e+03 -5.96425764e+00 -3.52440128e-01 
 1.14658417e+03 -5.96425763e+00 -3.60567333e-01 
 1.17302409e+03 -5.96425762e+00 -3.68881952e-01 
 1.20007371e+03 -5.96425761e+00 -3.77388306e-01 
 1.22774708e+03 -5.96425759e+00 -3.86090816e-01 
 1.25605860e+03 -5.96425758e+00 -3.94994007e-01 
 1.28502297e+03 -5.96425757e+00 -4.04102506e-01 
 1.31465525e+03 -5.96425755e+00 -4.13421048e-01 
 1.34497085e+03 -5.96425754e+00 -4.22954475e-01 
 1.37598551e+03 -5.96425752e+00 -4.32707745e-01 
 1.40771537e+03 -5.96425750e+00 -4.42685926e-01 
 1.44017690e+03 -5.96425749e+00 -4.52894206e-01 
 1.47338699e+03 -5.96425747e+00 -4.63337890e-01 
 1.50736290e+03 -5.96425745e+00 -4.74022407e-01 
 1.54212228e+03 -5.96425743e+00 -4.84953311e-01 
 1.57768320e+03 -5.96425741e+00 -4.96136285e-01 
 1.61406415e+03 -5.96425739e+00 -5.07577140e-01 
 1.65128404e+03 -5.96425736e+00 -5.19281825e-01 
 1.68936220e+03 -5.96425734e+00 -5.31256423e-01 
 1.72831844e+03 -5.96425731e+00 -5.43507159e-01 
 1.76817299e+03 -5.96425729e+00 -5.56040401e-01 
 1.80894658e+03 -5.96425726e+00 -5.68862665e-01 
 1.85066040e+03 -5.96425723e+00 -5.81980615e-01 
 1.89333613e+03 -5.96425720e+00 -5.95401071e-01 
 1.93699595e+03 -5.96425717e+00 -6.09131009e-01 
 1.98166255e+03 -5.96425714e+00 -6.23177566e-01 
 2.02735916e+03 -5.96425710e+00 -6.37548044e-01 
 2.07410951e+03 -5.96425707e+00 -6.52249914e-01 
 2.12193792e+03 -5.96425703e+00 -6.67290818e-01 
 2.17086923e+03 -5.96425699e+00 -6.82678575e-01 
 2.22092889e+03 -5.96425695e+00 -6.98421184e-01 
 2.27214291e+03 -5.96425691e+00 -7.14526830e-01 
 2.32453791e+03 -5.96425686e+00 -7.31003885e-01 
 2.37814113e+03 -5.96425681e+00 -7.47860915e-01 
 2.43298042e+03 -5.96425676e+00 -7.65106682e-01 
 2.48908429e+03 -5.96425671e+00 -7.82750154e-01 
 2.54648190e+03 -5.96425666e+00 -8.00800502e-01 
 2.60520309e+03 -5.96425660e+00 -8.19267110e-01 
 2.66527837e+03 -5.96425654e+00 -8.38159579e-01 
 2.72673897e+03 -5.96425648e+00 -8.57487731e-01 
 2.78961683e+03 -5.96425641e+00 -8.77261614e-01 
 2.85394464e+03 -5.96425635e+00 -8.97491509e-01 
 2.91975583e+03 -5.96425627e+00 -9.18187935e-01 
 2.98708461e+03 -5.96425620e+00 -9.39361650e-01 
 3.05596598e+03 -5.96425612e+00 -9.61023665e-01 
 3.12643573e+03 -5.96425604e+00 -9.83185242e-01 
 3.19853049e+03 -5.96425596e+00 -1.00585790e+00 
 3.27228774e+03 -5.96425587e+00 -1.02905344e+00 
 3.34774581e+03 -5.96425577e+00 -1.05278391e+00 
 3.42494392e+03 -5.96425568e+00 -1.07706165e+00 
 3.50392221e+03 -5.96425557e+00 -1.10189929e+00 
 3.58472171e+03 -5.96425547e+00 -1.12730974e+00 
 3.66738442e+03 -5.96425535e+00 -1.15330621e+00 
 3.75195331e+03 -5.96425524e+00 -1.17990223e+00 
 3.83847234e+03 -5.96425512e+00 -1.20711162e+00 
 3.92698648e+03 -5.96425499e+00 -1.23494854e+00 
 4.01754173e+03 -5.96425485e+00 -1.26342746e+00 
 4.11018515e+03 -5.96425471e+00 -1.29256319e+00 
 4.20496491e+03 -5.96425457e+00 -1.32237088e+00 
 4.30193027e+03 -5.96425441e+00 -1.35286604e+00 
 4.40113162e+03 -5.96425425e+00 -1.38406452e+00 
 4.50262052e+03 -5.96425409e+00 -1.41598256e+00 
 4.60644974e+03 -5.96425391e+00 -1.44863675e+00 
 4.71267322e+03 -5.96425373e+00 -1.48204409e+00 
 4.82134619e+03 -5.96425354e+00 -1.51622193e+00 
 4.93252513e+03 -5.96425334e+00 -1.55118808e+00 
 5.04626783e+03 -5.96425313e+00 -1.58696071e+00 
 5.16263340e+03 -5.96425291e+00 -1.62355843e+00 
 5.28168234e+03 -5.96425268e+00 -1.66100029e+00 
 5.40347650e+03 -5.96425244e+00 -1.69930577e+00 
 5.52807921e+03 -5.96425219e+00 -1.73849478e+00 
 5.65555523e+03 -5.96425193e+00 -1.77858774e+00 
 5.78597080e+03 -5.96425166e+00 -1.81960549e+00 
 5.91939372e+03 -5.96425137e+00 -1.86156938e+00 
 6.05589334e+03 -5.96425107e+00 -1.90450125e+00 
 6.19554061e+03 -5.96425076e+00 -1.94842344e+00 
 6.33840810e+03 -5.96425044e+00 -1.99335881e+00 
 6.48457008e+03 -5.96425010e+00 -2.03933076e+00 
 6.63410251e+03 -5.96424974e+00 -2.08636320e+00 
 6.78708313e+03 -5.96424937e+00 -2.13448062e+00 
 6.94359143e+03 -5.96424898e+00 -2.18370808e+00 
 7.10370877e+03 -5.96424858e+00 -2.23407119e+00 
 7.26751838e+03 -5.96424816e+00 -2.28559619e+00 
 7.43510539e+03 -5.96424771e+00 -2.33830991e+00 
 7.60655691e+03 -5.96424725e+00 -2.39223979e+00 
 7.78196206e+03 -5.96424677e+00 -2.44741392e+00 
 7.96141200e+03 -5.96424627e+00 -2.50386104e+00 
 8.14500001e+03 -5.96424575e+00 -2.56161055e+00 
 8.33282151e+03 -5.96424520e+00 -2.62069254e+00 
 8.52497412e+03 -5.96424463e+00 -2.68113779e+00 
 8.72155772e+03 -5.96424404e+00 -2.74297779e+00 
 8.92267449e+03 -5.96424342e+00 -2.80624478e+00 
 9.12842895e+03 -5.96424277e+00 -2.87097173e+00 
 9.33892805e+03 -5.96424209e+00 -2.93719238e+00 
 9.55428121e+03 -5.96424139e+00 -3.00494124e+00 
 9.77460036e+03 -5.96424066e+00 -3.07425365e+00 
 1.00000000e+04 -5.96423990e+00 -3.14516576e+00 
 1.02305973e+04 -5.96423910e+00 -3.21771454e+00 
 1.04665121e+04 -5.96423827e+00 -3.29193783e+00 
 1.07078670e+04 -5.96423741e+00 -3.36787438e+00 
 1.09547876e+04 -5.96423651e+00 -3.44556380e+00 
