 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e+00 -1.01297855e+01 -5.07263759e-04 
 1.02305973e+00 -1.01297855e+01 -5.18961125e-04 
 1.04665121e+00 -1.01297855e+01 -5.30928228e-04 
 1.07078670e+00 -1.01297855e+01 -5.43171289e-04 
 1.09547876e+00 -1.01297855e+01 -5.55696673e-04 
 1.12074020e+00 -1.01297855e+01 -5.68510888e-04 
 1.14658417e+00 -1.01297855e+01 -5.81620595e-04 
 1.17302409e+00 -1.01297855e+01 -5.95032609e-04 
 1.20007371e+00 -1.01297855e+01 -6.08753900e-04 
 1.22774708e+00 -1.01297855e+01 -6.22791601e-04 
 1.25605860e+00 -1.01297855e+01 -6.37153007e-04 
 1.28502297e+00 -1.01297855e+01 -6.51845583e-04 
 1.31465525e+00 -1.01297855e+01 -6.66876966e-04 
 1.34497085e+00 -1.01297855e+01 -6.82254969e-04 
 1.37598551e+00 -1.01297855e+01 -6.97987584e-04 
 1.40771537e+00 -1.01297855e+01 -7.14082989e-04 
 1.44017690e+00 -1.01297855e+01 -7.30549550e-04 
 1.47338699e+00 -1.01297855e+01 -7.47395825e-04 
 1.50736290e+00 -1.01297855e+01 -7.64630571e-04 
 1.54212228e+00 -1.01297855e+01 -7.82262745e-04 
 1.57768320e+00 -1.01297855e+01 -8.00301513e-04 
 1.61406415e+00 -1.01297855e+01 -8.18756250e-04 
 1.65128404e+00 -1.01297855e+01 -8.37636548e-04 
 1.68936220e+00 -1.01297855e+01 -8.56952220e-04 
 1.72831844e+00 -1.01297855e+01 -8.76713307e-04 
 1.76817299e+00 -1.01297855e+01 -8.96930079e-04 
 1.80894658e+00 -1.01297855e+01 -9.17613044e-04 
 1.85066040e+00 -1.01297855e+01 -9.38772953e-04 
 1.89333613e+00 -1.01297855e+01 -9.60420804e-04 
 1.93699595e+00 -1.01297855e+01 -9.82567848e-04 
 1.98166255e+00 -1.01297855e+01 -1.00522560e-03 
 2.02735916e+00 -1.01297855e+01 -1.02840583e-03 
 2.07410951e+00 -1.01297855e+01 -1.05212059e-03 
 2.12193792e+00 -1.01297855e+01 -1.07638220e-03 
 2.17086923e+00 -1.01297855e+01 -1.10120329e-03 
 2.22092889e+00 -1.01297855e+01 -1.12659674e-03 
 2.27214291e+00 -1.01297855e+01 -1.15257575e-03 
 2.32453791e+00 -1.01297855e+01 -1.17915384e-03 
 2.37814113e+00 -1.01297855e+01 -1.20634481e-03 
 2.43298042e+00 -1.01297855e+01 -1.23416279e-03 
 2.48908429e+00 -1.01297855e+01 -1.26262225e-03 
 2.54648190e+00 -1.01297855e+01 -1.29173798e-03 
 2.60520309e+00 -1.01297855e+01 -1.32152511e-03 
 2.66527837e+00 -1.01297855e+01 -1.35199912e-03 
 2.72673897e+00 -1.01297855e+01 -1.38317586e-03 
 2.78961683e+00 -1.01297855e+01 -1.41507152e-03 
 2.85394464e+00 -1.01297855e+01 -1.44770269e-03 
 2.91975583e+00 -1.01297855e+01 -1.48108632e-03 
 2.98708461e+00 -1.01297855e+01 -1.51523977e-03 
 3.05596598e+00 -1.01297855e+01 -1.55018079e-03 
 3.12643573e+00 -1.01297855e+01 -1.58592754e-03 
 3.19853049e+00 -1.01297855e+01 -1.62249860e-03 
 3.27228774e+00 -1.01297855e+01 -1.65991298e-03 
 3.34774581e+00 -1.01297855e+01 -1.69819013e-03 
 3.42494392e+00 -1.01297855e+01 -1.73734993e-03 
 3.50392221e+00 -1.01297855e+01 -1.77741275e-03 
 3.58472171e+00 -1.01297855e+01 -1.81839941e-03 
 3.66738442e+00 -1.01297855e+01 -1.86033121e-03 
 3.75195331e+00 -1.01297855e+01 -1.90322994e-03 
 3.83847234e+00 -1.01297855e+01 -1.94711791e-03 
 3.92698648e+00 -1.01297855e+01 -1.99201792e-03 
 4.01754173e+00 -1.01297855e+01 -2.03795332e-03 
 4.11018515e+00 -1.01297855e+01 -2.08494797e-03 
 4.20496491e+00 -1.01297855e+01 -2.13302631e-03 
 4.30193027e+00 -1.01297855e+01 -2.18221332e-03 
 4.40113162e+00 -1.01297855e+01 -2.23253457e-03 
 4.50262052e+00 -1.01297855e+01 -2.28401621e-03 
 4.60644974e+00 -1.01297855e+01 -2.33668501e-03 
 4.71267322e+00 -1.01297855e+01 -2.39056834e-03 
 4.82134619e+00 -1.01297855e+01 -2.44569420e-03 
 4.93252513e+00 -1.01297855e+01 -2.50209124e-03 
 5.04626783e+00 -1.01297855e+01 -2.55978879e-03 
 5.16263340e+00 -1.01297855e+01 -2.61881683e-03 
 5.28168234e+00 -1.01297855e+01 -2.67920604e-03 
 5.40347650e+00 -1.01297855e+01 -2.74098780e-03 
 5.52807921e+00 -1.01297855e+01 -2.80419424e-03 
 5.65555523e+00 -1.01297855e+01 -2.86885820e-03 
 5.78597080e+00 -1.01297855e+01 -2.93501330e-03 
 5.91939372e+00 -1.01297855e+01 -3.00269391e-03 
 6.05589334e+00 -1.01297855e+01 -3.07193522e-03 
 6.19554061e+00 -1.01297855e+01 -3.14277322e-03 
 6.33840810e+00 -1.01297855e+01 -3.21524472e-03 
 6.48457008e+00 -1.01297855e+01 -3.28938740e-03 
 6.63410251e+00 -1.01297855e+01 -3.36523978e-03 
 6.78708313e+00 -1.01297855e+01 -3.44284130e-03 
 6.94359143e+00 -1.01297855e+01 -3.52223229e-03 
 7.10370877e+00 -1.01297855e+01 -3.60345402e-03 
 7.26751838e+00 -1.01297855e+01 -3.68654869e-03 
 7.43510539e+00 -1.01297855e+01 -3.77155951e-03 
 7.60655691e+00 -1.01297855e+01 -3.85853065e-03 
 7.78196206e+00 -1.01297855e+01 -3.94750733e-03 
 7.96141200e+00 -1.01297855e+01 -4.03853578e-03 
 8.14500001e+00 -1.01297855e+01 -4.13166332e-03 
 8.33282151e+00 -1.01297855e+01 -4.22693836e-03 
 8.52497412e+00 -1.01297855e+01 -4.32441042e-03 
 8.72155772e+00 -1.01297855e+01 -4.42413016e-03 
 8.92267449e+00 -1.01297855e+01 -4.52614940e-03 
 9.12842895e+00 -1.01297855e+01 -4.63052118e-03 
 9.33892805e+00 -1.01297855e+01 -4.73729975e-03 
 9.55428121e+00 -1.01297855e+01 -4.84654060e-03 
 9.77460036e+00 -1.01297855e+01 -4.95830052e-03 
 1.00000000e+01 -1.01297855e+01 -5.07263759e-03 
 1.02305973e+01 -1.01297855e+01 -5.18961124e-03 
 1.04665121e+01 -1.01297855e+01 -5.30928228e-03 
 1.07078670e+01 -1.01297855e+01 -5.43171289e-03 
 1.09547876e+01 -1.01297855e+01 -5.55696672e-03 
 1.12074020e+01 -1.01297855e+01 -5.68510888e-03 
 1.14658417e+01 -1.01297855e+01 -5.81620595e-03 
 1.17302409e+01 -1.01297855e+01 -5.95032609e-03 
 1.20007371e+01 -1.01297855e+01 -6.08753900e-03 
 1.22774708e+01 -1.01297855e+01 -6.22791600e-03 
 1.25605860e+01 -1.01297855e+01 -6.37153007e-03 
 1.28502297e+01 -1.01297855e+01 -6.51845583e-03 
 1.31465525e+01 -1.01297855e+01 -6.66876966e-03 
 1.34497085e+01 -1.01297855e+01 -6.82254968e-03 
 1.37598551e+01 -1.01297855e+01 -6.97987584e-03 
 1.40771537e+01 -1.01297855e+01 -7.14082989e-03 
 1.44017690e+01 -1.01297855e+01 -7.30549549e-03 
 1.47338699e+01 -1.01297855e+01 -7.47395825e-03 
