 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e+00 -2.68537498e-01 -2.59240307e-04 
 1.02305973e+00 -2.68537498e-01 -2.65218319e-04 
 1.04665121e+00 -2.68537498e-01 -2.71334181e-04 
 1.07078670e+00 -2.68537498e-01 -2.77591074e-04 
 1.09547876e+00 -2.68537498e-01 -2.83992250e-04 
 1.12074020e+00 -2.68537498e-01 -2.90541034e-04 
 1.14658417e+00 -2.68537498e-01 -2.97240832e-04 
 1.17302409e+00 -2.68537498e-01 -3.04095125e-04 
 1.20007371e+00 -2.68537498e-01 -3.11107477e-04 
 1.22774708e+00 -2.68537498e-01 -3.18281531e-04 
 1.25605860e+00 -2.68537498e-01 -3.25621017e-04 
 1.28502297e+00 -2.68537498e-01 -3.33129750e-04 
 1.31465525e+00 -2.68537498e-01 -3.40811632e-04 
 1.34497085e+00 -2.68537498e-01 -3.48670656e-04 
 1.37598551e+00 -2.68537498e-01 -3.56710907e-04 
 1.40771537e+00 -2.68537498e-01 -3.64936564e-04 
 1.44017690e+00 -2.68537498e-01 -3.73351903e-04 
 1.47338699e+00 -2.68537498e-01 -3.81961297e-04 
 1.50736290e+00 -2.68537498e-01 -3.90769221e-04 
 1.54212228e+00 -2.68537498e-01 -3.99780254e-04 
 1.57768320e+00 -2.68537498e-01 -4.08999078e-04 
 1.61406415e+00 -2.68537498e-01 -4.18430487e-04 
 1.65128404e+00 -2.68537498e-01 -4.28079381e-04 
 1.68936220e+00 -2.68537498e-01 -4.37950776e-04 
 1.72831844e+00 -2.68537498e-01 -4.48049802e-04 
 1.76817299e+00 -2.68537498e-01 -4.58381710e-04 
 1.80894658e+00 -2.68537498e-01 -4.68951868e-04 
 1.85066040e+00 -2.68537498e-01 -4.79765771e-04 
 1.89333613e+00 -2.68537498e-01 -4.90829040e-04 
 1.93699595e+00 -2.68537498e-01 -5.02147425e-04 
 1.98166255e+00 -2.68537498e-01 -5.13726809e-04 
 2.02735916e+00 -2.68537498e-01 -5.25573211e-04 
 2.07410951e+00 -2.68537498e-01 -5.37692787e-04 
 2.12193792e+00 -2.68537498e-01 -5.50091838e-04 
 2.17086923e+00 -2.68537498e-01 -5.62776807e-04 
 2.22092889e+00 -2.68537498e-01 -5.75754288e-04 
 2.27214291e+00 -2.68537498e-01 -5.89031026e-04 
 2.32453791e+00 -2.68537498e-01 -6.02613922e-04 
 2.37814113e+00 -2.68537498e-01 -6.16510037e-04 
 2.43298042e+00 -2.68537498e-01 -6.30726592e-04 
 2.48908429e+00 -2.68537498e-01 -6.45270976e-04 
 2.54648190e+00 -2.68537498e-01 -6.60150751e-04 
 2.60520309e+00 -2.68537498e-01 -6.75373649e-04 
 2.66527837e+00 -2.68537498e-01 -6.90947583e-04 
 2.72673897e+00 -2.68537498e-01 -7.06880647e-04 
 2.78961683e+00 -2.68537498e-01 -7.23181124e-04 
 2.85394464e+00 -2.68537498e-01 -7.39857485e-04 
 2.91975583e+00 -2.68537498e-01 -7.56918399e-04 
