 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.00000000e+00  3.48692781e-05  3.38077355e-05 
 1.02305973e+00  3.43959910e-05  3.33488568e-05 
 1.04665121e+00  3.39291322e-05  3.28962108e-05 
 1.07078670e+00  3.34686144e-05  3.24497129e-05 
 1.09547876e+00  3.30143516e-05  3.20092794e-05 
 1.12074020e+00  3.25662588e-05  3.15748281e-05 
 1.14658417e+00  3.21242521e-05  3.11462777e-05 
 1.17302409e+00  3.16882490e-05  3.07235480e-05 
 1.20007371e+00  3.12581679e-05  3.03065601e-05 
 1.22774708e+00  3.08339284e-05  2.98952359e-05 
 1.25605860e+00  3.04154511e-05  2.94894985e-05 
 1.28502297e+00  3.00026578e-05  2.90892721e-05 
 1.31465525e+00  2.95954713e-05  2.86944817e-05 
 1.34497085e+00  2.91938154e-05  2.83050536e-05 
 1.37598551e+00  2.87976150e-05  2.79209150e-05 
 1.40771537e+00  2.84067961e-05  2.75419940e-05 
 1.44017690e+00  2.80212856e-05  2.71682198e-05 
 1.47338699e+00  2.76410113e-05  2.67995224e-05 
 1.50736290e+00  2.72659022e-05  2.64358329e-05 
 1.54212228e+00  2.68958881e-05  2.60770833e-05 
 1.57768320e+00  2.65308999e-05  2.57232066e-05 
 1.61406415e+00  2.61708692e-05  2.53741365e-05 
 1.65128404e+00  2.58157288e-05  2.50298078e-05 
 1.68936220e+00  2.54654122e-05  2.46901561e-05 
 1.72831844e+00  2.51198540e-05  2.43551179e-05 
 1.76817299e+00  2.47789895e-05  2.40246305e-05 
 1.80894658e+00  2.44427550e-05  2.36986321e-05 
 1.85066040e+00  2.41110875e-05  2.33770618e-05 
 1.89333613e+00  2.37839252e-05  2.30598595e-05 
 1.93699595e+00  2.34612068e-05  2.27469657e-05 
 1.98166255e+00  2.31428720e-05  2.24383221e-05 
 2.02735916e+00  2.28288613e-05  2.21338710e-05 
 2.07410951e+00  2.25191158e-05  2.18335553e-05 
 2.12193792e+00  2.22135778e-05  2.15373189e-05 
 2.17086923e+00  2.19121901e-05  2.12451065e-05 
 2.22092889e+00  2.16148963e-05  2.09568634e-05 
 2.27214291e+00  2.13216409e-05  2.06725357e-05 
 2.32453791e+00  2.10323690e-05  2.03920702e-05 
 2.37814113e+00  2.07470265e-05  2.01154146e-05 
 2.43298042e+00  2.04655601e-05  1.98425170e-05 
 2.48908429e+00  2.01879171e-05  1.95733264e-05 
 2.54648190e+00  1.99140457e-05  1.93077926e-05 
 2.60520309e+00  1.96438946e-05  1.90458658e-05 
 2.66527837e+00  1.93774133e-05  1.87874972e-05 
 2.72673897e+00  1.91145520e-05  1.85326383e-05 
 2.78961683e+00  1.88552616e-05  1.82812416e-05 
 2.85394464e+00  1.85994935e-05  1.80332599e-05 
 2.91975583e+00  1.83472000e-05  1.77886471e-05 
 2.98708461e+00  1.80983338e-05  1.75473573e-05 
 3.05596598e+00  1.78528485e-05  1.73093454e-05 
 3.12643573e+00  1.76106981e-05  1.70745669e-05 
 3.19853049e+00  1.73718374e-05  1.68429780e-05 
 3.27228774e+00  1.71362217e-05  1.66145352e-05 
 3.34774581e+00  1.69038069e-05  1.63891960e-05 
 3.42494392e+00  1.66745497e-05  1.61669182e-05 
 3.50392221e+00  1.64484071e-05  1.59476601e-05 
 3.58472171e+00  1.62253369e-05  1.57313810e-05 
 3.66738442e+00  1.60052973e-05  1.55180402e-05 
 3.75195331e+00  1.57882473e-05  1.53075979e-05 
 3.83847234e+00  1.55741462e-05  1.51000148e-05 
 3.92698648e+00  1.53629540e-05  1.48952520e-05 
 4.01754173e+00  1.51546313e-05  1.46932714e-05 
 4.11018515e+00  1.49491390e-05  1.44940350e-05 
 4.20496491e+00  1.47464388e-05  1.42975057e-05 
 4.30193027e+00  1.45464928e-05  1.41036468e-05 
 4.40113162e+00  1.43492636e-05  1.39124219e-05 
 4.50262052e+00  1.41547143e-05  1.37237953e-05 
 4.60644974e+00  1.39628085e-05  1.35377319e-05 
 4.71267322e+00  1.37735104e-05  1.33541967e-05 
 4.82134619e+00  1.35867847e-05  1.31731555e-05 
 4.93252513e+00  1.34025962e-05  1.29945744e-05 
 5.04626783e+00  1.32209108e-05  1.28184201e-05 
 5.16263340e+00  1.30416943e-05  1.26446595e-05 
 5.28168234e+00  1.28649133e-05  1.24732604e-05 
 5.40347650e+00  1.26905347e-05  1.23041905e-05 
 5.52807921e+00  1.25185259e-05  1.21374183e-05 
 5.65555523e+00  1.23488549e-05  1.19729126e-05 
 5.78597080e+00  1.21814897e-05  1.18106426e-05 
 5.91939372e+00  1.20163993e-05  1.16505781e-05 
 6.05589334e+00  1.18535527e-05  1.14926891e-05 
 6.19554061e+00  1.16929194e-05  1.13369461e-05 
 6.33840810e+00  1.15344695e-05  1.11833200e-05 
 6.48457008e+00  1.13781733e-05  1.10317820e-05 
 6.63410251e+00  1.12240017e-05  1.08823038e-05 
 6.78708313e+00  1.10719257e-05  1.07348576e-05 
 6.94359143e+00  1.09219169e-05  1.05894156e-05 
 7.10370877e+00  1.07739474e-05  1.04459508e-05 
 7.26751838e+00  1.06279895e-05  1.03044364e-05 
 7.43510539e+00  1.04840158e-05  1.01648458e-05 
 7.60655691e+00  1.03419995e-05  1.00271529e-05 
 7.78196206e+00  1.02019141e-05  9.89133216e-06 
 7.96141200e+00  1.00637332e-05  9.75735804e-06 
 8.14500001e+00  9.92743121e-06  9.62520552e-06 
 8.33282151e+00  9.79298252e-06  9.49484992e-06 
 8.52497412e+00  9.66036204e-06  9.36626687e-06 
 8.72155772e+00  9.52954497e-06  9.23943233e-06 
 8.92267449e+00  9.40050686e-06  9.11432259e-06 
 9.12842895e+00  9.27322359e-06  8.99091427e-06 
 9.33892805e+00  9.14767138e-06  8.86918431e-06 
 9.55428121e+00  9.02382676e-06  8.74910995e-06 
 9.77460036e+00  8.90166658e-06  8.63066875e-06 
 1.00000000e+01  8.78116800e-06  8.51383857e-06 
 1.02305973e+01  8.66230851e-06  8.39859758e-06 
 1.04665121e+01  8.54506590e-06  8.28492424e-06 
 1.07078670e+01  8.42941824e-06  8.17279730e-06 
 1.09547876e+01  8.31534392e-06  8.06219580e-06 
 1.12074020e+01  8.20282163e-06  7.95309908e-06 
 1.14658417e+01  8.09183033e-06  7.84548674e-06 
 1.17302409e+01  7.98234928e-06  7.73933868e-06 
 1.20007371e+01  7.87435802e-06  7.63463505e-06 
 1.22774708e+01  7.76783636e-06  7.53135628e-06 
 1.25605860e+01  7.66276440e-06  7.42948308e-06 
 1.28502297e+01  7.55912250e-06  7.32899641e-06 
 1.31465525e+01  7.45689130e-06  7.22987748e-06 
 1.34497085e+01  7.35605168e-06  7.13210777e-06 
 1.37598551e+01  7.25658480e-06  7.03566901e-06 
 1.40771537e+01  7.15847207e-06  6.94054317e-06 
 1.44017690e+01  7.06169516e-06  6.84671249e-06 
 1.47338699e+01  6.96623597e-06  6.75415941e-06 
 1.50736290e+01  6.87207668e-06  6.66286666e-06 
 1.54212228e+01  6.77919968e-06  6.57281716e-06 
 1.57768320e+01  6.68758762e-06  6.48399409e-06 
 1.61406415e+01  6.59722338e-06  6.39638086e-06 
 1.65128404e+01  6.50809007e-06  6.30996107e-06 
 1.68936220e+01  6.42017103e-06  6.22471860e-06 
 1.72831844e+01  6.33344984e-06  6.14063750e-06 
 1.76817299e+01  6.24791029e-06  6.05770207e-06 
 1.80894658e+01  6.16353639e-06  5.97589681e-06 
