 freq            v(vout_spec_db)
 4.16667667e+04 -7.75579950e+01 
 8.33335333e+04 -6.03975294e+00 
 1.25000300e+05  2.23227498e-08 
 1.66667067e+05 -5.98189827e+00 
 2.08333833e+05 -6.41538145e+01 
 2.50000600e+05 -7.48537547e+01 
 2.91667367e+05 -8.13233835e+01 
 3.33334133e+05 -3.27146662e+01 
 3.75000900e+05 -2.66083352e+01 
 4.16667667e+05 -3.25379472e+01 
 4.58334433e+05 -8.25986197e+01 
 5.00001200e+05 -9.29623627e+01 
 5.41667967e+05 -9.55562799e+01 
 5.83334733e+05 -4.61757765e+01 
 6.25001500e+05 -4.00089427e+01 
 6.66668267e+05 -4.58842598e+01 
 7.08335033e+05 -9.17790608e+01 
 7.50001800e+05 -1.02094629e+02 
 7.91668567e+05 -9.90984765e+01 
 8.33335333e+05 -6.08387084e+01 
 8.75002100e+05 -5.46710478e+01 
 9.16668867e+05 -6.04465528e+01 
 9.58335633e+05 -1.08403246e+02 
 1.00000240e+06 -1.26033418e+02 
 1.04166917e+06 -1.10397274e+02 
 1.08333593e+06 -7.73275070e+01 
 1.12500270e+06 -7.11881224e+01 
 1.16666947e+06 -7.68252275e+01 
 1.20833623e+06 -1.26623916e+02 
 1.25000300e+06 -1.45381381e+02 
 1.29166977e+06 -1.23951297e+02 
