 frequency       v(Amag_dB)      v(Aarg)        
 1.00000000e+00 -6.28913741e+00 -2.58849172e-04 
 1.02305973e+00 -6.28913741e+00 -2.64818164e-04 
 1.04665121e+00 -6.28913741e+00 -2.70924799e-04 
 1.07078670e+00 -6.28913741e+00 -2.77172252e-04 
 1.09547876e+00 -6.28913741e+00 -2.83563769e-04 
 1.12074020e+00 -6.28913741e+00 -2.90102673e-04 
 1.14658417e+00 -6.28913741e+00 -2.96792363e-04 
 1.17302409e+00 -6.28913741e+00 -3.03636314e-04 
 1.20007371e+00 -6.28913741e+00 -3.10638086e-04 
 1.22774708e+00 -6.28913741e+00 -3.17801316e-04 
 1.25605860e+00 -6.28913741e+00 -3.25129728e-04 
 1.28502297e+00 -6.28913741e+00 -3.32627132e-04 
 1.31465525e+00 -6.28913741e+00 -3.40297424e-04 
 1.34497085e+00 -6.28913741e+00 -3.48144591e-04 
 1.37598551e+00 -6.28913741e+00 -3.56172711e-04 
 1.40771537e+00 -6.28913741e+00 -3.64385957e-04 
 1.44017690e+00 -6.28913741e+00 -3.72788599e-04 
 1.47338699e+00 -6.28913741e+00 -3.81385003e-04 
 1.50736290e+00 -6.28913741e+00 -3.90179639e-04 
 1.54212228e+00 -6.28913741e+00 -3.99177076e-04 
 1.57768320e+00 -6.28913741e+00 -4.08381991e-04 
 1.61406415e+00 -6.28913741e+00 -4.17799170e-04 
 1.65128404e+00 -6.28913741e+00 -4.27433506e-04 
 1.68936220e+00 -6.28913741e+00 -4.37290007e-04 
 1.72831844e+00 -6.28913741e+00 -4.47373796e-04 
 1.76817299e+00 -6.28913741e+00 -4.57690115e-04 
 1.80894658e+00 -6.28913741e+00 -4.68244325e-04 
 1.85066040e+00 -6.28913741e+00 -4.79041913e-04 
 1.89333613e+00 -6.28913741e+00 -4.90088490e-04 
 1.93699595e+00 -6.28913741e+00 -5.01389798e-04 
 1.98166255e+00 -6.28913741e+00 -5.12951712e-04 
 2.02735916e+00 -6.28913741e+00 -5.24780239e-04 
 2.07410951e+00 -6.28913741e+00 -5.36881530e-04 
 2.12193792e+00 -6.28913741e+00 -5.49261873e-04 
 2.17086923e+00 -6.28913741e+00 -5.61927703e-04 
 2.22092889e+00 -6.28913741e+00 -5.74885605e-04 
 2.27214291e+00 -6.28913741e+00 -5.88142311e-04 
 2.32453791e+00 -6.28913741e+00 -6.01704714e-04 
 2.37814113e+00 -6.28913741e+00 -6.15579862e-04 
 2.43298042e+00 -6.28913741e+00 -6.29774968e-04 
 2.48908429e+00 -6.28913741e+00 -6.44297408e-04 
 2.54648190e+00 -6.28913741e+00 -6.59154732e-04 
 2.60520309e+00 -6.28913741e+00 -6.74354662e-04 
 2.66527837e+00 -6.28913741e+00 -6.89905099e-04 
 2.72673897e+00 -6.28913741e+00 -7.05814124e-04 
 2.78961683e+00 -6.28913741e+00 -7.22090007e-04 
 2.85394464e+00 -6.28913741e+00 -7.38741207e-04 
 2.91975583e+00 -6.28913741e+00 -7.55776380e-04 
 2.98708461e+00 -6.28913741e+00 -7.73204379e-04 
 3.05596598e+00 -6.28913741e+00 -7.91034263e-04 
 3.12643573e+00 -6.28913741e+00 -8.09275300e-04 
 3.19853049e+00 -6.28913741e+00 -8.27936969e-04 
 3.27228774e+00 -6.28913741e+00 -8.47028972e-04 
 3.34774581e+00 -6.28913741e+00 -8.66561232e-04 
 3.42494392e+00 -6.28913741e+00 -8.86543899e-04 
 3.50392221e+00 -6.28913741e+00 -9.06987362e-04 
 3.58472171e+00 -6.28913741e+00 -9.27902246e-04 
 3.66738442e+00 -6.28913741e+00 -9.49299421e-04 
 3.75195331e+00 -6.28913741e+00 -9.71190009e-04 
 3.83847234e+00 -6.28913741e+00 -9.93585388e-04 
 3.92698648e+00 -6.28913741e+00 -1.01649720e-03 
 4.01754173e+00 -6.28913741e+00 -1.03993735e-03 
 4.11018515e+00 -6.28913741e+00 -1.06391802e-03 
 4.20496491e+00 -6.28913741e+00 -1.08845169e-03 
 4.30193027e+00 -6.28913741e+00 -1.11355109e-03 
 4.40113162e+00 -6.28913741e+00 -1.13922928e-03 
