 frequency       v(Amag_dB)      v(Aarg)        
 9.80000000e+06 -1.81391028e+01 -1.34281648e+02 
 9.80225657e+06 -1.77555633e+01 -1.35452268e+02 
 9.80451365e+06 -1.73654212e+01 -1.36684906e+02 
 9.80677126e+06 -1.69686550e+01 -1.37984184e+02 
 9.80902939e+06 -1.65652812e+01 -1.39355111e+02 
 9.81128803e+06 -1.61553640e+01 -1.40803109e+02 
 9.81354720e+06 -1.57390265e+01 -1.42334031e+02 
 9.81580689e+06 -1.53164637e+01 -1.43954176e+02 
 9.81806710e+06 -1.48879581e+01 -1.45670300e+02 
 9.82032782e+06 -1.44538978e+01 -1.47489603e+02 
 9.82258907e+06 -1.40147970e+01 -1.49419709e+02 
 9.82485084e+06 -1.35713200e+01 -1.51468619e+02 
 9.82711313e+06 -1.31243069e+01 -1.53644626e+02 
 9.82937594e+06 -1.26748020e+01 -1.55956193e+02 
 9.83163927e+06 -1.22240827e+01 -1.58411775e+02 
 9.83390313e+06 -1.17736885e+01 -1.61019575e+02 
 9.83616750e+06 -1.13254457e+01 -1.63787223e+02 
 9.83843240e+06 -1.08814857e+01 -1.66721373e+02 
 9.84069781e+06 -1.04442518e+01 -1.69827210e+02 
 9.84296375e+06 -1.00164878e+01 -1.73107878e+02 
 9.84523021e+06 -9.60120273e+00 -1.76563855e+02 
 9.84749719e+06 -9.20160545e+00 -1.80192322e+02 
 9.84976470e+06 -8.82100473e+00 -1.83986582e+02 
 9.85203272e+06 -8.46267397e+00 -1.87935624e+02 
 9.85430127e+06 -8.12968578e+00 -1.92023939e+02 
 9.85657034e+06 -7.82472791e+00 -1.96231656e+02 
 9.85883994e+06 -7.54991934e+00 -2.00535081e+02 
 9.86111005e+06 -7.30664942e+00 -2.04907638e+02 
 9.86338069e+06 -7.09546365e+00 -2.09321148e+02 
 9.86565185e+06 -6.91601439e+00 -2.13747319e+02 
 9.86792354e+06 -6.76708506e+00 -2.18159284e+02 
 9.87019575e+06 -6.64668427e+00 -2.22532984e+02 
 9.87246848e+06 -6.55219531e+00 -2.26848267e+02 
 9.87474173e+06 -6.48055900e+00 -2.31089598e+02 
 9.87701551e+06 -6.42846645e+00 -2.35246374e+02 
 9.87928981e+06 -6.39254091e+00 -2.39312865e+02 
 9.88156464e+06 -6.36949448e+00 -2.43287882e+02 
 9.88383998e+06 -6.35625212e+00 -2.47174257e+02 
 9.88611586e+06 -6.35004190e+00 -2.50978234e+02 
 9.88839225e+06 -6.34845492e+00 -2.54708837e+02 
 9.89066917e+06 -6.34948062e+00 -2.58377267e+02 
 9.89294662e+06 -6.35152427e+00 -2.61996368e+02 
 9.89522459e+06 -6.35341291e+00 -2.65580150e+02 
 9.89750308e+06 -6.35439516e+00 -2.69143384e+02 
 9.89978210e+06 -6.35413877e+00 -2.72701242e+02 
 9.90206165e+06 -6.35272852e+00 -2.76268971e+02 
 9.90434171e+06 -6.35066557e+00 -2.79861573e+02 
 9.90662231e+06 -6.34886801e+00 -2.83493469e+02 
 9.90890343e+06 -6.34867083e+00 -2.87178128e+02 
 9.91118507e+06 -6.35182230e+00 -2.90927647e+02 
 9.91346724e+06 -6.36047240e+00 -2.94752261e+02 
 9.91574993e+06 -6.37714748e+00 -2.98659791e+02 
 9.91803315e+06 -6.40470508e+00 -3.02655056e+02 
 9.92031690e+06 -6.44626253e+00 -3.06739261e+02 
 9.92260117e+06 -6.50509481e+00 -3.10909444e+02 
 9.92488597e+06 -6.58449993e+00 -3.15158042e+02 
 9.92717129e+06 -6.68763565e+00 -3.19472687e+02 
 9.92945714e+06 -6.81733718e+00 -3.23836289e+02 
 9.93174352e+06 -6.97593266e+00 -3.28227511e+02 
 9.93403042e+06 -7.16507738e+00 -3.32621613e+02 
 9.93631785e+06 -7.38562942e+00 -3.36991641e+02 
 9.93860581e+06 -7.63758494e+00 -3.41309844e+02 
 9.94089429e+06 -7.92008334e+00 -3.45549159e+02 
 9.94318330e+06 -8.23148077e+00 -3.49684585e+02 
 9.94547284e+06 -8.56947994e+00 -3.53694309e+02 
 9.94776291e+06 -8.93129629e+00 -3.57560463e+02 
 9.95005350e+06 -9.31383777e+00 -3.61269504e+02 
 9.95234462e+06 -9.71387749e+00 -3.64812219e+02 
 9.95463626e+06 -1.01282038e+01 -3.68183456e+02 
 9.95692844e+06 -1.05537391e+01 -3.71381640e+02 
 9.95922114e+06 -1.09876245e+01 -3.74408195e+02 
 9.96151437e+06 -1.14272727e+01 -3.77266927e+02 
 9.96380813e+06 -1.18703939e+01 -3.79963432e+02 
 9.96610241e+06 -1.23150001e+01 -3.82504577e+02 
 9.96839723e+06 -1.27593951e+01 -3.84898043e+02 
 9.97069257e+06 -1.32021543e+01 -3.87151965e+02 
 9.97298844e+06 -1.36420994e+01 -3.89274644e+02 
 9.97528484e+06 -1.40782702e+01 -3.91274335e+02 
 9.97758177e+06 -1.45098969e+01 -3.93159088e+02 
 9.97987923e+06 -1.49363733e+01 -3.94936640e+02 
 9.98217722e+06 -1.53572322e+01 -3.96614353e+02 
 9.98447573e+06 -1.57721237e+01 -3.98199164e+02 
 9.98677478e+06 -1.61807955e+01 -3.99697576e+02 
 9.98907435e+06 -1.65830764e+01 -4.01115651e+02 
 9.99137446e+06 -1.69788619e+01 -4.02459017e+02 
 9.99367509e+06 -1.73681015e+01 -4.03732888e+02 
 9.99597625e+06 -1.77507892e+01 -4.04942085e+02 
 9.99827795e+06 -1.81269544e+01 -4.06091055e+02 
 1.00005802e+07 -1.84966545e+01 -4.07183898e+02 
 1.00028829e+07 -1.88599695e+01 -4.08224393e+02 
 1.00051862e+07 -1.92169965e+01 -4.09216022e+02 
 1.00074900e+07 -1.95678459e+01 -4.10161992e+02 
 1.00097944e+07 -1.99126382e+01 -4.11065258e+02 
