 frequency       v(PSRR_dB)     
 1.00000000e-01  2.50010485e+01 
 1.02305973e-01  2.50010485e+01 
 1.04665121e-01  2.50010485e+01 
 1.07078670e-01  2.50010485e+01 
 1.09547876e-01  2.50010485e+01 
 1.12074020e-01  2.50010485e+01 
 1.14658417e-01  2.50010485e+01 
 1.17302409e-01  2.50010485e+01 
 1.20007371e-01  2.50010485e+01 
 1.22774708e-01  2.50010485e+01 
 1.25605860e-01  2.50010485e+01 
 1.28502297e-01  2.50010485e+01 
 1.31465525e-01  2.50010485e+01 
 1.34497085e-01  2.50010485e+01 
 1.37598551e-01  2.50010485e+01 
 1.40771537e-01  2.50010485e+01 
 1.44017690e-01  2.50010485e+01 
 1.47338699e-01  2.50010485e+01 
 1.50736290e-01  2.50010485e+01 
 1.54212228e-01  2.50010485e+01 
 1.57768320e-01  2.50010485e+01 
 1.61406415e-01  2.50010485e+01 
 1.65128404e-01  2.50010485e+01 
 1.68936220e-01  2.50010485e+01 
 1.72831844e-01  2.50010485e+01 
 1.76817299e-01  2.50010485e+01 
 1.80894658e-01  2.50010485e+01 
 1.85066040e-01  2.50010485e+01 
 1.89333613e-01  2.50010485e+01 
 1.93699595e-01  2.50010485e+01 
 1.98166255e-01  2.50010485e+01 
 2.02735916e-01  2.50010485e+01 
 2.07410951e-01  2.50010485e+01 
 2.12193792e-01  2.50010485e+01 
 2.17086923e-01  2.50010485e+01 
 2.22092889e-01  2.50010485e+01 
 2.27214291e-01  2.50010485e+01 
 2.32453791e-01  2.50010485e+01 
 2.37814113e-01  2.50010485e+01 
 2.43298042e-01  2.50010485e+01 
 2.48908429e-01  2.50010485e+01 
 2.54648190e-01  2.50010485e+01 
 2.60520309e-01  2.50010485e+01 
 2.66527837e-01  2.50010485e+01 
 2.72673897e-01  2.50010485e+01 
 2.78961683e-01  2.50010485e+01 
 2.85394464e-01  2.50010485e+01 
 2.91975583e-01  2.50010485e+01 
 2.98708461e-01  2.50010485e+01 
 3.05596598e-01  2.50010485e+01 
 3.12643573e-01  2.50010485e+01 
 3.19853049e-01  2.50010485e+01 
 3.27228774e-01  2.50010485e+01 
 3.34774581e-01  2.50010485e+01 
 3.42494392e-01  2.50010485e+01 
 3.50392221e-01  2.50010485e+01 
 3.58472171e-01  2.50010485e+01 
 3.66738442e-01  2.50010485e+01 
 3.75195331e-01  2.50010485e+01 
 3.83847234e-01  2.50010485e+01 
 3.92698648e-01  2.50010485e+01 
 4.01754173e-01  2.50010485e+01 
 4.11018515e-01  2.50010485e+01 
 4.20496491e-01  2.50010485e+01 
 4.30193027e-01  2.50010485e+01 
 4.40113162e-01  2.50010485e+01 
 4.50262052e-01  2.50010485e+01 
 4.60644974e-01  2.50010485e+01 
 4.71267322e-01  2.50010485e+01 
 4.82134619e-01  2.50010485e+01 
 4.93252513e-01  2.50010485e+01 
 5.04626783e-01  2.50010485e+01 
 5.16263340e-01  2.50010485e+01 
 5.28168234e-01  2.50010485e+01 
 5.40347650e-01  2.50010485e+01 
 5.52807921e-01  2.50010485e+01 
 5.65555523e-01  2.50010485e+01 
 5.78597080e-01  2.50010485e+01 
 5.91939372e-01  2.50010485e+01 
 6.05589334e-01  2.50010485e+01 
 6.19554061e-01  2.50010485e+01 
 6.33840810e-01  2.50010485e+01 
 6.48457008e-01  2.50010485e+01 
 6.63410251e-01  2.50010485e+01 
 6.78708313e-01  2.50010485e+01 
 6.94359143e-01  2.50010485e+01 
 7.10370877e-01  2.50010485e+01 
 7.26751838e-01  2.50010485e+01 
 7.43510539e-01  2.50010485e+01 
 7.60655691e-01  2.50010485e+01 
 7.78196206e-01  2.50010485e+01 
 7.96141200e-01  2.50010485e+01 
 8.14500001e-01  2.50010485e+01 
 8.33282151e-01  2.50010485e+01 
 8.52497412e-01  2.50010485e+01 
 8.72155772e-01  2.50010485e+01 
 8.92267449e-01  2.50010485e+01 
 9.12842895e-01  2.50010485e+01 
 9.33892805e-01  2.50010485e+01 
 9.55428121e-01  2.50010485e+01 
 9.77460036e-01  2.50010485e+01 
 1.00000000e+00  2.50010485e+01 
 1.02305973e+00  2.50010485e+01 
 1.04665121e+00  2.50010485e+01 
 1.07078670e+00  2.50010485e+01 
 1.09547876e+00  2.50010485e+01 
 1.12074020e+00  2.50010485e+01 
 1.14658417e+00  2.50010485e+01 
 1.17302409e+00  2.50010485e+01 
 1.20007371e+00  2.50010485e+01 
 1.22774708e+00  2.50010485e+01 
 1.25605860e+00  2.50010485e+01 
 1.28502297e+00  2.50010485e+01 
 1.31465525e+00  2.50010485e+01 
 1.34497085e+00  2.50010485e+01 
 1.37598551e+00  2.50010485e+01 
 1.40771537e+00  2.50010485e+01 
 1.44017690e+00  2.50010485e+01 
 1.47338699e+00  2.50010485e+01 
 1.50736290e+00  2.50010485e+01 
 1.54212228e+00  2.50010485e+01 
 1.57768320e+00  2.50010485e+01 
 1.61406415e+00  2.50010485e+01 
 1.65128404e+00  2.50010485e+01 
 1.68936220e+00  2.50010485e+01 
 1.72831844e+00  2.50010485e+01 
 1.76817299e+00  2.50010485e+01 
 1.80894658e+00  2.50010485e+01 
 1.85066040e+00  2.50010485e+01 
 1.89333613e+00  2.50010485e+01 
 1.93699595e+00  2.50010485e+01 
 1.98166255e+00  2.50010485e+01 
 2.02735916e+00  2.50010485e+01 
 2.07410951e+00  2.50010485e+01 
 2.12193792e+00  2.50010485e+01 
 2.17086923e+00  2.50010485e+01 
 2.22092889e+00  2.50010485e+01 
 2.27214291e+00  2.50010485e+01 
 2.32453791e+00  2.50010485e+01 
 2.37814113e+00  2.50010485e+01 
 2.43298042e+00  2.50010485e+01 
 2.48908429e+00  2.50010485e+01 
 2.54648190e+00  2.50010485e+01 
 2.60520309e+00  2.50010485e+01 
 2.66527837e+00  2.50010485e+01 
 2.72673897e+00  2.50010485e+01 
 2.78961683e+00  2.50010485e+01 
 2.85394464e+00  2.50010485e+01 
 2.91975583e+00  2.50010485e+01 
 2.98708461e+00  2.50010485e+01 
 3.05596598e+00  2.50010485e+01 
 3.12643573e+00  2.50010485e+01 
 3.19853049e+00  2.50010485e+01 
 3.27228774e+00  2.50010485e+01 
 3.34774581e+00  2.50010485e+01 
 3.42494392e+00  2.50010485e+01 
 3.50392221e+00  2.50010485e+01 
 3.58472171e+00  2.50010485e+01 
 3.66738442e+00  2.50010485e+01 
 3.75195331e+00  2.50010485e+01 
 3.83847234e+00  2.50010485e+01 
 3.92698648e+00  2.50010485e+01 
 4.01754173e+00  2.50010485e+01 
 4.11018515e+00  2.50010485e+01 
 4.20496491e+00  2.50010485e+01 
 4.30193027e+00  2.50010485e+01 
 4.40113162e+00  2.50010485e+01 
 4.50262052e+00  2.50010485e+01 
 4.60644974e+00  2.50010485e+01 
 4.71267322e+00  2.50010485e+01 
 4.82134619e+00  2.50010485e+01 
 4.93252513e+00  2.50010485e+01 
 5.04626783e+00  2.50010485e+01 
 5.16263340e+00  2.50010485e+01 
 5.28168234e+00  2.50010485e+01 
 5.40347650e+00  2.50010485e+01 
 5.52807921e+00  2.50010485e+01 
 5.65555523e+00  2.50010485e+01 
 5.78597080e+00  2.50010485e+01 
 5.91939372e+00  2.50010485e+01 
 6.05589334e+00  2.50010485e+01 
 6.19554061e+00  2.50010485e+01 
 6.33840810e+00  2.50010485e+01 
 6.48457008e+00  2.50010485e+01 
 6.63410251e+00  2.50010485e+01 
 6.78708313e+00  2.50010485e+01 
 6.94359143e+00  2.50010485e+01 
 7.10370877e+00  2.50010485e+01 
 7.26751838e+00  2.50010485e+01 
 7.43510539e+00  2.50010485e+01 
 7.60655691e+00  2.50010485e+01 
 7.78196206e+00  2.50010485e+01 
 7.96141200e+00  2.50010485e+01 
 8.14500001e+00  2.50010485e+01 
 8.33282151e+00  2.50010485e+01 
 8.52497412e+00  2.50010485e+01 
 8.72155772e+00  2.50010485e+01 
 8.92267449e+00  2.50010485e+01 
 9.12842895e+00  2.50010485e+01 
 9.33892805e+00  2.50010485e+01 
 9.55428121e+00  2.50010485e+01 
 9.77460036e+00  2.50010485e+01 
 1.00000000e+01  2.50010485e+01 
 1.02305973e+01  2.50010485e+01 
 1.04665121e+01  2.50010485e+01 
 1.07078670e+01  2.50010485e+01 
 1.09547876e+01  2.50010485e+01 
 1.12074020e+01  2.50010485e+01 
 1.14658417e+01  2.50010485e+01 
 1.17302409e+01  2.50010485e+01 
 1.20007371e+01  2.50010485e+01 
 1.22774708e+01  2.50010485e+01 
 1.25605860e+01  2.50010485e+01 
 1.28502297e+01  2.50010485e+01 
 1.31465525e+01  2.50010485e+01 
 1.34497085e+01  2.50010485e+01 
 1.37598551e+01  2.50010485e+01 
 1.40771537e+01  2.50010485e+01 
 1.44017690e+01  2.50010485e+01 
 1.47338699e+01  2.50010485e+01 
 1.50736290e+01  2.50010485e+01 
 1.54212228e+01  2.50010485e+01 
 1.57768320e+01  2.50010485e+01 
 1.61406415e+01  2.50010485e+01 
 1.65128404e+01  2.50010485e+01 
 1.68936220e+01  2.50010485e+01 
 1.72831844e+01  2.50010485e+01 
 1.76817299e+01  2.50010485e+01 
 1.80894658e+01  2.50010485e+01 
 1.85066040e+01  2.50010485e+01 
 1.89333613e+01  2.50010485e+01 
 1.93699595e+01  2.50010485e+01 
 1.98166255e+01  2.50010485e+01 
 2.02735916e+01  2.50010485e+01 
 2.07410951e+01  2.50010485e+01 
 2.12193792e+01  2.50010485e+01 
 2.17086923e+01  2.50010485e+01 
 2.22092889e+01  2.50010485e+01 
 2.27214291e+01  2.50010485e+01 
 2.32453791e+01  2.50010485e+01 
 2.37814113e+01  2.50010485e+01 
 2.43298042e+01  2.50010485e+01 
 2.48908429e+01  2.50010485e+01 
 2.54648190e+01  2.50010485e+01 
 2.60520309e+01  2.50010485e+01 
 2.66527837e+01  2.50010485e+01 
 2.72673897e+01  2.50010485e+01 
 2.78961683e+01  2.50010485e+01 
 2.85394464e+01  2.50010485e+01 
 2.91975583e+01  2.50010485e+01 
 2.98708461e+01  2.50010485e+01 
 3.05596598e+01  2.50010485e+01 
 3.12643573e+01  2.50010485e+01 
 3.19853049e+01  2.50010485e+01 
 3.27228774e+01  2.50010485e+01 
 3.34774581e+01  2.50010485e+01 
 3.42494392e+01  2.50010485e+01 
 3.50392221e+01  2.50010485e+01 
 3.58472171e+01  2.50010485e+01 
 3.66738442e+01  2.50010485e+01 
 3.75195331e+01  2.50010485e+01 
 3.83847234e+01  2.50010485e+01 
 3.92698648e+01  2.50010485e+01 
 4.01754173e+01  2.50010485e+01 
 4.11018515e+01  2.50010485e+01 
 4.20496491e+01  2.50010485e+01 
 4.30193027e+01  2.50010485e+01 
 4.40113162e+01  2.50010485e+01 
 4.50262052e+01  2.50010485e+01 
 4.60644974e+01  2.50010485e+01 
 4.71267322e+01  2.50010485e+01 
 4.82134619e+01  2.50010485e+01 
 4.93252513e+01  2.50010485e+01 
 5.04626783e+01  2.50010485e+01 
 5.16263340e+01  2.50010485e+01 
 5.28168234e+01  2.50010485e+01 
 5.40347650e+01  2.50010485e+01 
 5.52807921e+01  2.50010485e+01 
 5.65555523e+01  2.50010485e+01 
 5.78597080e+01  2.50010485e+01 
 5.91939372e+01  2.50010485e+01 
 6.05589334e+01  2.50010485e+01 
 6.19554061e+01  2.50010485e+01 
 6.33840810e+01  2.50010485e+01 
 6.48457008e+01  2.50010485e+01 
 6.63410251e+01  2.50010485e+01 
 6.78708313e+01  2.50010485e+01 
 6.94359143e+01  2.50010485e+01 
 7.10370877e+01  2.50010486e+01 
 7.26751838e+01  2.50010486e+01 
 7.43510539e+01  2.50010486e+01 
 7.60655691e+01  2.50010486e+01 
 7.78196206e+01  2.50010486e+01 
 7.96141200e+01  2.50010486e+01 
 8.14500001e+01  2.50010486e+01 
 8.33282151e+01  2.50010486e+01 
 8.52497412e+01  2.50010486e+01 
 8.72155772e+01  2.50010486e+01 
 8.92267449e+01  2.50010486e+01 
 9.12842895e+01  2.50010486e+01 
 9.33892805e+01  2.50010486e+01 
 9.55428121e+01  2.50010486e+01 
 9.77460036e+01  2.50010486e+01 
 1.00000000e+02  2.50010486e+01 
 1.02305973e+02  2.50010486e+01 
 1.04665121e+02  2.50010487e+01 
 1.07078670e+02  2.50010487e+01 
 1.09547876e+02  2.50010487e+01 
 1.12074020e+02  2.50010487e+01 
 1.14658417e+02  2.50010487e+01 
 1.17302409e+02  2.50010487e+01 
 1.20007371e+02  2.50010487e+01 
 1.22774708e+02  2.50010487e+01 
 1.25605860e+02  2.50010487e+01 
 1.28502297e+02  2.50010487e+01 
 1.31465525e+02  2.50010488e+01 
 1.34497085e+02  2.50010488e+01 
 1.37598551e+02  2.50010488e+01 
 1.40771537e+02  2.50010488e+01 
 1.44017690e+02  2.50010488e+01 
 1.47338699e+02  2.50010488e+01 
 1.50736290e+02  2.50010488e+01 
 1.54212228e+02  2.50010489e+01 
 1.57768320e+02  2.50010489e+01 
 1.61406415e+02  2.50010489e+01 
 1.65128404e+02  2.50010489e+01 
 1.68936220e+02  2.50010489e+01 
 1.72831844e+02  2.50010490e+01 
 1.76817299e+02  2.50010490e+01 
 1.80894658e+02  2.50010490e+01 
 1.85066040e+02  2.50010490e+01 
 1.89333613e+02  2.50010491e+01 
 1.93699595e+02  2.50010491e+01 
 1.98166255e+02  2.50010491e+01 
 2.02735916e+02  2.50010492e+01 
 2.07410951e+02  2.50010492e+01 
 2.12193792e+02  2.50010492e+01 
 2.17086923e+02  2.50010493e+01 
 2.22092889e+02  2.50010493e+01 
 2.27214291e+02  2.50010493e+01 
 2.32453791e+02  2.50010494e+01 
 2.37814113e+02  2.50010494e+01 
 2.43298042e+02  2.50010495e+01 
 2.48908429e+02  2.50010495e+01 
 2.54648190e+02  2.50010496e+01 
 2.60520309e+02  2.50010496e+01 
 2.66527837e+02  2.50010497e+01 
 2.72673897e+02  2.50010497e+01 
 2.78961683e+02  2.50010498e+01 
 2.85394464e+02  2.50010498e+01 
 2.91975583e+02  2.50010499e+01 
 2.98708461e+02  2.50010500e+01 
 3.05596598e+02  2.50010500e+01 
 3.12643573e+02  2.50010501e+01 
 3.19853049e+02  2.50010502e+01 
 3.27228774e+02  2.50010503e+01 
 3.34774581e+02  2.50010503e+01 
 3.42494392e+02  2.50010504e+01 
 3.50392221e+02  2.50010505e+01 
 3.58472171e+02  2.50010506e+01 
 3.66738442e+02  2.50010507e+01 
 3.75195331e+02  2.50010508e+01 
 3.83847234e+02  2.50010509e+01 
 3.92698648e+02  2.50010510e+01 
 4.01754173e+02  2.50010512e+01 
 4.11018515e+02  2.50010513e+01 
 4.20496491e+02  2.50010514e+01 
 4.30193027e+02  2.50010516e+01 
 4.40113162e+02  2.50010517e+01 
 4.50262052e+02  2.50010519e+01 
 4.60644974e+02  2.50010520e+01 
 4.71267322e+02  2.50010522e+01 
 4.82134619e+02  2.50010524e+01 
 4.93252513e+02  2.50010525e+01 
 5.04626783e+02  2.50010527e+01 
 5.16263340e+02  2.50010529e+01 
 5.28168234e+02  2.50010531e+01 
 5.40347650e+02  2.50010534e+01 
 5.52807921e+02  2.50010536e+01 
 5.65555523e+02  2.50010538e+01 
 5.78597080e+02  2.50010541e+01 
 5.91939372e+02  2.50010543e+01 
 6.05589334e+02  2.50010546e+01 
 6.19554061e+02  2.50010549e+01 
 6.33840810e+02  2.50010552e+01 
 6.48457008e+02  2.50010555e+01 
 6.63410251e+02  2.50010558e+01 
 6.78708313e+02  2.50010562e+01 
 6.94359143e+02  2.50010565e+01 
 7.10370877e+02  2.50010569e+01 
 7.26751838e+02  2.50010573e+01 
 7.43510539e+02  2.50010577e+01 
 7.60655691e+02  2.50010581e+01 
 7.78196206e+02  2.50010586e+01 
 7.96141200e+02  2.50010591e+01 
 8.14500001e+02  2.50010596e+01 
 8.33282151e+02  2.50010601e+01 
 8.52497412e+02  2.50010606e+01 
 8.72155772e+02  2.50010612e+01 
 8.92267449e+02  2.50010618e+01 
 9.12842895e+02  2.50010624e+01 
 9.33892805e+02  2.50010631e+01 
 9.55428121e+02  2.50010637e+01 
 9.77460036e+02  2.50010645e+01 
 1.00000000e+03  2.50010652e+01 
 1.02305973e+03  2.50010660e+01 
 1.04665121e+03  2.50010668e+01 
 1.07078670e+03  2.50010676e+01 
 1.09547876e+03  2.50010685e+01 
 1.12074020e+03  2.50010695e+01 
 1.14658417e+03  2.50010705e+01 
 1.17302409e+03  2.50010715e+01 
 1.20007371e+03  2.50010726e+01 
 1.22774708e+03  2.50010737e+01 
 1.25605860e+03  2.50010749e+01 
 1.28502297e+03  2.50010761e+01 
 1.31465525e+03  2.50010774e+01 
 1.34497085e+03  2.50010787e+01 
 1.37598551e+03  2.50010801e+01 
 1.40771537e+03  2.50010816e+01 
 1.44017690e+03  2.50010832e+01 
 1.47338699e+03  2.50010848e+01 
 1.50736290e+03  2.50010865e+01 
 1.54212228e+03  2.50010883e+01 
 1.57768320e+03  2.50010901e+01 
 1.61406415e+03  2.50010920e+01 
 1.65128404e+03  2.50010941e+01 
 1.68936220e+03  2.50010962e+01 
 1.72831844e+03  2.50010984e+01 
 1.76817299e+03  2.50011008e+01 
 1.80894658e+03  2.50011032e+01 
 1.85066040e+03  2.50011058e+01 
 1.89333613e+03  2.50011084e+01 
 1.93699595e+03  2.50011112e+01 
 1.98166255e+03  2.50011142e+01 
 2.02735916e+03  2.50011172e+01 
 2.07410951e+03  2.50011204e+01 
 2.12193792e+03  2.50011238e+01 
 2.17086923e+03  2.50011273e+01 
 2.22092889e+03  2.50011310e+01 
 2.27214291e+03  2.50011348e+01 
 2.32453791e+03  2.50011389e+01 
 2.37814113e+03  2.50011431e+01 
 2.43298042e+03  2.50011475e+01 
 2.48908429e+03  2.50011521e+01 
 2.54648190e+03  2.50011569e+01 
 2.60520309e+03  2.50011620e+01 
 2.66527837e+03  2.50011673e+01 
 2.72673897e+03  2.50011728e+01 
 2.78961683e+03  2.50011786e+01 
 2.85394464e+03  2.50011847e+01 
 2.91975583e+03  2.50011911e+01 
 2.98708461e+03  2.50011977e+01 
 3.05596598e+03  2.50012047e+01 
 3.12643573e+03  2.50012120e+01 
 3.19853049e+03  2.50012196e+01 
 3.27228774e+03  2.50012276e+01 
 3.34774581e+03  2.50012359e+01 
 3.42494392e+03  2.50012447e+01 
 3.50392221e+03  2.50012538e+01 
 3.58472171e+03  2.50012634e+01 
 3.66738442e+03  2.50012735e+01 
 3.75195331e+03  2.50012840e+01 
 3.83847234e+03  2.50012949e+01 
 3.92698648e+03  2.50013064e+01 
 4.01754173e+03  2.50013185e+01 
 4.11018515e+03  2.50013311e+01 
 4.20496491e+03  2.50013442e+01 
 4.30193027e+03  2.50013580e+01 
 4.40113162e+03  2.50013725e+01 
 4.50262052e+03  2.50013876e+01 
 4.60644974e+03  2.50014034e+01 
 4.71267322e+03  2.50014200e+01 
 4.82134619e+03  2.50014373e+01 
 4.93252513e+03  2.50014554e+01 
 5.04626783e+03  2.50014744e+01 
 5.16263340e+03  2.50014943e+01 
 5.28168234e+03  2.50015151e+01 
 5.40347650e+03  2.50015369e+01 
 5.52807921e+03  2.50015597e+01 
 5.65555523e+03  2.50015835e+01 
 5.78597080e+03  2.50016085e+01 
 5.91939372e+03  2.50016346e+01 
 6.05589334e+03  2.50016619e+01 
 6.19554061e+03  2.50016905e+01 
 6.33840810e+03  2.50017205e+01 
 6.48457008e+03  2.50017518e+01 
 6.63410251e+03  2.50017846e+01 
 6.78708313e+03  2.50018190e+01 
 6.94359143e+03  2.50018549e+01 
 7.10370877e+03  2.50018925e+01 
 7.26751838e+03  2.50019319e+01 
 7.43510539e+03  2.50019731e+01 
 7.60655691e+03  2.50020163e+01 
 7.78196206e+03  2.50020614e+01 
 7.96141200e+03  2.50021086e+01 
 8.14500001e+03  2.50021581e+01 
 8.33282151e+03  2.50022099e+01 
 8.52497412e+03  2.50022640e+01 
 8.72155772e+03  2.50023207e+01 
 8.92267449e+03  2.50023801e+01 
 9.12842895e+03  2.50024422e+01 
 9.33892805e+03  2.50025072e+01 
 9.55428121e+03  2.50025752e+01 
 9.77460036e+03  2.50026464e+01 
 1.00000000e+04  2.50027210e+01 
 1.02305973e+04  2.50027990e+01 
 1.04665121e+04  2.50028806e+01 
 1.07078670e+04  2.50029661e+01 
 1.09547876e+04  2.50030555e+01 
 1.12074020e+04  2.50031491e+01 
 1.14658417e+04  2.50032471e+01 
 1.17302409e+04  2.50033497e+01 
 1.20007371e+04  2.50034570e+01 
 1.22774708e+04  2.50035693e+01 
 1.25605860e+04  2.50036869e+01 
 1.28502297e+04  2.50038099e+01 
 1.31465525e+04  2.50039387e+01 
 1.34497085e+04  2.50040735e+01 
 1.37598551e+04  2.50042146e+01 
 1.40771537e+04  2.50043622e+01 
 1.44017690e+04  2.50045167e+01 
 1.47338699e+04  2.50046785e+01 
 1.50736290e+04  2.50048477e+01 
 1.54212228e+04  2.50050249e+01 
 1.57768320e+04  2.50052103e+01 
 1.61406415e+04  2.50054044e+01 
 1.65128404e+04  2.50056075e+01 
 1.68936220e+04  2.50058200e+01 
 1.72831844e+04  2.50060425e+01 
 1.76817299e+04  2.50062753e+01 
 1.80894658e+04  2.50065190e+01 
 1.85066040e+04  2.50067741e+01 
 1.89333613e+04  2.50070410e+01 
 1.93699595e+04  2.50073203e+01 
 1.98166255e+04  2.50076127e+01 
 2.02735916e+04  2.50079187e+01 
 2.07410951e+04  2.50082389e+01 
 2.12193792e+04  2.50085741e+01 
 2.17086923e+04  2.50089248e+01 
 2.22092889e+04  2.50092919e+01 
 2.27214291e+04  2.50096761e+01 
 2.32453791e+04  2.50100782e+01 
 2.37814113e+04  2.50104990e+01 
 2.43298042e+04  2.50109394e+01 
 2.48908429e+04  2.50114002e+01 
 2.54648190e+04  2.50118825e+01 
 2.60520309e+04  2.50123873e+01 
 2.66527837e+04  2.50129156e+01 
 2.72673897e+04  2.50134684e+01 
 2.78961683e+04  2.50140469e+01 
 2.85394464e+04  2.50146524e+01 
 2.91975583e+04  2.50152860e+01 
 2.98708461e+04  2.50159490e+01 
 3.05596598e+04  2.50166429e+01 
 3.12643573e+04  2.50173690e+01 
 3.19853049e+04  2.50181289e+01 
