 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.00000000e-01  9.00000000e-01  8.84806364e-01  8.84806364e-01 
 1.00000000e-08  1.25663706e-06  2.31404852e-06  9.00000628e-01  8.99999372e-01  8.84807521e-01  8.84805207e-01 
 2.00000000e-08  2.51327412e-06  6.83083943e-06  9.00001257e-01  8.99998743e-01  8.84809780e-01  8.84802949e-01 
 4.00000000e-08  5.02654819e-06  2.08116001e-05  9.00002513e-01  8.99997487e-01  8.84816770e-01  8.84795958e-01 
 8.00000000e-08  1.00530961e-05  6.96539161e-05  9.00005027e-01  8.99994973e-01  8.84841191e-01  8.84771537e-01 
 1.60000000e-07  2.01061896e-05  2.33559195e-04  9.00010053e-01  8.99989947e-01  8.84923145e-01  8.84689586e-01 
 3.20000000e-07  4.02123589e-05  7.23440155e-04  9.00020106e-01  8.99979894e-01  8.85168095e-01  8.84444655e-01 
 6.40000000e-07  8.04245552e-05  1.97300577e-03  9.00040212e-01  8.99959788e-01  8.85792948e-01  8.83819942e-01 
 1.28000000e-06  1.60847810e-04  4.71505206e-03  9.00080424e-01  8.99919576e-01  8.87164361e-01  8.82449309e-01 
 2.28000000e-06  2.86503450e-04  9.04884350e-03  9.00143252e-01  8.99856748e-01  8.89332526e-01  8.80283682e-01 
 3.28000000e-06  4.12147780e-04  1.33623073e-02  9.00206074e-01  8.99793926e-01  8.91491314e-01  8.78129006e-01 
 4.28000000e-06  5.37775839e-04  1.76653255e-02  9.00268888e-01  8.99731112e-01  8.93645662e-01  8.75980336e-01 
 5.28000000e-06  6.63382667e-04  2.19660124e-02  9.00331691e-01  8.99668309e-01  8.95799630e-01  8.73833618e-01 
 6.28000000e-06  7.88963306e-04  2.62657313e-02  9.00394482e-01  8.99605518e-01  8.97953899e-01  8.71688168e-01 
 7.28000000e-06  9.14512798e-04  3.05640981e-02  9.00457256e-01  8.99542744e-01  9.00108276e-01  8.69544177e-01 
 8.28000000e-06  1.04002619e-03  3.48607121e-02  9.00520013e-01  8.99479987e-01  9.02262558e-01  8.67401845e-01 
 9.28000000e-06  1.16549852e-03  3.91552894e-02  9.00582749e-01  8.99417251e-01  9.04416601e-01  8.65261312e-01 
 1.02800000e-05  1.29092484e-03  4.34475795e-02  9.00645462e-01  8.99354538e-01  9.06570279e-01  8.63122699e-01 
 1.12800000e-05  1.41630019e-03  4.77373336e-02  9.00708150e-01  8.99291850e-01  9.08723463e-01  8.60986129e-01 
 1.22800000e-05  1.54161963e-03  5.20243008e-02  9.00770810e-01  8.99229190e-01  9.10876027e-01  8.58851726e-01 
 1.32800000e-05  1.66687821e-03  5.63082304e-02  9.00833439e-01  8.99166561e-01  9.13027841e-01  8.56719610e-01 
 1.42800000e-05  1.79207099e-03  6.05888716e-02  9.00896035e-01  8.99103965e-01  9.15178777e-01  8.54589905e-01 
 1.52800000e-05  1.91719302e-03  6.48659742e-02  9.00958597e-01  8.99041403e-01  9.17328706e-01  8.52462732e-01 
 1.62800000e-05  2.04223936e-03  6.91392883e-02  9.01021120e-01  8.98978880e-01  9.19477501e-01  8.50338212e-01 
 1.72800000e-05  2.16720507e-03  7.34085644e-02  9.01083603e-01  8.98916397e-01  9.21625031e-01  8.48216467e-01 
 1.82800000e-05  2.29208523e-03  7.76735536e-02  9.01146043e-01  8.98853957e-01  9.23771169e-01  8.46097615e-01 
 1.92800000e-05  2.41687490e-03  8.19340073e-02  9.01208437e-01  8.98791563e-01  9.25915785e-01  8.43981778e-01 
 2.02800000e-05  2.54156916e-03  8.61896776e-02  9.01270785e-01  8.98729215e-01  9.28058751e-01  8.41869074e-01 
 2.12800000e-05  2.66616308e-03  9.04403170e-02  9.01333082e-01  8.98666918e-01  9.30199939e-01  8.39759621e-01 
 2.22800000e-05  2.79065175e-03  9.46856787e-02  9.01395326e-01  8.98604674e-01  9.32339218e-01  8.37653540e-01 
 2.32800000e-05  2.91503024e-03  9.89255163e-02  9.01457515e-01  8.98542485e-01  9.34476462e-01  8.35550946e-01 
 2.42800000e-05  3.03929365e-03  1.03159584e-01  9.01519647e-01  8.98480353e-01  9.36611542e-01  8.33451958e-01 
 2.52800000e-05  3.16343708e-03  1.07387637e-01  9.01581719e-01  8.98418281e-01  9.38744328e-01  8.31356691e-01 
 2.62800000e-05  3.28745562e-03  1.11609431e-01  9.01643728e-01  8.98356272e-01  9.40874694e-01  8.29265262e-01 
 2.72800000e-05  3.41134438e-03  1.15824723e-01  9.01705672e-01  8.98294328e-01  9.43002510e-01  8.27177787e-01 
 2.82800000e-05  3.53509847e-03  1.20033269e-01  9.01767549e-01  8.98232451e-01  9.45127649e-01  8.25094379e-01 
 2.92800000e-05  3.65871299e-03  1.24234828e-01  9.01829356e-01  8.98170644e-01  9.47249982e-01  8.23015154e-01 
 3.02800000e-05  3.78218307e-03  1.28429158e-01  9.01891092e-01  8.98108908e-01  9.49369383e-01  8.20940225e-01 
 3.12800000e-05  3.90550384e-03  1.32616018e-01  9.01952752e-01  8.98047248e-01  9.51485723e-01  8.18869705e-01 
 3.22800000e-05  4.02867043e-03  1.36795170e-01  9.02014335e-01  8.97985665e-01  9.53598876e-01  8.16803706e-01 
 3.32800000e-05  4.15167797e-03  1.40966375e-01  9.02075839e-01  8.97924161e-01  9.55708714e-01  8.14742339e-01 
 3.42800000e-05  4.27452162e-03  1.45129395e-01  9.02137261e-01  8.97862739e-01  9.57815111e-01  8.12685717e-01 
 3.52800000e-05  4.39719651e-03  1.49283993e-01  9.02198598e-01  8.97801402e-01  9.59917941e-01  8.10633948e-01 
 3.62800000e-05  4.51969780e-03  1.53429934e-01  9.02259849e-01  8.97740151e-01  9.62017076e-01  8.08587143e-01 
 3.72800000e-05  4.64202067e-03  1.57566982e-01  9.02321010e-01  8.97678990e-01  9.64112392e-01  8.06545410e-01 
 3.82800000e-05  4.76416028e-03  1.61694905e-01  9.02382080e-01  8.97617920e-01  9.66203763e-01  8.04508858e-01 
 3.92800000e-05  4.88611181e-03  1.65813470e-01  9.02443056e-01  8.97556944e-01  9.68291063e-01  8.02477594e-01 
 4.02800000e-05  5.00787044e-03  1.69922444e-01  9.02503935e-01  8.97496065e-01  9.70374168e-01  8.00451724e-01 
 4.12800000e-05  5.12943137e-03  1.74021600e-01  9.02564716e-01  8.97435284e-01  9.72452954e-01  7.98431355e-01 
 4.22800000e-05  5.25078980e-03  1.78110706e-01  9.02625395e-01  8.97374605e-01  9.74527296e-01  7.96416591e-01 
 4.32800000e-05  5.37194093e-03  1.82189535e-01  9.02685970e-01  8.97314030e-01  9.76597072e-01  7.94407536e-01 
 4.42800000e-05  5.49287999e-03  1.86257861e-01  9.02746440e-01  8.97253560e-01  9.78662157e-01  7.92404296e-01 
 4.52800000e-05  5.61360221e-03  1.90315459e-01  9.02806801e-01  8.97193199e-01  9.80722430e-01  7.90406971e-01 
 4.62800000e-05  5.73410280e-03  1.94362104e-01  9.02867051e-01  8.97132949e-01  9.82777768e-01  7.88415664e-01 
 4.72800000e-05  5.85437703e-03  1.98397574e-01  9.02927189e-01  8.97072811e-01  9.84828049e-01  7.86430475e-01 
 4.82800000e-05  5.97442013e-03  2.02421648e-01  9.02987210e-01  8.97012790e-01  9.86873154e-01  7.84451506e-01 
 4.92800000e-05  6.09422737e-03  2.06434106e-01  9.03047114e-01  8.96952886e-01  9.88912960e-01  7.82478855e-01 
 5.02800000e-05  6.21379403e-03  2.10434729e-01  9.03106897e-01  8.96893103e-01  9.90947349e-01  7.80512620e-01 
 5.12800000e-05  6.33311537e-03  2.14423301e-01  9.03166558e-01  8.96833442e-01  9.92976202e-01  7.78552900e-01 
 5.22800000e-05  6.45218669e-03  2.18399607e-01  9.03226093e-01  8.96773907e-01  9.94999398e-01  7.76599791e-01 
 5.32800000e-05  6.57100329e-03  2.22363433e-01  9.03285502e-01  8.96714498e-01  9.97016822e-01  7.74653389e-01 
 5.42800000e-05  6.68956048e-03  2.26314566e-01  9.03344780e-01  8.96655220e-01  9.99028354e-01  7.72713788e-01 
 5.52800000e-05  6.80785358e-03  2.30252797e-01  9.03403927e-01  8.96596073e-01  1.00103388e+00  7.70781082e-01 
 5.62800000e-05  6.92587792e-03  2.34177916e-01  9.03462939e-01  8.96537061e-01  1.00303328e+00  7.68855365e-01 
 5.72800000e-05  7.04362883e-03  2.38089716e-01  9.03521814e-01  8.96478186e-01  1.00502644e+00  7.66936727e-01 
 5.82800000e-05  7.16110167e-03  2.41987992e-01  9.03580551e-01  8.96419449e-01  1.00701325e+00  7.65025262e-01 
 5.92800000e-05  7.27829181e-03  2.45872540e-01  9.03639146e-01  8.96360854e-01  1.00899360e+00  7.63121057e-01 
 6.02800000e-05  7.39519461e-03  2.49743158e-01  9.03697597e-01  8.96302403e-01  1.01096736e+00  7.61224203e-01 
 6.12800000e-05  7.51180546e-03  2.53599646e-01  9.03755903e-01  8.96244097e-01  1.01293443e+00  7.59334788e-01 
 6.22800000e-05  7.62811976e-03  2.57441807e-01  9.03814060e-01  8.96185940e-01  1.01489470e+00  7.57452898e-01 
 6.32800000e-05  7.74413291e-03  2.61269442e-01  9.03872066e-01  8.96127934e-01  1.01684806e+00  7.55578620e-01 
 6.42800000e-05  7.85984034e-03  2.65082359e-01  9.03929920e-01  8.96070080e-01  1.01879440e+00  7.53712038e-01 
 6.52800000e-05  7.97523747e-03  2.68880365e-01  9.03987619e-01  8.96012381e-01  1.02073360e+00  7.51853237e-01 
 6.62800000e-05  8.09031975e-03  2.72663269e-01  9.04045160e-01  8.95954840e-01  1.02266557e+00  7.50002299e-01 
 6.72800000e-05  8.20508265e-03  2.76430883e-01  9.04102541e-01  8.95897459e-01  1.02459019e+00  7.48159307e-01 
 6.82800000e-05  8.31952162e-03  2.80183021e-01  9.04159761e-01  8.95840239e-01  1.02650736e+00  7.46324341e-01 
 6.92800000e-05  8.43363215e-03  2.83919497e-01  9.04216816e-01  8.95783184e-01  1.02841698e+00  7.44497481e-01 
 7.02800000e-05  8.54740973e-03  2.87640131e-01  9.04273705e-01  8.95726295e-01  1.03031894e+00  7.42678806e-01 
 7.12800000e-05  8.66084988e-03  2.91344742e-01  9.04330425e-01  8.95669575e-01  1.03221313e+00  7.40868393e-01 
 7.22800000e-05  8.77394811e-03  2.95033151e-01  9.04386974e-01  8.95613026e-01  1.03409947e+00  7.39066318e-01 
 7.32800000e-05  8.88669997e-03  2.98705184e-01  9.04443350e-01  8.95556650e-01  1.03597784e+00  7.37272657e-01 
 7.42800000e-05  8.99910099e-03  3.02360667e-01  9.04499550e-01  8.95500450e-01  1.03784815e+00  7.35487485e-01 
 7.52800000e-05  9.11114674e-03  3.05999428e-01  9.04555573e-01  8.95444427e-01  1.03971030e+00  7.33710874e-01 
 7.62800000e-05  9.22283280e-03  3.09621299e-01  9.04611416e-01  8.95388584e-01  1.04156419e+00  7.31942896e-01 
 7.72800000e-05  9.33415475e-03  3.13226113e-01  9.04667077e-01  8.95332923e-01  1.04340973e+00  7.30183622e-01 
 7.82800000e-05  9.44510821e-03  3.16813706e-01  9.04722554e-01  8.95277446e-01  1.04524683e+00  7.28433121e-01 
 7.92800000e-05  9.55568880e-03  3.20383916e-01  9.04777844e-01  8.95222156e-01  1.04707538e+00  7.26691463e-01 
 8.02800000e-05  9.66589214e-03  3.23936583e-01  9.04832946e-01  8.95167054e-01  1.04889530e+00  7.24958715e-01 
 8.12800000e-05  9.77571389e-03  3.27471550e-01  9.04887857e-01  8.95112143e-01  1.05070649e+00  7.23234943e-01 
 8.22800000e-05  9.88514971e-03  3.30988663e-01  9.04942575e-01  8.95057425e-01  1.05250887e+00  7.21520211e-01 
 8.32800000e-05  9.99419528e-03  3.34487769e-01  9.04997098e-01  8.95002902e-01  1.05430235e+00  7.19814584e-01 
 8.42800000e-05  1.01028463e-02  3.37968718e-01  9.05051423e-01  8.94948577e-01  1.05608684e+00  7.18118125e-01 
 8.52800000e-05  1.02110985e-02  3.41431364e-01  9.05105549e-01  8.94894451e-01  1.05786226e+00  7.16430894e-01 
 8.62800000e-05  1.03189475e-02  3.44875562e-01  9.05159474e-01  8.94840526e-01  1.05962851e+00  7.14752953e-01 
 8.72800000e-05  1.04263892e-02  3.48301169e-01  9.05213195e-01  8.94786805e-01  1.06138553e+00  7.13084360e-01 
 8.82800000e-05  1.05334193e-02  3.51708046e-01  9.05266710e-01  8.94733290e-01  1.06313322e+00  7.11425173e-01 
 8.92800000e-05  1.06400335e-02  3.55096055e-01  9.05320017e-01  8.94679983e-01  1.06487150e+00  7.09775449e-01 
 9.02800000e-05  1.07462277e-02  3.58465063e-01  9.05373114e-01  8.94626886e-01  1.06660031e+00  7.08135244e-01 
 9.12800000e-05  1.08519976e-02  3.61814938e-01  9.05425999e-01  8.94574001e-01  1.06831955e+00  7.06504611e-01 
 9.22800000e-05  1.09573391e-02  3.65145549e-01  9.05478670e-01  8.94521330e-01  1.07002915e+00  7.04883605e-01 
 9.32800000e-05  1.10622481e-02  3.68456772e-01  9.05531124e-01  8.94468876e-01  1.07172905e+00  7.03272276e-01 
 9.42800000e-05  1.11667203e-02  3.71748481e-01  9.05583360e-01  8.94416640e-01  1.07341916e+00  7.01670675e-01 
