 frequency       v(PSRR_dB)     
 1.00000000e-02  4.67987918e+01 
 1.02305973e-02  4.67987918e+01 
 1.04665121e-02  4.67987918e+01 
 1.07078670e-02  4.67987918e+01 
 1.09547876e-02  4.67987918e+01 
 1.12074020e-02  4.67987918e+01 
 1.14658417e-02  4.67987918e+01 
 1.17302409e-02  4.67987918e+01 
 1.20007371e-02  4.67987918e+01 
 1.22774708e-02  4.67987918e+01 
 1.25605860e-02  4.67987918e+01 
 1.28502297e-02  4.67987918e+01 
 1.31465525e-02  4.67987918e+01 
 1.34497085e-02  4.67987918e+01 
 1.37598551e-02  4.67987918e+01 
 1.40771537e-02  4.67987918e+01 
 1.44017690e-02  4.67987918e+01 
 1.47338699e-02  4.67987918e+01 
 1.50736290e-02  4.67987918e+01 
 1.54212228e-02  4.67987918e+01 
 1.57768320e-02  4.67987918e+01 
 1.61406415e-02  4.67987918e+01 
 1.65128404e-02  4.67987918e+01 
 1.68936220e-02  4.67987918e+01 
 1.72831844e-02  4.67987918e+01 
 1.76817299e-02  4.67987918e+01 
 1.80894658e-02  4.67987918e+01 
 1.85066040e-02  4.67987918e+01 
 1.89333613e-02  4.67987918e+01 
 1.93699595e-02  4.67987918e+01 
 1.98166255e-02  4.67987918e+01 
 2.02735916e-02  4.67987918e+01 
 2.07410951e-02  4.67987918e+01 
 2.12193792e-02  4.67987918e+01 
 2.17086923e-02  4.67987918e+01 
 2.22092889e-02  4.67987918e+01 
 2.27214291e-02  4.67987918e+01 
 2.32453791e-02  4.67987918e+01 
 2.37814113e-02  4.67987918e+01 
 2.43298042e-02  4.67987918e+01 
 2.48908429e-02  4.67987918e+01 
 2.54648190e-02  4.67987918e+01 
 2.60520309e-02  4.67987918e+01 
 2.66527837e-02  4.67987918e+01 
 2.72673897e-02  4.67987918e+01 
 2.78961683e-02  4.67987918e+01 
 2.85394464e-02  4.67987918e+01 
 2.91975583e-02  4.67987918e+01 
 2.98708461e-02  4.67987918e+01 
 3.05596598e-02  4.67987918e+01 
 3.12643573e-02  4.67987918e+01 
 3.19853049e-02  4.67987918e+01 
 3.27228774e-02  4.67987918e+01 
 3.34774581e-02  4.67987918e+01 
 3.42494392e-02  4.67987918e+01 
 3.50392221e-02  4.67987918e+01 
 3.58472171e-02  4.67987918e+01 
 3.66738442e-02  4.67987918e+01 
 3.75195331e-02  4.67987918e+01 
 3.83847234e-02  4.67987918e+01 
 3.92698648e-02  4.67987918e+01 
 4.01754173e-02  4.67987918e+01 
 4.11018515e-02  4.67987918e+01 
 4.20496491e-02  4.67987918e+01 
 4.30193027e-02  4.67987918e+01 
 4.40113162e-02  4.67987918e+01 
 4.50262052e-02  4.67987918e+01 
 4.60644974e-02  4.67987918e+01 
 4.71267322e-02  4.67987918e+01 
 4.82134619e-02  4.67987918e+01 
 4.93252513e-02  4.67987918e+01 
 5.04626783e-02  4.67987918e+01 
 5.16263340e-02  4.67987918e+01 
 5.28168234e-02  4.67987918e+01 
 5.40347650e-02  4.67987918e+01 
 5.52807921e-02  4.67987918e+01 
 5.65555523e-02  4.67987918e+01 
 5.78597080e-02  4.67987918e+01 
 5.91939372e-02  4.67987918e+01 
 6.05589334e-02  4.67987918e+01 
 6.19554061e-02  4.67987918e+01 
 6.33840810e-02  4.67987918e+01 
 6.48457008e-02  4.67987918e+01 
 6.63410251e-02  4.67987918e+01 
 6.78708313e-02  4.67987918e+01 
 6.94359143e-02  4.67987918e+01 
 7.10370877e-02  4.67987918e+01 
 7.26751838e-02  4.67987918e+01 
 7.43510539e-02  4.67987918e+01 
 7.60655691e-02  4.67987918e+01 
 7.78196206e-02  4.67987918e+01 
 7.96141200e-02  4.67987918e+01 
 8.14500001e-02  4.67987918e+01 
 8.33282151e-02  4.67987918e+01 
 8.52497412e-02  4.67987918e+01 
 8.72155772e-02  4.67987918e+01 
 8.92267449e-02  4.67987918e+01 
 9.12842895e-02  4.67987918e+01 
 9.33892805e-02  4.67987918e+01 
 9.55428121e-02  4.67987918e+01 
 9.77460036e-02  4.67987918e+01 
 1.00000000e-01  4.67987918e+01 
 1.02305973e-01  4.67987918e+01 
 1.04665121e-01  4.67987918e+01 
 1.07078670e-01  4.67987918e+01 
 1.09547876e-01  4.67987918e+01 
 1.12074020e-01  4.67987918e+01 
 1.14658417e-01  4.67987918e+01 
 1.17302409e-01  4.67987918e+01 
 1.20007371e-01  4.67987918e+01 
 1.22774708e-01  4.67987918e+01 
 1.25605860e-01  4.67987918e+01 
 1.28502297e-01  4.67987918e+01 
 1.31465525e-01  4.67987918e+01 
 1.34497085e-01  4.67987918e+01 
 1.37598551e-01  4.67987918e+01 
 1.40771537e-01  4.67987918e+01 
 1.44017690e-01  4.67987918e+01 
 1.47338699e-01  4.67987918e+01 
 1.50736290e-01  4.67987918e+01 
 1.54212228e-01  4.67987918e+01 
 1.57768320e-01  4.67987918e+01 
 1.61406415e-01  4.67987918e+01 
 1.65128404e-01  4.67987918e+01 
 1.68936220e-01  4.67987918e+01 
 1.72831844e-01  4.67987918e+01 
 1.76817299e-01  4.67987918e+01 
 1.80894658e-01  4.67987918e+01 
 1.85066040e-01  4.67987918e+01 
 1.89333613e-01  4.67987918e+01 
 1.93699595e-01  4.67987918e+01 
 1.98166255e-01  4.67987918e+01 
 2.02735916e-01  4.67987918e+01 
 2.07410951e-01  4.67987918e+01 
 2.12193792e-01  4.67987918e+01 
 2.17086923e-01  4.67987918e+01 
 2.22092889e-01  4.67987918e+01 
 2.27214291e-01  4.67987918e+01 
 2.32453791e-01  4.67987918e+01 
 2.37814113e-01  4.67987918e+01 
 2.43298042e-01  4.67987918e+01 
 2.48908429e-01  4.67987918e+01 
 2.54648190e-01  4.67987918e+01 
 2.60520309e-01  4.67987918e+01 
 2.66527837e-01  4.67987918e+01 
 2.72673897e-01  4.67987918e+01 
 2.78961683e-01  4.67987918e+01 
