 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 0.00000000e+00  9.00000000e-01  9.00000000e-01  7.95879131e-01 
 1.00000000e-07  9.00565487e-01  9.00539095e-01  7.95879131e-01 
 2.00000000e-07  9.01130973e-01  9.01103275e-01  7.95879131e-01 
 4.00000000e-07  9.02261944e-01  9.02234002e-01  7.95879131e-01 
 8.00000000e-07  9.04523874e-01  9.04495676e-01  7.95879131e-01 
 1.60000000e-06  9.09047634e-01  9.09018896e-01  7.95879131e-01 
 3.20000000e-06  9.18094354e-01  9.18064708e-01  7.95879131e-01 
 6.40000000e-06  9.36181394e-01  9.36150817e-01  7.95879131e-01 
 1.28000000e-05  9.72304290e-01  9.72275592e-01  7.95879131e-01 
 2.28000000e-05  1.02849042e+00  1.02846913e+00  7.95879130e-01 
 3.28000000e-05  1.08416945e+00  1.08415413e+00  7.95879129e-01 
 4.28000000e-05  1.13912166e+00  1.13911002e+00  7.95879126e-01 
 5.28000000e-05  1.19313015e+00  1.19312084e+00  7.95879122e-01 
 6.28000000e-05  1.24598180e+00  1.24597406e+00  7.95879114e-01 
 7.28000000e-05  1.29746802e+00  1.29746141e+00  7.95879101e-01 
 8.28000000e-05  1.34738561e+00  1.34737986e+00  7.95879079e-01 
 9.28000000e-05  1.39553757e+00  1.39553251e+00  7.95879043e-01 
 1.02800000e-04  1.44173388e+00  1.44172938e+00  7.95878989e-01 
 1.12800000e-04  1.48579220e+00  1.48578819e+00  7.95878910e-01 
 1.22800000e-04  1.52753868e+00  1.52753509e+00  7.95878817e-01 
 1.32800000e-04  1.56680854e+00  1.56680533e+00  7.95878787e-01 
 1.42800000e-04  1.60344682e+00  1.60344395e+00  7.95879153e-01 
 1.52800000e-04  1.63730891e+00  1.63730636e+00  7.95881083e-01 
 1.62800000e-04  1.66826118e+00  1.66825893e+00  7.95888101e-01 
 1.72800000e-04  1.69618148e+00  1.69617951e+00  7.95909135e-01 
 1.82800000e-04  1.72095961e+00  1.72095791e+00  7.95963470e-01 
 1.92800000e-04  1.74249779e+00  1.74249636e+00  7.96085821e-01 
 2.02800000e-04  1.76071101e+00  1.76070984e+00  7.96327004e-01 
 2.12800000e-04  1.77552740e+00  1.77552648e+00  7.96744605e-01 
 2.22800000e-04  1.78688849e+00  1.78688782e+00  7.97382207e-01 
 2.32800000e-04  1.79474943e+00  1.79474901e+00  7.98244364e-01 
 2.42800000e-04  1.79907920e+00  1.79907903e+00  7.99281098e-01 
 2.52800000e-04  1.79986072e+00  1.79986079e+00  8.00393475e-01 
 2.62800000e-04  1.79709090e+00  1.79709122e+00  8.01460852e-01 
 2.72800000e-04  1.79078068e+00  1.79078124e+00  8.02377826e-01 
 2.82800000e-04  1.78095494e+00  1.78095575e+00  8.03083381e-01 
 2.92800000e-04  1.76765248e+00  1.76765355e+00  8.03569771e-01 
 3.02800000e-04  1.75092580e+00  1.75092711e+00  8.03870570e-01 
 3.12800000e-04  1.73084090e+00  1.73084247e+00  8.04038003e-01 
 3.22800000e-04  1.70747704e+00  1.70747889e+00  8.04122410e-01 
 3.32800000e-04  1.68092645e+00  1.68092857e+00  8.04161331e-01 
 3.42800000e-04  1.65129389e+00  1.65129631e+00  8.04177983e-01 
 3.52800000e-04  1.61869633e+00  1.61869905e+00  8.04184719e-01 
 3.62800000e-04  1.58326239e+00  1.58326545e+00  8.04187371e-01 
 3.72800000e-04  1.54513193e+00  1.54513535e+00  8.04188424e-01 
 3.82800000e-04  1.50445543e+00  1.50445925e+00  8.04188864e-01 
 3.92800000e-04  1.46139342e+00  1.46139769e+00  8.04189065e-01 
 4.02800000e-04  1.41611585e+00  1.41612064e+00  8.04189165e-01 
 4.12800000e-04  1.36880140e+00  1.36880683e+00  8.04189219e-01 
 4.22800000e-04  1.31963681e+00  1.31964301e+00  8.04189249e-01 
 4.32800000e-04  1.26881611e+00  1.26882331e+00  8.04189267e-01 
 4.42800000e-04  1.21653985e+00  1.21654840e+00  8.04189276e-01 
 4.52800000e-04  1.16301436e+00  1.16302485e+00  8.04189282e-01 
 4.62800000e-04  1.10845087e+00  1.10846434e+00  8.04189285e-01 
 4.72800000e-04  1.05306472e+00  1.05308304e+00  8.04189286e-01 
 4.82800000e-04  9.97074490e-01  9.97100055e-01  8.04189287e-01 
 4.92800000e-04  9.40701155e-01  9.40731794e-01  8.04189287e-01 
 5.02800000e-04  8.84167190e-01  8.84192487e-01  8.04189286e-01 
 5.12800000e-04  8.27695710e-01  8.27712668e-01  8.04189286e-01 
 5.22800000e-04  7.71509582e-01  7.71521244e-01  8.04189286e-01 
 5.32800000e-04  7.15830547e-01  7.15839245e-01  8.04189285e-01 
 5.42800000e-04  6.60878345e-01  6.60885277e-01  8.04189285e-01 
 5.52800000e-04  6.06869846e-01  6.06875626e-01  8.04189285e-01 
 5.62800000e-04  5.54018199e-01  5.54023166e-01  8.04189285e-01 
 5.72800000e-04  5.02531984e-01  5.02536339e-01  8.04189287e-01 
 5.82800000e-04  4.52614393e-01  4.52618265e-01  8.04189289e-01 
 5.92800000e-04  4.04462429e-01  4.04465902e-01  8.04189292e-01 
 6.02800000e-04  3.58266125e-01  3.58269257e-01  8.04189298e-01 
 6.12800000e-04  3.14207797e-01  3.14210630e-01  8.04189308e-01 
 6.22800000e-04  2.72461324e-01  2.72463887e-01  8.04189322e-01 
 6.32800000e-04  2.33191459e-01  2.33193774e-01  8.04189341e-01 
 6.42800000e-04  1.96553183e-01  1.96555266e-01  8.04189367e-01 
 6.52800000e-04  1.62691090e-01  1.62692954e-01  8.04189399e-01 
 6.62800000e-04  1.31738818e-01  1.31740473e-01  8.04189432e-01 
 6.72800000e-04  1.03818522e-01  1.03819975e-01  8.04189454e-01 
 6.82800000e-04  7.90403910e-02  7.90416473e-02  8.04189439e-01 
 6.92800000e-04  5.75022123e-02  5.75032759e-02  8.04189341e-01 
 7.02800000e-04  3.92889875e-02  3.92898616e-02  8.04189092e-01 
 7.12800000e-04  2.44725958e-02  2.44732826e-02  8.04188611e-01 
 7.22800000e-04  1.31115109e-02  1.31120120e-02  8.04187832e-01 
 7.32800000e-04  5.25056955e-03  5.25088627e-03  8.04186738e-01 
 7.42800000e-04  9.20795471e-04  9.20928407e-04  8.04185386e-01 
 7.52800000e-04  1.39276265e-04  1.39225686e-04  8.04183907e-01 
 7.62800000e-04  2.90909623e-03  2.90886201e-03  8.04182467e-01 
 7.72800000e-04  9.21932415e-03  9.21890577e-03  8.04181213e-01 
 7.82800000e-04  1.90450564e-02  1.90444530e-02  8.04180229e-01 
 7.92800000e-04  3.23475154e-02  3.23467254e-02  8.04179526e-01 
 8.02800000e-04  4.90742024e-02  4.90732237e-02  8.04179062e-01 
 8.12800000e-04  6.91591047e-02  6.91579347e-02  8.04178772e-01 
 8.22800000e-04  9.25229564e-02  9.25215915e-02  8.04178595e-01 
 8.32800000e-04  1.19073551e-01  1.19071986e-01  8.04178485e-01 
 8.42800000e-04  1.48706106e-01  1.48704335e-01  8.04178412e-01 
 8.52800000e-04  1.81303674e-01  1.81301689e-01  8.04178363e-01 
 8.62800000e-04  2.16737609e-01  2.16735398e-01  8.04178328e-01 
 8.72800000e-04  2.54868068e-01  2.54865617e-01  8.04178302e-01 
 8.82800000e-04  2.95544568e-01  2.95541858e-01  8.04178284e-01 
 8.92800000e-04  3.38606577e-01  3.38603582e-01  8.04178272e-01 
 9.02800000e-04  3.83884150e-01  3.83880833e-01  8.04178264e-01 
 9.12800000e-04  4.31198596e-01  4.31194908e-01  8.04178258e-01 
 9.22800000e-04  4.80363188e-01  4.80359057e-01  8.04178254e-01 
 9.32800000e-04  5.31183894e-01  5.31179215e-01  8.04178252e-01 
 9.42800000e-04  5.83460148e-01  5.83454757e-01  8.04178250e-01 
 9.52800000e-04  6.36985641e-01  6.36979270e-01  8.04178249e-01 
 9.62800000e-04  6.91549132e-01  6.91541312e-01  8.04178248e-01 
 9.72800000e-04  7.46935282e-01  7.46925129e-01  8.04178248e-01 
 9.82800000e-04  8.02925510e-01  8.02911273e-01  8.04178247e-01 
 9.92800000e-04  8.59298845e-01  8.59277495e-01  8.04178247e-01 
 1.00280000e-03  9.15832810e-01  9.15803330e-01  8.04178246e-01 
 1.01280000e-03  9.72304290e-01  9.72275565e-01  8.04178245e-01 
 1.02280000e-03  1.02849042e+00  1.02846912e+00  8.04178244e-01 
 1.03280000e-03  1.08416945e+00  1.08415413e+00  8.04178242e-01 
 1.04280000e-03  1.13912166e+00  1.13911002e+00  8.04178239e-01 
 1.05280000e-03  1.19313015e+00  1.19312084e+00  8.04178234e-01 
 1.06280000e-03  1.24598180e+00  1.24597406e+00  8.04178226e-01 
 1.07280000e-03  1.29746802e+00  1.29746141e+00  8.04178212e-01 
 1.08280000e-03  1.34738561e+00  1.34737986e+00  8.04178190e-01 
 1.09280000e-03  1.39553757e+00  1.39553251e+00  8.04178154e-01 
 1.10280000e-03  1.44173388e+00  1.44172938e+00  8.04178100e-01 
 1.11280000e-03  1.48579220e+00  1.48578819e+00  8.04178021e-01 
 1.12280000e-03  1.52753868e+00  1.52753509e+00  8.04177928e-01 
 1.13280000e-03  1.56680854e+00  1.56680533e+00  8.04177893e-01 
 1.14280000e-03  1.60344682e+00  1.60344395e+00  8.04178243e-01 
 1.15280000e-03  1.63730891e+00  1.63730636e+00  8.04180109e-01 
